player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Felipe Alves Raymundo,br BRA,GK,Fortaleza,31,1988,37.0,37.0,3330.0,45.0,1.22,135.0,98.0,69.6,9.0,11.0,17.0,12.0,32.4,10.0,4.0,5.0,1.0
Diego Alves,br BRA,GK,Flamengo,34,1985,10.0,10.0,836.0,12.0,1.29,35.0,23.0,65.7,6.0,2.0,2.0,3.0,30.0,0.0,0.0,0.0,0.0
Anderson,br BRA,GK,Bahia,36,1983,8.0,5.0,529.0,15.0,2.55,32.0,19.0,53.1,0.0,2.0,3.0,1.0,20.0,2.0,0.0,2.0,0.0
Arthur,br BRA,GK,Coritiba,23,1997,4.0,4.0,360.0,7.0,1.75,21.0,14.0,66.7,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0
Gabriel Batista,br BRA,GK,Flamengo,21,1998,3.0,3.0,270.0,5.0,1.67,10.0,6.0,60.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Muriel Becker,br BRA,GK,Fluminense,32,1987,19.0,19.0,1710.0,20.0,1.05,64.0,47.0,73.4,9.0,4.0,6.0,4.0,21.1,3.0,3.0,0.0,0.0
Bento,br BRA,GK,Atl Paranaense,20,1999,1.0,1.0,90.0,3.0,3.0,8.0,5.0,62.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cássio,br BRA,GK,Corinthians,32,1987,35.0,35.0,3142.0,45.0,1.29,156.0,115.0,73.7,10.0,12.0,13.0,11.0,31.4,5.0,4.0,0.0,1.0
Diego Cavalieri,br BRA,GK,Botafogo (RJ),37,1982,22.0,22.0,1980.0,39.0,1.77,92.0,60.0,62.0,3.0,6.0,13.0,1.0,4.5,9.0,4.0,3.0,2.0
César,br BRA,GK,Flamengo,28,1992,5.0,3.0,303.0,4.0,1.19,10.0,6.0,60.0,1.0,0.0,2.0,2.0,66.7,0.0,0.0,0.0,0.0
Júlio César,br BRA,GK,Bragantino,35,1984,6.0,6.0,540.0,9.0,1.5,29.0,21.0,69.0,1.0,2.0,3.0,1.0,16.7,1.0,0.0,1.0,0.0
Júlio César,br BRA,GK,Grêmio,33,1986,1.0,1.0,90.0,1.0,1.0,6.0,5.0,83.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mateus Claus,br BRA,GK,Bahia,25,1994,3.0,3.0,270.0,5.0,1.67,14.0,10.0,71.4,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Daniel,br BRA,GK,Internacional,25,1994,1.0,0.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Diego,br BRA,GK,Botafogo (RJ),21,1998,7.0,7.0,630.0,15.0,2.14,30.0,17.0,56.7,1.0,0.0,6.0,1.0,14.3,3.0,2.0,1.0,0.0
Éverson,br BRA,GK,Atlético Mineiro,29,1990,28.0,28.0,2520.0,34.0,1.21,105.0,71.0,68.6,14.0,7.0,7.0,9.0,32.1,2.0,1.0,0.0,1.0
Marcos Felipe,br BRA,GK,Fluminense,23,1996,19.0,19.0,1710.0,22.0,1.16,63.0,43.0,68.3,9.0,6.0,4.0,7.0,36.8,2.0,2.0,0.0,0.0
Danilo Fernandes,br BRA,GK,Internacional,31,1988,1.0,1.0,90.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gatito Fernández,py PAR,GK,Botafogo (RJ),31,1988,8.0,8.0,720.0,7.0,0.87,40.0,35.0,87.5,1.0,6.0,1.0,3.0,37.5,2.0,2.0,0.0,0.0
Douglas Friedrich,br BRA,GK,Bahia,31,1988,30.0,30.0,2621.0,40.0,1.37,114.0,78.0,68.4,12.0,4.0,14.0,7.0,23.3,4.0,4.0,0.0,0.0
Jailson,br BRA,GK,Palmeiras,38,1981,6.0,6.0,540.0,8.0,1.33,18.0,12.0,66.7,1.0,2.0,3.0,1.0,16.7,2.0,2.0,0.0,0.0
Jandrei,br BRA,GK,Atl Paranaense,26,1993,4.0,4.0,360.0,3.0,0.75,18.0,15.0,83.3,1.0,1.0,2.0,2.0,50.0,0.0,0.0,0.0,0.0
Jean,br BRA,GK,Atl Goianiense,24,1995,36.0,36.0,3240.0,42.0,1.17,133.0,99.0,72.9,12.0,13.0,11.0,9.0,25.0,8.0,6.0,2.0,0.0
John,br BRA,GK,Santos,23,1996,9.0,9.0,810.0,16.0,1.78,38.0,25.0,65.8,2.0,3.0,4.0,1.0,11.1,3.0,3.0,0.0,0.0
Maurício Kozlinski,br BRA,GK,Atl Goianiense,28,1991,2.0,2.0,180.0,4.0,2.0,13.0,9.0,69.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Leandro Bagy,br BRA,GK,Atlético Mineiro,37,1983,1.0,0.0,72.0,3.0,3.75,3.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Marcelo Lomba,br BRA,GK,Internacional,33,1986,37.0,37.0,3327.0,34.0,0.92,99.0,69.0,69.7,19.0,10.0,8.0,15.0,40.5,5.0,4.0,0.0,1.0
Lucão,br BRA,GK,Vasco da Gama,18,2001,2.0,2.0,180.0,5.0,2.5,10.0,6.0,60.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Mailson,br BRA,GK,Sport Recife,23,1996,7.0,7.0,630.0,10.0,1.43,27.0,18.0,66.7,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
Fernando Miguel,br BRA,GK,Vasco da Gama,34,1985,36.0,36.0,3240.0,51.0,1.42,162.0,121.0,72.8,10.0,10.0,16.0,11.0,30.6,12.0,7.0,4.0,1.0
João Paulo,br BRA,GK,Santos,24,1995,26.0,25.0,2305.0,31.0,1.21,98.0,73.0,74.5,10.0,8.0,7.0,6.0,24.0,6.0,6.0,0.0,0.0
Rafael Pires,br BRA,GK,Atlético Mineiro,30,1989,10.0,10.0,825.0,9.0,0.98,31.0,22.0,71.0,6.0,1.0,3.0,4.0,40.0,0.0,0.0,0.0,0.0
Luan Polli,br BRA,GK,Sport Recife,26,1993,31.0,31.0,2790.0,41.0,1.32,163.0,126.0,77.3,11.0,5.0,15.0,10.0,32.3,4.0,4.0,0.0,0.0
Fernando Prass,br BRA,GK,Ceará,41,1978,22.0,22.0,1980.0,33.0,1.5,106.0,77.0,72.6,6.0,8.0,8.0,6.0,27.3,5.0,4.0,0.0,1.0
Marcelo Rangel,br BRA,GK,Goiás,31,1988,6.0,6.0,540.0,6.0,1.0,24.0,18.0,75.0,2.0,3.0,1.0,3.0,50.0,0.0,0.0,0.0,0.0
Richard,br BRA,GK,Ceará,28,1991,16.0,16.0,1440.0,20.0,1.25,63.0,49.0,77.8,8.0,2.0,6.0,5.0,31.3,6.0,6.0,0.0,0.0
Santos,br BRA,GK,Atl Paranaense,29,1990,33.0,33.0,2970.0,31.0,0.94,121.0,96.0,76.9,14.0,7.0,12.0,12.0,36.4,6.0,3.0,3.0,0.0
Saulo,br BRA,GK,Botafogo (RJ),24,1995,1.0,1.0,90.0,1.0,1.0,4.0,4.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Cleiton Schwengber,br BRA,GK,Bragantino,22,1997,32.0,32.0,2880.0,31.0,0.97,102.0,76.0,75.5,12.0,12.0,8.0,10.0,31.3,7.0,6.0,0.0,1.0
Vinicius Silvestre,br BRA,GK,Palmeiras,25,1994,2.0,2.0,180.0,3.0,1.5,12.0,9.0,75.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Hugo Souza,br BRA,GK,Flamengo,21,1999,23.0,22.0,2009.0,28.0,1.25,92.0,66.0,71.7,11.0,6.0,5.0,6.0,27.3,2.0,2.0,0.0,0.0
Tadeu,br BRA,GK,Goiás,27,1992,32.0,32.0,2880.0,57.0,1.78,174.0,123.0,70.1,7.0,7.0,18.0,7.0,21.9,6.0,5.0,1.0,0.0
