player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Abner,br BRA,DF,Atl Paranaense,19,2000,34.0,30.0,2833.0,3.0,3.0,0.0,0.0,4.0,0.0,0.1,0.1,0.19,0.1,0.19,31.5,20.0,8.0,40.0,0.64,0.25,0.15,0.38,0.0,46.0,15.0,1.0,129.0,29.0,46.0,0.0,0.0,0.0
Pedro Acacio,br BRA,MF,Palmeiras,17,2002,3.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Luiz Adriano,br BRA,FW,Palmeiras,32,1987,24.0,19.0,1538.0,10.0,3.0,2.0,3.0,2.0,0.0,0.59,0.18,0.76,0.47,0.64,17.1,28.0,17.0,60.7,1.64,0.99,0.29,0.47,0.0,19.0,25.0,2.0,9.0,4.0,3.0,0.0,0.0,0.0
Adryelson,br BRA,DF,Sport Recife,21,1998,36.0,36.0,3216.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,15.0,4.0,26.7,0.42,0.11,0.0,0.0,0.0,43.0,22.0,1.0,1.0,74.0,14.0,0.0,0.0,1.0
Felipe Aguilar,co COL,DF,Atl Paranaense,27,1993,11.0,5.0,532.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,3.0,1.0,33.3,0.51,0.17,0.0,0.0,0.0,5.0,3.0,0.0,0.0,14.0,3.0,0.0,0.0,1.0
Alan,br BRA,DF,Ceará,20,1999,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuri Alberto,br BRA,FW,Internacional,18,2001,23.0,14.0,1299.0,10.0,2.0,0.0,0.0,3.0,0.0,0.69,0.14,0.83,0.69,0.83,14.4,49.0,24.0,49.0,3.39,1.66,0.2,0.42,0.0,46.0,28.0,7.0,5.0,2.0,4.0,0.0,0.0,0.0
Alerrandro,br BRA,FW,Bragantino,20,2000,16.0,11.0,926.0,5.0,2.0,0.0,1.0,0.0,0.0,0.49,0.19,0.68,0.49,0.68,10.3,25.0,12.0,48.0,2.43,1.17,0.2,0.42,0.0,10.0,19.0,5.0,4.0,5.0,2.0,0.0,0.0,0.0
Alesson,br BRA,"MF,FW",Bahia,20,1999,16.0,3.0,370.0,2.0,0.0,0.0,0.0,1.0,0.0,0.49,0.0,0.49,0.49,0.49,4.1,11.0,5.0,45.5,2.68,1.22,0.18,0.4,0.0,11.0,9.0,2.0,6.0,3.0,13.0,0.0,0.0,0.0
Alex,br BRA,DF,Santos,20,1999,11.0,7.0,728.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,2.0,1.0,50.0,0.25,0.12,0.0,0.0,0.0,8.0,10.0,1.0,0.0,11.0,5.0,0.0,0.0,0.0
Caio Alexandre,br BRA,MF,Botafogo (RJ),20,1999,34.0,33.0,2731.0,4.0,0.0,0.0,0.0,8.0,0.0,0.13,0.0,0.13,0.13,0.13,30.3,45.0,13.0,28.9,1.48,0.43,0.09,0.31,0.0,64.0,67.0,3.0,35.0,19.0,32.0,0.0,0.0,0.0
Alison,br BRA,"MF,DF",Santos,26,1993,20.0,18.0,1513.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.06,0.06,0.0,0.06,16.8,4.0,3.0,75.0,0.24,0.18,0.0,0.0,1.0,36.0,30.0,0.0,2.0,26.0,32.0,0.0,0.0,0.0
Alisson,br BRA,MF,Grêmio,26,1993,24.0,24.0,1943.0,2.0,5.0,0.0,0.0,3.0,0.0,0.09,0.23,0.32,0.09,0.32,21.6,56.0,23.0,41.1,2.59,1.07,0.04,0.09,0.0,30.0,68.0,7.0,97.0,13.0,13.0,0.0,0.0,0.0
Allan,br BRA,MF,Atlético Mineiro,22,1997,31.0,26.0,2364.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,26.3,28.0,6.0,21.4,1.07,0.23,0.0,0.0,1.0,44.0,28.0,0.0,8.0,44.0,30.0,0.0,0.0,0.0
Júnior Alonso,py PAR,DF,Atlético Mineiro,26,1993,32.0,32.0,2878.0,1.0,2.0,0.0,0.0,7.0,0.0,0.03,0.06,0.09,0.03,0.09,32.0,27.0,6.0,22.2,0.84,0.19,0.04,0.17,0.0,43.0,9.0,0.0,10.0,59.0,32.0,0.0,0.0,0.0
Jaime Alvarado,co COL,MF,Atl Paranaense,20,1999,14.0,3.0,383.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,12.0,3.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0
Matheus Alvarenga,br BRA,FW,Corinthians,20,1999,4.0,4.0,257.0,2.0,0.0,0.0,0.0,1.0,0.0,0.7,0.0,0.7,0.7,0.7,2.9,6.0,3.0,50.0,2.1,1.05,0.33,0.67,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Felipe Alves Raymundo,br BRA,GK,Fortaleza,31,1988,37.0,37.0,3330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Dani Alves,br BRA,MF,São Paulo,36,1983,30.0,30.0,2688.0,1.0,3.0,0.0,0.0,10.0,0.0,0.03,0.1,0.13,0.03,0.13,29.9,41.0,11.0,26.8,1.37,0.37,0.02,0.09,0.0,66.0,66.0,10.0,192.0,18.0,34.0,0.0,0.0,0.0
Diego Alves,br BRA,GK,Flamengo,34,1985,10.0,10.0,836.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo Alves,br BRA,DF,Vasco da Gama,21,1998,14.0,12.0,1146.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,3.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,16.0,5.0,0.0,1.0,22.0,11.0,0.0,0.0,0.0
Alyson,br BRA,DF,Ceará,23,1996,10.0,8.0,674.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,4.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,13.0,11.0,3.0,16.0,22.0,9.0,0.0,0.0,0.0
Anderson,br BRA,GK,Bahia,36,1983,8.0,5.0,529.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Anderson,br BRA,MF,Santos,20,1999,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Thonny Anderson,br BRA,MF,Bragantino,22,1997,8.0,1.0,160.0,1.0,0.0,0.0,1.0,0.0,1.0,0.56,0.0,0.56,0.56,0.56,1.8,4.0,2.0,50.0,2.25,1.13,0.25,0.5,0.0,5.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0
Victor Andrade,br BRA,"MF,FW",Goiás,24,1995,9.0,4.0,398.0,2.0,0.0,0.0,0.0,4.0,0.0,0.45,0.0,0.45,0.45,0.45,4.4,15.0,3.0,20.0,3.39,0.68,0.13,0.67,0.0,17.0,28.0,0.0,10.0,3.0,6.0,0.0,0.0,0.0
André,br BRA,MF,Fluminense,18,2001,10.0,2.0,281.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0
Iván Angulo,co COL,MF,Botafogo (RJ),20,1999,3.0,0.0,63.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
