player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Oliver Baumann,de GER,GK,Hoffenheim,30-264,1990,20.0,20.0,1800.0,38.0,1.9,90.0,55.0,62.2,6.0,4.0,10.0,3.0,15.0,7.0,4.0,2.0,1.0
Roman Bürki,ch SUI,GK,Dortmund,30-099,1990,16.0,16.0,1440.0,26.0,1.62,72.0,48.0,66.7,7.0,2.0,7.0,4.0,25.0,2.0,2.0,0.0,0.0
Koen Casteels,be BEL,GK,Wolfsburg,28-241,1992,21.0,21.0,1890.0,18.0,0.86,67.0,52.0,76.1,11.0,8.0,2.0,10.0,47.6,3.0,2.0,1.0,0.0
Finn Dahmen,de GER,GK,Mainz 05,22-331,1998,1.0,1.0,90.0,5.0,5.0,11.0,7.0,63.6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Ralf Fährmann,de GER,GK,Schalke 04,32-147,1988,15.0,15.0,1246.0,35.0,2.53,87.0,56.0,62.1,1.0,3.0,11.0,2.0,13.3,2.0,2.0,0.0,0.0
Rafał Gikiewicz,pl POL,GK,Augsburg,33-118,1987,21.0,21.0,1890.0,35.0,1.67,104.0,75.0,71.2,6.0,4.0,11.0,4.0,19.0,8.0,5.0,2.0,1.0
Péter Gulácsi,hu HUN,GK,RB Leipzig,30-291,1990,21.0,21.0,1890.0,18.0,0.86,52.0,33.0,67.3,13.0,5.0,3.0,10.0,47.6,1.0,1.0,0.0,0.0
Marwin Hitz,ch SUI,GK,Dortmund,33-156,1987,6.0,6.0,540.0,5.0,0.83,17.0,12.0,70.6,4.0,1.0,1.0,3.0,50.0,0.0,0.0,0.0,0.0
Timo Horn,de GER,GK,Köln,27-285,1993,22.0,22.0,1929.0,35.0,1.63,95.0,66.0,69.5,5.0,6.0,11.0,3.0,13.6,7.0,6.0,1.0,0.0
Lukáš Hrádecký,fi FIN,GK,Leverkusen,31-089,1989,21.0,21.0,1845.0,21.0,1.02,55.0,37.0,63.6,10.0,6.0,5.0,5.0,23.8,2.0,1.0,1.0,0.0
Rune Jarstein,no NOR,GK,Hertha BSC,36-145,1984,3.0,3.0,270.0,5.0,1.67,14.0,10.0,71.4,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0
Loris Karius,de GER,GK,Union Berlin,27-244,1993,3.0,2.0,202.0,0.0,0.0,3.0,3.0,100.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0
Gregor Kobel,ch SUI,GK,Stuttgart,23-077,1997,22.0,22.0,1980.0,35.0,1.59,99.0,66.0,67.7,7.0,8.0,7.0,3.0,13.6,4.0,3.0,1.0,0.0
Michael Langer,at AUT,GK,Schalke 04,36-046,1985,2.0,1.0,149.0,7.0,4.23,14.0,8.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Niklas Lomb,de GER,GK,Leverkusen,27-208,1993,1.0,0.0,45.0,2.0,4.0,5.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
