player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Justin Bijlow,nl NED,GK,Feyenoord,23-030,1998,7.0,7.0,630.0,7.0,1.0,26.0,22.0,80.8,4.0,3.0,0.0,2.0,28.6,3.0,2.0,1.0,0.0
Marco Bizot,nl NED,GK,AZ Alkmaar,29-348,1991,22.0,22.0,1974.0,29.0,1.32,74.0,47.0,63.5,13.0,6.0,3.0,4.0,18.2,2.0,2.0,0.0,0.0
Janis Blaswich,de GER,GK,Heracles Almelo,29-295,1991,14.0,14.0,1246.0,14.0,1.01,48.0,34.0,70.8,7.0,2.0,5.0,7.0,50.0,0.0,0.0,0.0,0.0
Jorn Brondeel,be BEL,GK,Willem II,27-167,1993,11.0,10.0,926.0,20.0,1.94,47.0,30.0,63.8,2.0,1.0,7.0,2.0,20.0,3.0,3.0,0.0,0.0
Michael Brouwer,nl NED,GK,Heracles Almelo,28-031,1993,7.0,6.0,554.0,14.0,2.27,34.0,22.0,64.7,0.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0
Koen Bucker,nl NED,GK,Heracles Almelo,24-248,1996,2.0,2.0,180.0,4.0,2.0,6.0,4.0,50.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0
Delano van Crooy,nl NED,GK,VVV-Venlo,29-261,1991,5.0,4.0,405.0,22.0,4.89,49.0,28.0,57.1,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
Joel Drommel,nl NED,GK,Twente,24-097,1996,22.0,22.0,1980.0,28.0,1.27,101.0,78.0,75.2,9.0,6.0,7.0,5.0,22.7,5.0,3.0,2.0,0.0
Martin Fraisl,at AUT,GK,ADO Den Haag,27-287,1993,3.0,3.0,270.0,5.0,1.67,23.0,18.0,78.3,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Thorsten Kirschbaum,de GER,GK,VVV-Venlo,33-307,1987,18.0,18.0,1575.0,34.0,1.94,105.0,77.0,72.4,6.0,3.0,9.0,1.0,5.6,6.0,5.0,1.0,0.0
Luuk Koopmans,nl NED,GK,ADO Den Haag,27-095,1993,19.0,19.0,1710.0,44.0,2.32,127.0,87.0,68.5,2.0,5.0,12.0,2.0,10.5,4.0,4.0,0.0,0.0
Alexei Koșelev,md MDA,GK,Fortuna Sittard,27-094,1993,7.0,6.0,548.0,15.0,2.46,35.0,22.0,62.9,0.0,2.0,4.0,1.0,16.7,2.0,2.0,0.0,0.0
Kostas Lamprou,gr GRE,GK,RKC Waalwijk,29-156,1991,22.0,22.0,1980.0,35.0,1.59,139.0,108.0,76.3,4.0,7.0,11.0,3.0,13.6,4.0,2.0,2.0,0.0
Benjamin van Leer,nl NED,GK,Sparta R'dam,28-318,1992,6.0,6.0,540.0,13.0,2.17,29.0,17.0,58.6,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0
Nick Marsman,nl NED,GK,Feyenoord,30-143,1990,14.0,14.0,1260.0,13.0,0.93,56.0,44.0,78.6,8.0,2.0,4.0,6.0,42.9,2.0,1.0,0.0,1.0
Xavier Mous,nl NED,GK,Zwolle,25-201,1995,4.0,4.0,360.0,8.0,2.0,22.0,15.0,68.2,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Erwin Mulder,nl NED,GK,Heerenveen,31-355,1989,22.0,22.0,1980.0,31.0,1.41,98.0,71.0,73.5,7.0,8.0,7.0,6.0,27.3,5.0,5.0,0.0,0.0
Arijanet Muric,xk KVX,GK,Willem II,22-106,1998,2.0,2.0,180.0,11.0,5.5,19.0,9.0,47.4,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Yvon Mvogo,ch SUI,GK,PSV Eindhoven,26-260,1994,21.0,21.0,1890.0,24.0,1.14,69.0,50.0,71.0,13.0,5.0,3.0,7.0,33.3,5.0,4.0,1.0,0.0
Thijmen Nijhuis,nl NED,GK,Utrecht,22-211,1998,3.0,3.0,270.0,5.0,1.67,11.0,6.0,54.5,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0
Eric Oelschlägel,de GER,GK,Utrecht,25-154,1995,11.0,11.0,990.0,12.0,1.09,31.0,22.0,71.0,6.0,4.0,1.0,4.0,36.4,3.0,3.0,0.0,0.0
Maduka Okoye,ng NGA,GK,Sparta R'dam,21-177,1999,15.0,15.0,1350.0,21.0,1.4,53.0,33.0,60.4,6.0,2.0,7.0,5.0,33.3,1.0,0.0,1.0,0.0
André Onana,cm CMR,GK,Ajax,24-325,1996,20.0,20.0,1800.0,15.0,0.75,75.0,60.0,80.0,16.0,2.0,2.0,9.0,45.0,0.0,0.0,0.0,0.0
Yanick van Osch,nl NED,GK,Fortuna Sittard,23-334,1997,17.0,17.0,1522.0,26.0,1.54,73.0,51.0,69.9,9.0,2.0,6.0,2.0,11.8,5.0,4.0,0.0,1.0
Sergio Padt,nl NED,GK,Groningen,30-260,1990,21.0,21.0,1890.0,23.0,1.1,69.0,49.0,69.6,11.0,4.0,6.0,7.0,33.3,3.0,2.0,1.0,0.0
Maarten Paes,nl NED,GK,Utrecht,22-283,1998,8.0,8.0,720.0,11.0,1.37,27.0,17.0,63.0,1.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
