player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Issah Abbas,gh GHA,FW,Twente,22-148,1998,5.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,3.0,1.0,33.3,3.38,1.13,0.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0
Dirk Abels,nl NED,DF,Sparta R'dam,23-253,1997,18.0,15.0,1411.0,1.0,2.0,0.0,0.0,2.0,0.0,0.06,0.13,0.19,0.06,0.19,15.7,5.0,1.0,20.0,0.32,0.06,0.2,1.0,0.0,8.0,16.0,0.0,28.0,38.0,15.0,0.0,0.0,0.0
Nassim El Ablak,nl NED,MF,Fortuna Sittard,21-045,2000,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,21-003,2000,17.0,4.0,593.0,4.0,0.0,0.0,0.0,1.0,0.0,0.61,0.0,0.61,0.61,0.61,6.6,26.0,7.0,26.9,3.95,1.06,0.15,0.57,0.0,15.0,12.0,3.0,7.0,3.0,6.0,0.0,0.0,1.0
Paulos Abraham,se SWE,FW,Groningen,18-220,2002,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Adekanye,nl NED,"FW,MF",ADO Den Haag,22-007,1999,3.0,3.0,197.0,1.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,2.2,1.0,1.0,100.0,0.46,0.46,1.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
Luka Adžić,rs SRB,MF,Emmen,22-157,1998,1.0,1.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,1.29,1.29,1.29,0.8,2.0,1.0,50.0,2.57,1.29,0.5,1.0,0.0,3.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0
Rohat Agca,nl NED,MF,Heracles Almelo,19-171,2001,3.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hamdi Akujobi,nl NED,DF,Heerenveen,21-032,2000,5.0,2.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.0,1.0,100.0,0.36,0.36,0.0,0.0,0.0,4.0,4.0,0.0,6.0,8.0,4.0,0.0,0.0,0.0
Edson Álvarez,mx MEX,MF,Ajax,23-120,1997,13.0,7.0,694.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.13,0.13,0.0,0.13,7.7,12.0,5.0,41.7,1.56,0.65,0.0,0.0,0.0,16.0,2.0,0.0,1.0,16.0,15.0,0.0,0.0,0.0
Mohamed Amissi,bi BDI,FW,Heracles Almelo,20-202,2000,1.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamal Amofa,nl NED,DF,ADO Den Haag,22-088,1998,3.0,2.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0
Martin Angha,ch SUI,DF,Fortuna Sittard,27-030,1994,22.0,21.0,1864.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,8.0,2.0,25.0,0.39,0.1,0.0,0.0,0.0,22.0,18.0,1.0,14.0,27.0,22.0,0.0,0.0,0.0
Vurnon Anita,nl NED,MF,RKC Waalwijk,31-323,1989,18.0,18.0,1590.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.06,0.06,0.0,0.06,17.7,8.0,1.0,12.5,0.45,0.06,0.0,0.0,0.0,28.0,7.0,0.0,5.0,30.0,23.0,0.0,0.0,0.0
Jeremy Antonisse,nl NED,FW,PSV Eindhoven,18-329,2002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
