player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Sergio Asenjo,es ESP,GK,Villarreal,31-238,1989,23.0,23.0,2070.0,25.0,1.09,60.0,41.0,65.0,8.0,12.0,3.0,6.0,26.1,4.0,4.0,0.0,0.0
Édgar Badía,es ESP,GK,Elche,29-009,1992,22.0,22.0,1980.0,31.0,1.41,99.0,70.0,71.7,4.0,9.0,9.0,5.0,22.7,6.0,3.0,2.0,1.0
Rubén Blanco,es ESP,GK,Celta Vigo,25-211,1995,17.0,17.0,1503.0,24.0,1.44,55.0,32.0,58.2,6.0,5.0,6.0,4.0,23.5,1.0,1.0,0.0,0.0
Yassine Bounou,ma MAR,GK,Sevilla,29-322,1991,19.0,19.0,1710.0,13.0,0.68,60.0,50.0,80.0,12.0,3.0,4.0,9.0,47.4,3.0,1.0,2.0,0.0
Claudio Bravo,cl CHI,GK,Betis,37-314,1983,9.0,9.0,810.0,16.0,1.78,37.0,23.0,62.2,4.0,1.0,4.0,3.0,33.3,3.0,2.0,1.0,0.0
Dani Cárdenas,es ESP,GK,Levante,23-330,1997,2.0,2.0,180.0,1.0,0.5,14.0,13.0,92.9,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0
Alberto Cifuentes,es ESP,GK,Cádiz,41-268,1979,2.0,2.0,180.0,3.0,1.5,6.0,3.0,50.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0
Jasper Cillessen,nl NED,GK,Valencia,31-305,1989,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Thibaut Courtois,be BEL,GK,Real Madrid,28-286,1992,24.0,24.0,2160.0,19.0,0.79,67.0,54.0,80.6,16.0,4.0,4.0,11.0,45.8,8.0,6.0,2.0,0.0
Marko Dmitrović,rs SRB,GK,Eibar,29-028,1992,24.0,24.0,2130.0,27.0,1.14,78.0,52.0,69.2,4.0,9.0,11.0,7.0,29.2,5.0,3.0,1.0,1.0
Jaume Doménech,es ESP,GK,Valencia,30-108,1990,23.0,23.0,2070.0,32.0,1.39,103.0,75.0,71.8,5.0,9.0,9.0,4.0,17.4,4.0,3.0,1.0,0.0
Aitor Fernández,es ESP,GK,Levante,29-294,1991,21.0,21.0,1890.0,30.0,1.43,85.0,56.0,67.1,6.0,9.0,6.0,1.0,4.8,2.0,2.0,0.0,0.0
Álvaro Fernández,es ESP,GK,Huesca,22-314,1998,12.0,12.0,1080.0,16.0,1.33,49.0,33.0,69.4,2.0,3.0,7.0,2.0,16.7,1.0,1.0,0.0,0.0
Andrés Fernández,es ESP,GK,Huesca,34-066,1986,11.0,11.0,990.0,17.0,1.55,37.0,22.0,62.2,0.0,7.0,4.0,2.0,18.2,3.0,3.0,0.0,0.0
David Gil,es ESP,GK,Cádiz,27-041,1994,1.0,1.0,90.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Herrera,es ESP,GK,Osasuna,27-261,1993,21.0,20.0,1878.0,26.0,1.25,72.0,51.0,69.4,6.0,5.0,9.0,6.0,30.0,8.0,4.0,3.0,1.0
Ángel Jiménez,es ESP,GK,Granada,18-244,2002,1.0,1.0,90.0,2.0,2.0,7.0,6.0,85.7,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0
Jeremías Ledesma,ar ARG,GK,Cádiz,28-008,1993,20.0,20.0,1800.0,34.0,1.7,79.0,48.0,62.0,5.0,6.0,9.0,5.0,25.0,4.0,4.0,0.0,0.0
Jordi Masip,es ESP,GK,Valladolid,32-049,1989,18.0,18.0,1620.0,25.0,1.39,71.0,48.0,69.0,4.0,7.0,7.0,2.0,11.1,3.0,3.0,0.0,0.0
Neto,br BRA,GK,Barcelona,31-217,1989,6.0,6.0,540.0,6.0,1.0,19.0,14.0,78.9,2.0,2.0,2.0,2.0,33.3,2.0,2.0,0.0,0.0
Jan Oblak,si SVN,GK,Atlético Madrid,28-045,1993,23.0,23.0,2070.0,16.0,0.7,67.0,53.0,77.6,17.0,4.0,2.0,11.0,47.8,1.0,1.0,0.0,0.0
Fernando Pacheco,es ESP,GK,Alavés,28-279,1992,23.0,23.0,2070.0,34.0,1.48,94.0,61.0,64.9,5.0,7.0,11.0,6.0,26.1,1.0,1.0,0.0,0.0
