player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Marcos Acuña,ar ARG,DF,Sevilla,29-116,1991,17.0,16.0,1322.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,11.0,1.0,9.1,0.75,0.07,0.0,0.0,0.0,25.0,10.0,1.0,36.0,15.0,23.0,0.0,1.0,0.0
Bobby Adekanye,nl NED,"FW,MF",Cádiz,22-007,1999,3.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Martin Agirregabiria,es ESP,"DF,MF",Alavés,24-287,1996,14.0,7.0,728.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.12,0.12,0.0,0.12,8.1,2.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,10.0,11.0,1.0,13.0,19.0,6.0,0.0,0.0,0.0
Joseph Aidoo,gh GHA,DF,Celta Vigo,25-145,1995,16.0,8.0,741.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,5.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,9.0,9.0,1.0,1.0,9.0,11.0,0.0,0.0,0.0
Carlos Akapo,gq EQG,DF,Cádiz,27-346,1993,7.0,5.0,441.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,9.0,5.0,9.0,0.0,0.0,0.0
Paul Akouokou,ci CIV,MF,Betis,23-063,1997,8.0,4.0,373.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0
Jony Álamo,es ESP,MF,Elche,19-149,2001,1.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jordi Alba,es ESP,DF,Barcelona,31-337,1989,19.0,19.0,1648.0,1.0,3.0,0.0,0.0,7.0,0.0,0.05,0.16,0.22,0.05,0.22,18.3,13.0,7.0,53.8,0.71,0.38,0.08,0.14,0.0,11.0,8.0,4.0,61.0,18.0,11.0,0.0,0.0,1.0
Raúl Albiol,es ESP,DF,Villarreal,35-170,1985,23.0,23.0,2050.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,6.0,1.0,16.7,0.26,0.04,0.0,0.0,0.0,8.0,12.0,1.0,2.0,15.0,9.0,0.0,1.0,0.0
Paco Alcácer,es ESP,FW,Villarreal,27-175,1993,15.0,12.0,973.0,5.0,3.0,1.0,2.0,0.0,0.0,0.46,0.28,0.74,0.37,0.65,10.8,25.0,11.0,44.0,2.31,1.02,0.16,0.36,0.0,5.0,6.0,13.0,3.0,4.0,3.0,0.0,0.0,0.0
Pedro Alcalá,es ESP,DF,Cádiz,31-339,1989,10.0,6.0,723.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,12.0,5.0,1.0,0.0,17.0,7.0,0.0,0.0,1.0
Rubén Alcaraz,es ESP,"MF,DF",Valladolid,29-296,1991,18.0,14.0,1280.0,1.0,0.0,0.0,0.0,6.0,0.0,0.07,0.0,0.07,0.07,0.07,14.2,16.0,1.0,6.3,1.13,0.07,0.06,1.0,0.0,27.0,16.0,0.0,3.0,12.0,23.0,0.0,0.0,0.0
Iván Alejo,es ESP,"MF,FW",Cádiz,26-011,1995,11.0,2.0,343.0,1.0,0.0,0.0,0.0,2.0,0.0,0.26,0.0,0.26,0.26,0.26,3.8,8.0,3.0,37.5,2.1,0.79,0.13,0.33,0.0,13.0,13.0,2.0,17.0,0.0,2.0,0.0,0.0,0.0
Carles Aleñá,es ESP,"MF,FW",Getafe,23-047,1998,8.0,5.0,524.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.34,0.34,0.0,0.34,5.8,8.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,13.0,13.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0
Carles Aleñá,es ESP,MF,Barcelona,23-047,1998,2.0,0.0,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Álvarez,es ESP,MF,Eibar,29-029,1992,19.0,12.0,1101.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,4.0,2.0,50.0,0.33,0.16,0.0,0.0,0.0,28.0,15.0,0.0,4.0,6.0,19.0,0.0,0.0,0.0
Yeray Álvarez,es ESP,DF,Athletic Club,26-028,1995,14.0,14.0,1260.0,1.0,0.0,0.0,0.0,6.0,0.0,0.07,0.0,0.07,0.07,0.07,14.0,9.0,1.0,11.1,0.64,0.07,0.11,1.0,0.0,15.0,14.0,0.0,1.0,24.0,12.0,0.0,0.0,0.0
Jon Ander Garrido,es ESP,MF,Cádiz,31-135,1989,13.0,3.0,449.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,20.0,1.0,0.2,0.0,0.0,0.0,9.0,3.0,0.0,2.0,6.0,9.0,0.0,0.0,0.0
