player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Sergio Asenjo,es ESP,GK,Villarreal,31-222,1989,21.0,21.0,1890.0,21.0,1.0,54.0,39.0,0.685,8.0,11.0,2.0,6.0,28.6,4.0,4.0,0.0,0.0,21.0,0.0,1.0,1.0,15.7,0.23,-3.3,-0.16,123.0,267.0,46.1,567.0,118.0,33.9,35.0,150.0,50.0,42.9,231.0,23.0,10.0,8.0,0.38,12.8
Édgar Badía,es ESP,GK,Elche,28-359,1992,19.0,19.0,1710.0,26.0,1.37,86.0,62.0,0.733,3.0,8.0,8.0,4.0,21.1,6.0,3.0,2.0,1.0,19.0,0.0,2.0,0.0,28.1,0.29,2.1,0.11,141.0,289.0,48.8,586.0,98.0,33.1,32.9,180.0,52.8,36.1,204.0,13.0,6.4,13.0,0.68,12.9
Rubén Blanco,es ESP,GK,Celta Vigo,25-195,1995,14.0,14.0,1260.0,21.0,1.5,51.0,31.0,0.608,5.0,4.0,5.0,4.0,28.6,1.0,1.0,0.0,0.0,14.0,1.0,1.0,0.0,19.0,0.36,-2.0,-0.14,81.0,233.0,34.8,415.0,57.0,40.0,36.0,106.0,63.2,45.4,115.0,7.0,6.1,7.0,0.5,15.0
Yassine Bounou,ma MAR,GK,Sevilla,29-306,1991,17.0,17.0,1530.0,13.0,0.76,54.0,44.0,0.778,10.0,3.0,4.0,7.0,41.2,3.0,1.0,2.0,0.0,17.0,0.0,3.0,2.0,12.7,0.21,1.7,0.1,103.0,212.0,48.6,422.0,68.0,34.6,35.1,108.0,61.1,46.0,142.0,11.0,7.7,10.0,0.59,15.1
Claudio Bravo,cl CHI,GK,Betis,37-298,1983,9.0,9.0,810.0,16.0,1.78,37.0,23.0,0.622,4.0,1.0,4.0,3.0,33.3,3.0,2.0,1.0,0.0,9.0,0.0,2.0,1.0,16.5,0.41,1.5,0.17,66.0,157.0,42.0,257.0,39.0,50.2,41.1,48.0,58.3,47.0,61.0,3.0,4.9,3.0,0.33,12.1
Dani Cárdenas,es ESP,GK,Levante,23-314,1997,1.0,1.0,90.0,1.0,1.0,4.0,3.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.26,0.0,0.03,3.0,7.0,42.9,22.0,4.0,27.3,30.5,7.0,14.3,18.4,16.0,2.0,12.5,1.0,1.0,15.3
Alberto Cifuentes,es ESP,GK,Cádiz,41-252,1979,2.0,2.0,180.0,3.0,1.5,6.0,3.0,0.5,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.8,0.29,-1.2,-0.62,25.0,63.0,39.7,53.0,3.0,92.5,59.7,16.0,87.5,61.1,17.0,1.0,5.9,2.0,1.0,14.3
Thibaut Courtois,be BEL,GK,Real Madrid,28-270,1992,20.0,20.0,1800.0,18.0,0.9,59.0,47.0,0.797,12.0,4.0,4.0,8.0,40.0,8.0,6.0,2.0,0.0,20.0,0.0,2.0,1.0,18.6,0.22,1.6,0.08,69.0,193.0,35.8,563.0,123.0,24.2,31.9,130.0,43.8,40.9,166.0,16.0,9.6,10.0,0.5,14.4
Marko Dmitrović,rs SRB,GK,Eibar,29-012,1992,21.0,21.0,1860.0,23.0,1.11,72.0,50.0,0.708,4.0,8.0,9.0,7.0,33.3,4.0,2.0,1.0,1.0,20.7,0.0,1.0,0.0,25.8,0.32,2.8,0.14,187.0,503.0,37.2,518.0,54.0,72.6,57.2,135.0,94.1,75.1,170.0,11.0,6.5,23.0,1.11,16.8
Jaume Doménech,es ESP,GK,Valencia,30-092,1990,21.0,21.0,1890.0,29.0,1.38,94.0,68.0,0.723,5.0,8.0,8.0,4.0,19.0,4.0,3.0,1.0,0.0,21.0,2.0,4.0,1.0,30.1,0.29,2.1,0.1,214.0,421.0,50.8,480.0,72.0,56.9,42.4,197.0,75.1,54.3,247.0,17.0,6.9,11.0,0.52,13.6
Aitor Fernández,es ESP,GK,Levante,29-278,1991,18.0,18.0,1620.0,26.0,1.44,71.0,46.0,0.662,6.0,7.0,5.0,1.0,5.6,2.0,2.0,0.0,0.0,18.0,1.0,4.0,0.0,24.6,0.32,-1.4,-0.08,82.0,224.0,36.6,452.0,92.0,40.9,37.4,134.0,29.1,30.7,168.0,11.0,6.5,17.0,0.94,15.4
Álvaro Fernández,es ESP,GK,Huesca,22-298,1998,10.0,10.0,900.0,13.0,1.3,38.0,25.0,0.684,2.0,3.0,5.0,2.0,20.0,1.0,1.0,0.0,0.0,10.0,0.0,3.0,0.0,13.2,0.32,0.2,0.02,58.0,154.0,37.7,308.0,48.0,38.6,36.7,81.0,43.2,40.8,95.0,7.0,7.4,5.0,0.5,16.0
Andrés Fernández,es ESP,GK,Huesca,34-050,1986,11.0,11.0,990.0,17.0,1.55,37.0,22.0,0.622,0.0,7.0,4.0,2.0,18.2,3.0,3.0,0.0,0.0,11.0,1.0,3.0,0.0,13.3,0.29,-3.7,-0.33,56.0,176.0,31.8,313.0,48.0,42.2,37.0,82.0,53.7,43.8,109.0,9.0,8.3,3.0,0.27,11.9
David Gil,es ESP,GK,Cádiz,27-025,1994,1.0,1.0,90.0,2.0,2.0,3.0,1.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2,0.4,-0.8,-0.8,5.0,29.0,17.2,28.0,3.0,75.0,51.4,9.0,88.9,64.3,5.0,0.0,0.0,0.0,0.0,9.0
Sergio Herrera,es ESP,GK,Osasuna,27-245,1993,19.0,18.0,1698.0,25.0,1.33,67.0,47.0,0.687,4.0,5.0,9.0,5.0,27.8,7.0,4.0,2.0,1.0,18.9,0.0,2.0,2.0,25.4,0.33,2.4,0.13,253.0,539.0,46.9,520.0,45.0,77.5,53.9,141.0,96.5,64.2,218.0,22.0,10.1,34.0,1.8,16.4
Ángel Jiménez,es ESP,GK,Granada,18-228,2002,1.0,1.0,90.0,2.0,2.0,7.0,6.0,0.857,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.7,0.22,0.7,0.69,10.0,24.0,41.7,13.0,0.0,76.9,50.1,17.0,82.4,55.0,10.0,0.0,0.0,1.0,1.0,14.3
Jeremías Ledesma,ar ARG,GK,Cádiz,27-358,1993,18.0,18.0,1620.0,26.0,1.44,67.0,43.0,0.657,5.0,6.0,7.0,5.0,27.8,3.0,3.0,0.0,0.0,18.0,1.0,3.0,1.0,20.9,0.27,-4.1,-0.23,174.0,461.0,37.7,396.0,33.0,81.3,56.9,148.0,93.9,68.3,181.0,22.0,12.2,9.0,0.5,13.9
Jordi Masip,es ESP,GK,Valladolid,32-033,1989,15.0,15.0,1350.0,22.0,1.47,62.0,42.0,0.694,4.0,6.0,5.0,2.0,13.3,3.0,3.0,0.0,0.0,15.0,1.0,3.0,0.0,22.5,0.32,0.5,0.03,109.0,324.0,33.6,317.0,49.0,67.2,49.3,130.0,85.4,62.7,180.0,11.0,6.1,9.0,0.6,13.5
Neto,br BRA,GK,Barcelona,31-201,1989,6.0,6.0,540.0,6.0,1.0,19.0,14.0,0.789,2.0,2.0,2.0,2.0,33.3,2.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,6.6,0.26,0.6,0.1,17.0,35.0,48.6,150.0,30.0,18.7,27.3,41.0,17.1,24.4,52.0,2.0,3.8,4.0,0.67,15.7
Jan Oblak,si SVN,GK,Atlético Madrid,28-029,1993,19.0,19.0,1710.0,10.0,0.53,58.0,50.0,0.845,16.0,2.0,1.0,11.0,57.9,1.0,1.0,0.0,0.0,19.0,0.0,2.0,2.0,13.7,0.22,5.7,0.3,138.0,319.0,43.3,356.0,56.0,58.1,43.8,163.0,68.7,50.1,189.0,12.0,6.3,5.0,0.26,13.9
Fernando Pacheco,es ESP,GK,Alavés,28-263,1992,21.0,21.0,1890.0,29.0,1.38,84.0,56.0,0.667,4.0,7.0,10.0,5.0,23.8,1.0,1.0,0.0,0.0,21.0,0.0,4.0,0.0,27.9,0.34,-1.1,-0.05,204.0,393.0,51.9,446.0,62.0,62.6,46.2,176.0,64.8,48.1,193.0,17.0,8.8,17.0,0.81,15.1
Álex Remiro,es ESP,GK,Real Sociedad,25-318,1995,21.0,21.0,1890.0,19.0,0.9,53.0,36.0,0.679,8.0,8.0,5.0,8.0,38.1,3.0,2.0,1.0,0.0,21.0,0.0,1.0,0.0,16.6,0.27,-2.4,-0.11,130.0,288.0,45.1,540.0,68.0,41.7,37.6,109.0,57.8,48.0,152.0,11.0,7.2,14.0,0.67,15.4
Roberto,es ESP,GK,Valladolid,34-361,1986,6.0,6.0,540.0,10.0,1.67,25.0,17.0,0.68,0.0,2.0,4.0,0.0,0.0,3.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,10.1,0.33,0.1,0.01,39.0,130.0,30.0,136.0,24.0,62.5,51.1,52.0,86.5,68.8,58.0,5.0,8.6,5.0,0.83,14.8
Joel Robles,es ESP,GK,Betis,30-233,1990,12.0,12.0,1080.0,18.0,1.5,39.0,25.0,0.615,5.0,2.0,5.0,4.0,33.3,4.0,3.0,1.0,0.0,12.0,0.0,5.0,1.0,17.2,0.36,0.2,0.02,73.0,208.0,35.1,293.0,44.0,54.3,44.0,86.0,57.0,45.8,101.0,6.0,5.9,9.0,0.75,17.9
Rubén,es ESP,"GK,MF",Osasuna,36-228,1984,3.0,3.0,187.0,5.0,2.41,9.0,3.0,0.444,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,4.9,0.55,-0.1,-0.04,33.0,54.0,61.1,46.0,2.0,84.8,55.7,15.0,100.0,65.7,19.0,1.0,5.3,3.0,1.44,14.6
Rui Silva,pt POR,GK,Granada,26-364,1994,20.0,20.0,1800.0,32.0,1.6,76.0,43.0,0.592,8.0,5.0,7.0,7.0,35.0,4.0,1.0,3.0,0.0,20.0,2.0,2.0,0.0,30.0,0.37,-2.0,-0.1,164.0,460.0,35.7,503.0,39.0,66.2,49.2,161.0,78.9,56.8,198.0,8.0,4.0,12.0,0.6,14.8
Unai Simón,es ESP,GK,Athletic Club,23-239,1997,20.0,20.0,1800.0,25.0,1.25,56.0,35.0,0.607,7.0,3.0,10.0,4.0,20.0,4.0,3.0,1.0,0.0,20.0,1.0,4.0,1.0,22.4,0.34,-1.6,-0.08,156.0,360.0,43.3,490.0,95.0,49.6,42.4,137.0,85.4,64.1,184.0,13.0,7.1,14.0,0.7,14.2
David Soria,es ESP,GK,Getafe,27-307,1993,12.0,12.0,1080.0,14.0,1.17,35.0,25.0,0.686,3.0,4.0,5.0,5.0,41.7,3.0,3.0,0.0,0.0,12.0,0.0,2.0,1.0,11.8,0.26,-1.2,-0.1,120.0,336.0,35.7,312.0,4.0,86.5,58.7,87.0,75.9,53.1,75.0,9.0,12.0,15.0,1.25,15.6
Marc-André ter Stegen,de GER,GK,Barcelona,28-281,1992,14.0,14.0,1260.0,12.0,0.86,52.0,41.0,0.769,10.0,2.0,2.0,6.0,42.9,0.0,0.0,0.0,0.0,14.0,0.0,3.0,1.0,13.9,0.27,2.9,0.21,80.0,122.0,65.6,399.0,77.0,23.3,29.4,72.0,40.3,36.5,80.0,12.0,15.0,10.0,0.71,16.6
Tomáš Vaclík,cz CZE,GK,Sevilla,31-313,1989,3.0,3.0,270.0,3.0,1.0,9.0,6.0,0.667,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.4,0.27,-0.6,-0.21,14.0,32.0,43.8,86.0,15.0,32.6,31.7,8.0,50.0,38.3,19.0,1.0,5.3,2.0,0.67,14.9
Koke Vegas,es ESP,GK,Levante,25-131,1995,1.0,1.0,90.0,2.0,2.0,4.0,2.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6,0.64,0.6,0.56,2.0,11.0,18.2,18.0,4.0,44.4,37.7,11.0,27.3,30.5,7.0,0.0,0.0,1.0,1.0,18.8
Iván Villar,es ESP,GK,Celta Vigo,23-211,1997,7.0,7.0,630.0,10.0,1.43,22.0,15.0,0.636,1.0,3.0,3.0,1.0,14.3,2.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,8.6,0.32,-0.4,-0.05,30.0,96.0,31.3,150.0,28.0,46.7,39.2,56.0,46.4,40.8,67.0,5.0,7.5,8.0,1.14,17.2
Rubén Yáñez,es ESP,GK,Getafe,27-116,1993,8.0,8.0,720.0,9.0,1.13,23.0,15.0,0.652,3.0,2.0,3.0,3.0,37.5,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,9.4,0.36,0.4,0.05,65.0,152.0,42.8,169.0,24.0,69.8,48.0,42.0,81.0,57.5,57.0,5.0,8.8,5.0,0.63,14.8
Yoel,es ESP,GK,Eibar,32-161,1988,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,44.4,11.0,4.0,63.6,46.4,2.0,100.0,72.5,0.0,0.0,0.0,0.0,0.0,16.3
