player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Saturnin Allagbé,bj BEN,GK,Dijon,27-100,1993,4.0,4.0,360.0,8.0,2.0,20.0,12.0,60.0,0.0,2.0,2.0,1.0,25.0,1.0,0.0,0.0,1.0
Walter Benítez,ar ARG,GK,Nice,27-348,1993,27.0,27.0,2430.0,39.0,1.44,122.0,87.0,73.0,9.0,5.0,13.0,7.0,25.9,6.0,6.0,0.0,0.0
Paul Bernardoni,fr FRA,GK,Angers,23-318,1997,27.0,27.0,2430.0,42.0,1.56,98.0,60.0,61.2,10.0,6.0,11.0,6.0,22.2,5.0,4.0,1.0,0.0
Dimitry Bertaud,fr FRA,GK,Montpellier,22-269,1998,6.0,4.0,475.0,8.0,1.52,21.0,13.0,66.7,2.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,0.0
Marcin Bułka,pl POL,GK,Paris S-G,21-149,1999,1.0,1.0,90.0,1.0,1.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc-Aurèle Caillard,fr FRA,GK,Metz,26-294,1994,2.0,1.0,91.0,1.0,0.99,6.0,5.0,83.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sébastien Cibois,fr FRA,GK,Brest,23-000,1998,3.0,3.0,270.0,4.0,1.33,10.0,7.0,70.0,1.0,1.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0
Benoît Costil,fr FRA,GK,Bordeaux,33-242,1987,27.0,27.0,2430.0,34.0,1.26,102.0,71.0,69.6,9.0,6.0,12.0,12.0,44.4,4.0,3.0,1.0,0.0
Yehvann Diouf,fr FRA,GK,Reims,21-106,1999,2.0,1.0,135.0,1.0,0.67,5.0,5.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Matthieu Dreyer,fr FRA,GK,Lorient,31-347,1989,9.0,9.0,810.0,15.0,1.67,31.0,21.0,64.5,4.0,2.0,3.0,1.0,11.1,4.0,4.0,0.0,0.0
Wuilker Faríñez,ve VEN,GK,Lens,23-015,1998,1.0,0.0,6.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Alfred Gomis,sn SEN,GK,Dijon,27-178,1993,5.0,5.0,450.0,10.0,2.0,24.0,18.0,70.8,0.0,1.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0
Alfred Gomis,sn SEN,GK,Rennes,27-178,1993,10.0,10.0,900.0,15.0,1.5,41.0,27.0,65.9,1.0,3.0,6.0,1.0,10.0,2.0,1.0,0.0,1.0
Bingourou Kamara,sn SEN,GK,Strasbourg,24-132,1996,8.0,8.0,720.0,14.0,1.75,31.0,19.0,58.1,2.0,0.0,6.0,2.0,25.0,1.0,1.0,0.0,0.0
Eiji Kawashima,jp JPN,GK,Strasbourg,37-347,1983,19.0,19.0,1710.0,27.0,1.42,80.0,55.0,70.0,6.0,6.0,7.0,6.0,31.6,5.0,3.0,1.0,1.0
Alban Lafont,fr FRA,GK,Nantes,22-038,1999,27.0,27.0,2430.0,42.0,1.56,116.0,82.0,70.7,4.0,12.0,11.0,3.0,11.1,10.0,8.0,1.0,1.0
Gautier Larsonneur,fr FRA,GK,Brest,24-007,1997,24.0,24.0,2160.0,45.0,1.87,120.0,79.0,67.5,8.0,3.0,13.0,4.0,16.7,7.0,6.0,1.0,0.0
Jean-Louis Leca,fr FRA,GK,Lens,35-162,1985,27.0,27.0,2424.0,36.0,1.34,92.0,63.0,66.3,11.0,8.0,8.0,7.0,25.9,6.0,5.0,1.0,0.0
Benjamin Lecomte,fr FRA,GK,Monaco,29-310,1991,17.0,17.0,1530.0,22.0,1.29,42.0,23.0,54.8,11.0,3.0,3.0,5.0,29.4,3.0,3.0,0.0,0.0
Anthony Lopes,pt POR,GK,Lyon,30-152,1990,27.0,27.0,2430.0,25.0,0.93,83.0,64.0,74.7,16.0,8.0,3.0,9.0,33.3,7.0,4.0,2.0,1.0
Mike Maignan,fr FRA,GK,Lille,25-094,1995,27.0,27.0,2430.0,17.0,0.63,73.0,57.0,78.1,17.0,8.0,2.0,14.0,51.9,1.0,1.0,0.0,0.0
Radosław Majecki,pl POL,GK,Monaco,21-106,1999,1.0,1.0,90.0,1.0,1.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Mandanda,fr FRA,GK,Marseille,35-339,1985,25.0,25.0,2250.0,28.0,1.12,75.0,50.0,65.3,10.0,9.0,6.0,6.0,24.0,2.0,2.0,0.0,0.0
Vito Mannone,it ITA,GK,Monaco,33-000,1988,9.0,9.0,810.0,14.0,1.56,30.0,18.0,60.0,5.0,1.0,3.0,2.0,22.2,2.0,2.0,0.0,0.0
Edouard Mendy,sn SEN,GK,Rennes,29-001,1992,1.0,1.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jessy Moulin,fr FRA,GK,Saint-Étienne,35-048,1986,27.0,27.0,2430.0,39.0,1.44,95.0,58.0,62.1,7.0,9.0,11.0,8.0,29.6,3.0,3.0,0.0,0.0
Paul Nardi,fr FRA,GK,Lorient,26-288,1994,18.0,18.0,1620.0,37.0,2.06,87.0,54.0,60.9,3.0,3.0,12.0,2.0,11.1,4.0,3.0,0.0,1.0
Keylor Navas,cr CRC,GK,Paris S-G,34-077,1986,19.0,19.0,1665.0,10.0,0.54,51.0,41.0,82.4,14.0,2.0,3.0,12.0,63.2,2.0,1.0,1.0,0.0
Jonas Omlin,ch SUI,GK,Montpellier,27-051,1994,23.0,23.0,1953.0,38.0,1.75,98.0,70.0,71.4,9.0,5.0,9.0,2.0,8.7,10.0,10.0,0.0,0.0
Alexandre Oukidja,dz ALG,GK,Metz,32-226,1988,26.0,26.0,2339.0,26.0,1.0,86.0,64.0,74.4,11.0,8.0,7.0,7.0,26.9,5.0,4.0,1.0,0.0
Yohann Pelé,fr FRA,GK,Marseille,38-118,1982,1.0,1.0,90.0,2.0,2.0,5.0,2.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Racioppi,ch SUI,GK,Dijon,22-061,1998,18.0,18.0,1620.0,26.0,1.44,81.0,58.0,71.6,2.0,6.0,10.0,3.0,16.7,4.0,3.0,1.0,0.0
Predrag Rajković,rs SRB,GK,Reims,25-122,1995,26.0,26.0,2295.0,33.0,1.29,102.0,72.0,69.6,7.0,10.0,9.0,7.0,26.9,5.0,2.0,2.0,1.0
Baptiste Reynet,fr FRA,GK,Nîmes,30-125,1990,27.0,27.0,2430.0,52.0,1.93,133.0,85.0,65.4,7.0,4.0,16.0,7.0,25.9,9.0,6.0,2.0,1.0
Sergio Rico,es ESP,GK,Paris S-G,27-182,1993,8.0,7.0,675.0,6.0,0.8,28.0,23.0,78.6,4.0,1.0,2.0,5.0,71.4,0.0,0.0,0.0,0.0
Romain Salin,fr FRA,GK,Rennes,36-216,1984,15.0,15.0,1350.0,14.0,0.93,54.0,40.0,74.1,9.0,4.0,2.0,5.0,33.3,0.0,0.0,0.0,0.0
