player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21-262,1999,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,33-140,1987,23.0,23.0,2070.0,2.0,0.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09,23.0,9.0,4.0,44.4,0.39,0.17,0.22,0.5,0.0,23.0,16.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0
Mehdi Abeid,dz ALG,MF,Nantes,28-193,1992,18.0,15.0,1320.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,20.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,30.0,22.0,1.0,21.0,23.0,24.0,0.0,0.0,0.0
Laurent Abergel,fr FRA,MF,Lorient,28-014,1993,24.0,19.0,1768.0,2.0,1.0,0.0,0.0,3.0,0.0,0.1,0.05,0.15,0.1,0.15,19.6,15.0,6.0,40.0,0.76,0.31,0.13,0.33,0.0,24.0,27.0,0.0,9.0,25.0,66.0,1.0,0.0,0.0
Charles Abi,fr FRA,FW,Saint-Étienne,20-309,2000,12.0,5.0,441.0,2.0,0.0,0.0,0.0,1.0,0.0,0.41,0.0,0.41,0.41,0.41,4.9,8.0,3.0,37.5,1.63,0.61,0.25,0.67,0.0,9.0,6.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,25-154,1995,3.0,3.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,66.7,1.0,0.67,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Yacine Adli,fr FRA,MF,Bordeaux,20-201,2000,23.0,13.0,1367.0,1.0,4.0,0.0,0.0,4.0,0.0,0.07,0.26,0.33,0.07,0.33,15.2,11.0,3.0,27.3,0.72,0.2,0.09,0.33,0.0,18.0,23.0,0.0,18.0,22.0,38.0,0.0,0.0,0.0
Nayef Aguerd,ma MAR,DF,Rennes,24-322,1996,22.0,22.0,1980.0,3.0,1.0,0.0,0.0,2.0,0.0,0.14,0.05,0.18,0.14,0.18,22.0,23.0,5.0,21.7,1.05,0.23,0.13,0.6,0.0,11.0,22.0,2.0,0.0,19.0,28.0,0.0,0.0,0.0
Ruben Aguilar,fr FRA,DF,Monaco,27-295,1993,23.0,19.0,1658.0,1.0,2.0,0.0,0.0,6.0,0.0,0.05,0.11,0.16,0.05,0.16,18.4,5.0,2.0,40.0,0.27,0.11,0.2,0.5,0.0,32.0,28.0,1.0,82.0,25.0,35.0,1.0,0.0,0.0
Matteo Ahlinvi,bj BEN,MF,Nîmes,21-228,1999,13.0,9.0,777.0,2.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,8.6,8.0,5.0,62.5,0.93,0.58,0.25,0.4,0.0,13.0,13.0,1.0,4.0,4.0,15.0,0.0,1.0,0.0
Cheikh Ahmadou Dieng,sn SEN,FW,Marseille,20-329,2000,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26-332,1994,16.0,15.0,1274.0,2.0,2.0,0.0,0.0,6.0,0.0,0.14,0.14,0.28,0.14,0.28,14.2,21.0,5.0,23.8,1.48,0.35,0.1,0.4,0.0,33.0,18.0,0.0,4.0,30.0,18.0,0.0,0.0,0.0
Jean-Eudes Aholou,ci CIV,MF,Monaco,26-332,1994,2.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,1.0,50.0,5.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Rayan Aït Nouri,fr FRA,DF,Angers,19-254,2001,3.0,2.0,187.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.0,0.48,2.1,1.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0
Ludovic Ajorque,re REU,FW,Strasbourg,26-356,1994,23.0,22.0,1949.0,10.0,4.0,3.0,4.0,4.0,0.0,0.46,0.18,0.65,0.32,0.51,21.7,45.0,19.0,42.2,2.08,0.88,0.16,0.37,0.0,21.0,33.0,10.0,23.0,6.0,10.0,1.0,0.0,0.0
Marley Aké,fr FRA,FW,Marseille,20-041,2001,9.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,4.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sofiane Alakouch,fr FRA,DF,Nîmes,22-201,1998,13.0,9.0,823.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.22,0.22,0.0,0.22,9.1,1.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,12.0,16.0,1.0,7.0,20.0,18.0,1.0,1.0,0.0
Mohamed Ali Cho,fr FRA,"FW,MF",Angers,17-027,2004,13.0,0.0,185.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,3.0,8.0,0.0,0.0,0.0
Rachid Alioui,ma MAR,FW,Angers,28-242,1992,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saturnin Allagbé,bj BEN,GK,Dijon,27-085,1993,4.0,4.0,360.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ibrahim Amadou,fr FRA,MF,Angers,27-315,1993,14.0,11.0,874.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,8.0,3.0,37.5,0.82,0.31,0.0,0.0,0.0,21.0,4.0,0.0,3.0,13.0,20.0,0.0,0.0,0.0
Romain Amalfitano,fr FRA,"FW,DF",Dijon,31-172,1989,2.0,1.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0
Jordan Amavi,fr FRA,DF,Marseille,26-343,1994,9.0,9.0,738.0,1.0,0.0,0.0,0.0,3.0,1.0,0.12,0.0,0.12,0.12,0.12,8.2,4.0,1.0,25.0,0.49,0.12,0.25,1.0,0.0,9.0,13.0,1.0,8.0,12.0,11.0,1.0,0.0,0.0
Thierry Ambrose,fr FRA,FW,Metz,23-324,1997,15.0,4.0,490.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,12.0,4.0,33.3,2.2,0.73,0.0,0.0,0.0,11.0,5.0,1.0,10.0,3.0,3.0,0.0,0.0,0.0
Joachim Andersen,dk DEN,DF,Lyon,24-260,1996,3.0,2.0,192.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,5.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Benjamin André,fr FRA,MF,Lille,30-196,1990,23.0,23.0,1922.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,13.0,4.0,30.8,0.61,0.19,0.0,0.0,0.0,44.0,38.0,0.0,4.0,38.0,60.0,0.0,0.0,0.0
