player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21-252,1999,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,57.0,15.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,4.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,33-130,1987,22.0,22.0,1980.0,2.0,0.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09,1.2,1.2,0.2,0.05,0.01,0.06,0.05,0.06,22.0,8.0,4.0,0.0,50.0,0.36,0.18,0.25,0.5,0.15,0.8,0.8,1015.0,1160.0,87.5,22935.0,7717.0,219.0,244.0,89.8,597.0,643.0,92.8,191.0,260.0,73.5,-0.2,2.0,49.0,0.0,0.0,63.0,1123.0,37.0,37.0,0.0,109.0,30.0,0.0,0.0,0.0,0.0,0.0,913.0,85.0,162.0,752.0,331.0,42.0,0.0,3.0,3.0,23.0,12.0,6.0,7.0,0.32,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,29.0,35.0,13.0,0.0,12.0,30.0,40.0,18.0,234.0,89.0,38.0,159.0,70.0,5.0,36.0,13.0,1.0,23.0,28.0,111.0,0.0,1397.0,194.0,782.0,684.0,22.0,12.0,1361.0,5.0,9.0,55.6,5.0,1.0,881.0,4826.0,2661.0,42.0,3.0,0.0,927.0,907.0,97.8,5.0,12.0,0.0,21.0,14.0,0.0,0.0,0.0,0.0,214.0,55.0,34.0,61.8
Mehdi Abeid,dz ALG,MF,Nantes,28-183,1992,18.0,15.0,1320.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.07,0.05,0.12,0.07,0.12,14.7,20.0,0.0,1.0,0.0,1.36,0.0,0.0,0.0,0.05,-1.0,-1.0,614.0,723.0,84.9,12127.0,2955.0,247.0,263.0,93.9,249.0,283.0,88.0,102.0,153.0,66.7,-0.8,12.0,60.0,7.0,4.0,43.0,676.0,47.0,30.0,1.0,83.0,33.0,21.0,14.0,7.0,4.0,3.0,543.0,69.0,111.0,100.0,587.0,19.0,3.0,4.0,5.0,15.0,10.0,7.0,28.0,1.91,18.0,4.0,2.0,0.0,2.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,37.0,24.0,16.0,18.0,3.0,11.0,25.0,44.0,14.0,245.0,85.0,34.7,75.0,133.0,37.0,18.0,2.0,0.0,16.0,23.0,14.0,1.0,869.0,26.0,222.0,550.0,174.0,13.0,825.0,23.0,32.0,71.9,23.0,0.0,595.0,3510.0,1695.0,60.0,22.0,2.0,628.0,565.0,90.0,6.0,18.0,0.0,30.0,22.0,1.0,0.0,0.0,0.0,146.0,12.0,19.0,38.7
Laurent Abergel,fr FRA,MF,Lorient,28-004,1993,22.0,17.0,1608.0,1.0,1.0,0.0,0.0,3.0,0.0,0.06,0.06,0.11,0.06,0.11,0.3,0.3,0.8,0.02,0.05,0.07,0.02,0.07,17.9,13.0,4.0,0.0,30.8,0.73,0.22,0.08,0.25,0.03,0.7,0.7,701.0,845.0,83.0,13277.0,3591.0,288.0,329.0,87.5,309.0,335.0,92.2,92.0,150.0,61.3,0.2,7.0,58.0,5.0,2.0,46.0,816.0,29.0,23.0,1.0,152.0,24.0,9.0,1.0,1.0,0.0,0.0,605.0,111.0,129.0,72.0,735.0,26.0,5.0,3.0,2.0,16.0,22.0,16.0,23.0,1.29,15.0,1.0,0.0,1.0,2.0,4.0,0.22,2.0,0.0,0.0,0.0,1.0,0.0,97.0,62.0,38.0,49.0,10.0,29.0,97.0,29.9,68.0,498.0,144.0,28.9,172.0,278.0,48.0,17.0,3.0,0.0,14.0,21.0,7.0,0.0,1040.0,23.0,314.0,634.0,155.0,9.0,1016.0,8.0,15.0,53.3,8.0,0.0,711.0,2963.0,1547.0,52.0,13.0,1.0,739.0,677.0,91.6,18.0,23.0,0.0,23.0,27.0,0.0,1.0,0.0,0.0,177.0,5.0,9.0,35.7
Charles Abi,fr FRA,FW,Saint-Étienne,20-299,2000,11.0,5.0,418.0,2.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.43,0.43,1.1,1.1,0.1,0.23,0.01,0.24,0.23,0.24,4.6,8.0,3.0,0.0,37.5,1.72,0.65,0.25,0.67,0.13,0.9,0.9,51.0,85.0,60.0,735.0,139.0,28.0,44.0,63.6,15.0,20.0,75.0,3.0,6.0,50.0,-0.1,2.0,3.0,3.0,0.0,6.0,77.0,8.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,17.0,18.0,51.0,12.0,8.0,0.0,2.0,0.0,3.0,0.0,7.0,4.0,0.86,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,7.0,28.6,5.0,88.0,25.0,28.4,5.0,44.0,39.0,5.0,0.0,0.0,5.0,1.0,4.0,0.0,137.0,4.0,14.0,69.0,58.0,18.0,129.0,7.0,11.0,63.6,7.0,0.0,72.0,257.0,107.0,6.0,3.0,2.0,214.0,99.0,46.3,15.0,7.0,0.0,7.0,5.0,4.0,0.0,0.0,0.0,14.0,20.0,29.0,40.8
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,25-144,1995,1.0,1.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,1.0,1.0,1.0,0.0,100.0,1.0,1.0,0.0,0.0,0.03,0.0,0.0,39.0,45.0,86.7,1013.0,381.0,8.0,8.0,100.0,18.0,21.0,85.7,13.0,16.0,81.3,0.0,0.0,3.0,0.0,0.0,2.0,42.0,3.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,7.0,12.0,29.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,12.0,0.0,63.0,8.0,44.0,21.0,1.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,31.0,176.0,81.0,0.0,0.0,0.0,36.0,36.0,100.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,2.0,80.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,20-191,2000,21.0,11.0,1190.0,1.0,4.0,0.0,0.0,3.0,0.0,0.08,0.3,0.38,0.08,0.38,0.5,0.5,2.9,0.04,0.22,0.26,0.04,0.26,13.2,10.0,3.0,0.0,30.0,0.76,0.23,0.1,0.33,0.05,0.5,0.5,677.0,810.0,83.6,13227.0,3381.0,259.0,290.0,89.3,290.0,334.0,86.8,110.0,152.0,72.4,1.1,32.0,72.0,10.0,2.0,72.0,774.0,36.0,20.0,3.0,107.0,32.0,17.0,14.0,5.0,4.0,2.0,638.0,83.0,89.0,75.0,708.0,14.0,2.0,2.0,5.0,10.0,16.0,16.0,54.0,4.08,40.0,6.0,3.0,0.0,3.0,7.0,0.53,6.0,1.0,0.0,0.0,0.0,0.0,49.0,36.0,23.0,20.0,6.0,15.0,44.0,34.1,29.0,343.0,98.0,28.6,106.0,178.0,59.0,22.0,2.0,0.0,20.0,22.0,9.0,1.0,974.0,23.0,218.0,617.0,201.0,12.0,941.0,36.0,48.0,75.0,37.0,2.0,701.0,3403.0,1968.0,86.0,23.0,5.0,774.0,710.0,91.7,16.0,26.0,0.0,17.0,22.0,0.0,0.0,0.0,0.0,111.0,14.0,12.0,53.8
Nayef Aguerd,ma MAR,DF,Rennes,24-312,1996,20.0,20.0,1800.0,3.0,1.0,0.0,0.0,1.0,0.0,0.15,0.05,0.2,0.15,0.2,2.0,2.0,0.9,0.1,0.05,0.15,0.1,0.15,20.0,20.0,5.0,0.0,25.0,1.0,0.25,0.15,0.6,0.1,1.0,1.0,1458.0,1610.0,90.6,30083.0,11039.0,499.0,526.0,94.9,683.0,722.0,94.6,255.0,337.0,75.7,0.1,4.0,87.0,0.0,0.0,85.0,1562.0,48.0,47.0,1.0,92.0,47.0,0.0,0.0,0.0,0.0,0.0,1336.0,100.0,174.0,1341.0,169.0,54.0,1.0,5.0,0.0,14.0,8.0,5.0,10.0,0.5,9.0,0.0,0.0,1.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,34.0,24.0,24.0,10.0,0.0,11.0,18.0,61.1,7.0,133.0,55.0,41.4,80.0,49.0,4.0,21.0,14.0,0.0,7.0,17.0,85.0,1.0,1801.0,167.0,792.0,1071.0,44.0,24.0,1754.0,4.0,6.0,66.7,5.0,0.0,1239.0,5748.0,3242.0,77.0,9.0,0.0,1373.0,1357.0,98.8,2.0,8.0,0.0,10.0,20.0,2.0,0.0,0.0,0.0,218.0,76.0,32.0,70.4
Ruben Aguilar,fr FRA,DF,Monaco,27-285,1993,21.0,19.0,1630.0,1.0,2.0,0.0,0.0,6.0,0.0,0.06,0.11,0.17,0.06,0.17,0.4,0.4,3.4,0.02,0.19,0.21,0.02,0.21,18.1,5.0,2.0,0.0,40.0,0.28,0.11,0.2,0.5,0.08,0.6,0.6,1043.0,1254.0,83.2,18103.0,5788.0,495.0,534.0,92.7,426.0,506.0,84.2,101.0,176.0,57.4,-1.4,35.0,67.0,28.0,16.0,75.0,1060.0,194.0,28.0,2.0,80.0,39.0,81.0,11.0,3.0,7.0,0.0,773.0,207.0,274.0,20.0,1006.0,46.0,155.0,5.0,5.0,9.0,13.0,18.0,58.0,3.2,47.0,5.0,1.0,1.0,4.0,6.0,0.33,4.0,0.0,1.0,0.0,1.0,0.0,59.0,33.0,28.0,20.0,11.0,27.0,44.0,61.4,17.0,288.0,108.0,37.5,110.0,116.0,62.0,23.0,2.0,0.0,21.0,23.0,45.0,1.0,1468.0,40.0,333.0,725.0,496.0,36.0,1283.0,20.0,34.0,58.8,22.0,2.0,890.0,4584.0,2817.0,135.0,39.0,3.0,1055.0,913.0,86.5,18.0,20.0,0.0,32.0,28.0,1.0,1.0,0.0,0.0,201.0,38.0,28.0,57.6
Matteo Ahlinvi,bj BEN,MF,Nîmes,21-218,1999,13.0,9.0,777.0,2.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,1.4,1.4,0.1,0.16,0.01,0.18,0.16,0.18,8.6,8.0,5.0,0.0,62.5,0.93,0.58,0.25,0.4,0.18,0.6,0.6,219.0,282.0,77.7,4216.0,726.0,86.0,99.0,86.9,100.0,124.0,80.6,30.0,43.0,69.8,-0.1,3.0,13.0,2.0,0.0,11.0,276.0,6.0,6.0,0.0,22.0,8.0,4.0,0.0,0.0,0.0,0.0,229.0,21.0,32.0,218.0,47.0,12.0,0.0,2.0,1.0,13.0,8.0,11.0,8.0,0.93,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,12.0,9.0,2.0,5.0,32.0,15.6,27.0,201.0,44.0,21.9,65.0,107.0,29.0,12.0,2.0,0.0,10.0,4.0,9.0,0.0,393.0,13.0,97.0,255.0,82.0,12.0,387.0,15.0,19.0,78.9,16.0,0.0,292.0,1757.0,1034.0,33.0,9.0,2.0,313.0,268.0,85.6,18.0,16.0,0.0,13.0,13.0,1.0,0.0,1.0,0.0,58.0,4.0,9.0,30.8
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26-322,1994,14.0,13.0,1118.0,2.0,1.0,0.0,0.0,6.0,0.0,0.16,0.08,0.24,0.16,0.24,1.5,1.2,0.5,0.12,0.04,0.17,0.09,0.14,12.4,19.0,5.0,0.0,26.3,1.53,0.4,0.11,0.4,0.06,0.5,0.8,383.0,457.0,83.8,6767.0,1540.0,171.0,194.0,88.1,154.0,179.0,86.0,46.0,63.0,73.0,0.5,4.0,40.0,3.0,0.0,27.0,451.0,6.0,4.0,0.0,58.0,6.0,4.0,1.0,1.0,0.0,0.0,342.0,58.0,57.0,334.0,88.0,20.0,1.0,1.0,2.0,6.0,8.0,10.0,13.0,1.05,10.0,0.0,0.0,2.0,0.0,3.0,0.24,1.0,0.0,0.0,1.0,0.0,0.0,30.0,17.0,12.0,17.0,1.0,3.0,19.0,15.8,16.0,190.0,59.0,31.1,62.0,109.0,19.0,13.0,3.0,0.0,10.0,28.0,20.0,1.0,601.0,24.0,134.0,389.0,112.0,16.0,597.0,10.0,15.0,66.7,13.0,1.0,383.0,1573.0,781.0,32.0,12.0,0.0,425.0,374.0,88.0,12.0,16.0,0.0,29.0,15.0,0.0,0.0,0.0,0.0,125.0,21.0,14.0,60.0
