player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Brenden Aaronson,us USA,MF,Philadelphia,19,2000,23.0,23.0,1904.0,4.0,4.0,0.0,0.0,0.0,0.0,0.19,0.19,0.38,0.19,0.38,21.2,36.0,17.0,47.2,1.7,0.8,0.11,0.24,0.0,17.0,28.0,4.0,15.0,9.0,30.0,0.0,0.0,0.0
Saad Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,8.0,5.0,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,2.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.0,6.0,6.0,0.0,0.0,0.0
Mohammed Abu,gh GHA,MF,D.C. United,28,1991,6.0,4.0,333.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,7.0,4.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0
Lalas Abubakar,gh GHA,DF,Colorado,25,1994,17.0,17.0,1514.0,1.0,0.0,0.0,0.0,5.0,0.0,0.06,0.0,0.06,0.06,0.06,16.8,4.0,1.0,25.0,0.24,0.06,0.25,1.0,0.0,21.0,5.0,1.0,0.0,15.0,18.0,0.0,0.0,1.0
David Accam,gh GHA,"FW,MF",Nashville,29,1990,7.0,2.0,207.0,1.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.43,0.43,2.3,6.0,3.0,50.0,2.61,1.3,0.17,0.33,0.0,7.0,4.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0
Nicolás Acevedo,uy URU,MF,NYCFC,20,1999,12.0,1.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0
Ifunanyachi Achara,us USA,MF,Toronto FC,22,1997,1.0,1.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,1.01,1.01,1.01,1.0,2.0,2.0,100.0,2.02,2.02,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
Bryan Acosta,hn HON,MF,FC Dallas,26,1993,11.0,10.0,752.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.24,0.24,0.0,0.24,8.4,17.0,8.0,47.1,2.03,0.96,0.0,0.0,1.0,24.0,10.0,1.0,9.0,4.0,12.0,0.0,0.0,0.0
Kellyn Acosta,us USA,MF,Colorado,24,1995,15.0,14.0,1146.0,2.0,1.0,0.0,0.0,5.0,0.0,0.16,0.08,0.24,0.16,0.24,12.7,26.0,11.0,42.3,2.04,0.86,0.08,0.18,0.0,14.0,12.0,0.0,6.0,1.0,20.0,0.0,0.0,0.0
Mo Adams,eng ENG,MF,Atlanta,23,1996,13.0,9.0,779.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.12,0.12,0.0,0.12,8.7,1.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,26.0,6.0,0.0,1.0,9.0,12.0,0.0,0.0,0.0
Fanendo Adi,ng NGA,FW,Columbus,29,1990,11.0,1.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,25.0,1.99,0.5,0.0,0.0,0.0,4.0,6.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
Ali Adnan Kadhim,iq IRQ,"DF,MF",Vancouver,26,1993,22.0,20.0,1767.0,2.0,4.0,0.0,0.0,2.0,0.0,0.1,0.2,0.31,0.1,0.31,19.6,15.0,5.0,33.3,0.76,0.25,0.13,0.4,0.0,20.0,30.0,3.0,42.0,23.0,27.0,0.0,0.0,0.0
