player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Jeff Attinella,us USA,GK,Portland,31,1988,1.0,1.0,90.0,3.0,3.0,7.0,4.0,57.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Bendik,us USA,GK,Philadelphia,30,1989,2.0,1.0,91.0,2.0,1.98,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
David Bingham,us USA,GK,LA Galaxy,30,1989,18.0,18.0,1620.0,35.0,1.94,82.0,50.0,61.0,5.0,4.0,9.0,3.0,16.7,5.0,3.0,2.0,0.0
Andre Blake,jm JAM,GK,Philadelphia,29,1990,21.0,21.0,1889.0,18.0,0.86,82.0,64.0,79.3,13.0,5.0,3.0,8.0,38.1,2.0,1.0,0.0,1.0
Alex Bono,us USA,GK,Toronto FC,25,1994,3.0,3.0,270.0,0.0,0.0,17.0,17.0,100.0,2.0,1.0,0.0,3.0,100.0,1.0,0.0,0.0,1.0
Evan Bush,us USA,GK,Vancouver,33,1986,8.0,8.0,720.0,10.0,1.25,31.0,21.0,71.0,4.0,0.0,4.0,1.0,12.5,1.0,1.0,0.0,0.0
Steve Clark,us USA,GK,Portland,33,1986,20.0,20.0,1800.0,26.0,1.3,89.0,61.0,71.9,10.0,6.0,4.0,5.0,25.0,2.0,1.0,1.0,0.0
Maxime Crépeau,ca CAN,GK,Vancouver,25,1994,4.0,4.0,327.0,10.0,2.75,19.0,10.0,52.6,1.0,0.0,3.0,1.0,25.0,1.0,1.0,0.0,0.0
Mario Daniel Vega,ar ARG,GK,San Jose,35,1984,12.0,12.0,1080.0,37.0,3.08,75.0,40.0,54.7,2.0,4.0,6.0,3.0,25.0,4.0,3.0,1.0,0.0
Clément Diop,sn SEN,GK,Montreal,26,1993,20.0,20.0,1800.0,36.0,1.8,106.0,73.0,67.9,7.0,2.0,11.0,3.0,15.0,3.0,2.0,1.0,0.0
Bobby Edwards,us USA,GK,FC Cincinnati,24,1995,2.0,2.0,180.0,3.0,1.5,5.0,3.0,60.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Matt Freese,us USA,GK,Philadelphia,21,1998,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Stefan Frei,ch SUI,GK,Seattle,33,1986,22.0,22.0,1980.0,23.0,1.05,80.0,58.0,73.8,11.0,6.0,5.0,6.0,27.3,2.0,2.0,0.0,0.0
Pedro Gallese,pe PER,GK,Orlando City,29,1990,19.0,19.0,1710.0,20.0,1.05,71.0,53.0,73.2,11.0,5.0,3.0,3.0,15.8,2.0,1.0,1.0,0.0
