player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Carlos Acevedo,mx MEX,GK,Santos,24-308,1996,24.0,24.0,2160.0,23.0,0.96,96.0,77.0,77.1,10.0,7.0,7.0,9.0,37.5,4.0,1.0,3.0,0.0
Gil Alcal�,mx MEX,GK,Quer�taro,28-207,1992,17.0,17.0,1530.0,30.0,1.76,82.0,53.0,63.4,4.0,3.0,10.0,1.0,5.9,1.0,0.0,1.0,0.0
Miguel �ngel Fraga,mx MEX,GK,Mazatl�n,33-171,1987,11.0,11.0,990.0,19.0,1.73,46.0,31.0,67.4,3.0,3.0,5.0,2.0,18.2,4.0,4.0,0.0,0.0
Jos� Antonio Rodr�guez,mx MEX,GK,Guadalajara,28-232,1992,9.0,9.0,810.0,7.0,0.78,31.0,24.0,77.4,3.0,3.0,3.0,3.0,33.3,0.0,0.0,0.0,0.0
Alfonso Blanco Ant�nez,mx MEX,GK,Le�n,33-205,1987,7.0,7.0,630.0,8.0,1.14,24.0,16.0,66.7,3.0,2.0,2.0,3.0,42.9,0.0,0.0,0.0,0.0
Eduardo Bravo,mx MEX,GK,Quer�taro,30-003,1991,3.0,3.0,270.0,4.0,1.33,12.0,8.0,66.7,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis C�rdenas,mx MEX,GK,Monterrey,27-159,1993,4.0,4.0,360.0,3.0,0.75,15.0,13.0,86.7,0.0,3.0,1.0,1.0,25.0,1.0,1.0,0.0,0.0
Jos� Corona,mx MEX,GK,Cruz Azul,40-026,1981,24.0,24.0,2160.0,21.0,0.87,80.0,63.0,77.5,14.0,2.0,8.0,9.0,37.5,5.0,3.0,1.0,1.0
Rodolfo Cota,mx MEX,GK,Le�n,33-233,1987,15.0,15.0,1350.0,16.0,1.07,65.0,53.0,81.5,10.0,3.0,2.0,5.0,33.3,4.0,4.0,0.0,0.0
Gerardo Daniel Ruiz,mx MEX,GK,Quer�taro,35-169,1985,3.0,3.0,270.0,4.0,1.33,12.0,8.0,66.7,2.0,0.0,1.0,2.0,66.7,0.0,0.0,0.0,0.0
Sebasti�n Fassi,mx MEX,GK,Necaxa,27-278,1993,3.0,3.0,270.0,5.0,1.67,9.0,4.0,44.4,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Felipe Rodr�guez,mx MEX,GK,Atl�tico,31-324,1989,7.0,7.0,630.0,13.0,1.86,34.0,23.0,67.6,1.0,1.0,5.0,1.0,14.3,2.0,2.0,0.0,0.0
Carlos Galindo,mx MEX,GK,UANL,20-320,2000,2.0,2.0,180.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Hugo Gonz�lez Dur�n,mx MEX,GK,Monterrey,30-204,1990,19.0,19.0,1710.0,20.0,1.05,72.0,55.0,75.0,11.0,4.0,4.0,4.0,21.1,3.0,2.0,1.0,0.0
Ra�l Gudi�o,mx MEX,GK,Guadalajara,24-305,1996,14.0,14.0,1260.0,20.0,1.43,54.0,38.0,68.5,5.0,5.0,4.0,1.0,7.1,4.0,3.0,1.0,0.0
Ricardo Guti�rrez,mx MEX,GK,Mazatl�n,23-249,1997,2.0,2.0,180.0,6.0,3.0,11.0,7.0,63.6,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
Nahuel Guzm�n,ar ARG,GK,UANL,35-011,1986,18.0,18.0,1620.0,13.0,0.72,62.0,50.0,79.0,9.0,6.0,3.0,9.0,50.0,2.0,0.0,1.0,1.0
�dgar Hern�ndez,mx MEX,GK,Necaxa,38-178,1982,1.0,0.0,45.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oscar Jim�nez,mx MEX,GK,Am�rica,32-132,1988,6.0,6.0,540.0,7.0,1.17,30.0,23.0,76.7,2.0,3.0,1.0,3.0,50.0,0.0,0.0,0.0,0.0
Julio Jos� Gonz�lez,mx MEX,GK,UNAM,29-304,1991,4.0,3.0,316.0,6.0,1.71,24.0,20.0,83.3,1.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0
Luis Malag�n,mx MEX,GK,Necaxa,23-356,1997,21.0,21.0,1845.0,27.0,1.32,86.0,65.0,73.3,7.0,6.0,8.0,6.0,28.6,7.0,4.0,2.0,1.0
Luis Manuel Garc�a,mx MEX,GK,Toluca,28-052,1992,23.0,23.0,2070.0,34.0,1.48,99.0,71.0,70.7,10.0,4.0,9.0,6.0,26.1,6.0,5.0,1.0,0.0
Guillermo Ochoa,mx MEX,GK,Am�rica,35-223,1985,18.0,18.0,1620.0,20.0,1.11,69.0,52.0,78.3,12.0,3.0,3.0,4.0,22.2,5.0,5.0,0.0,0.0
Jonathan Orozco,mx MEX,GK,Tijuana,34-285,1986,23.0,23.0,2070.0,31.0,1.35,109.0,80.0,73.4,7.0,6.0,10.0,7.0,30.4,3.0,2.0,0.0,1.0
Miguel Ortega,mx MEX,GK,UANL,25-314,1995,2.0,2.0,180.0,4.0,2.0,7.0,3.0,42.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Enrique Palos,mx MEX,GK,FC Ju�rez,34-266,1986,13.0,13.0,1170.0,15.0,1.15,53.0,40.0,75.5,5.0,4.0,4.0,5.0,38.5,2.0,2.0,0.0,0.0
Jes�s Rodr�guez,mx MEX,GK,Puebla,27-276,1993,4.0,4.0,360.0,9.0,2.25,32.0,25.0,78.1,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0
Alfredo Sald�var,mx MEX,GK,Toluca,31-012,1990,1.0,1.0,90.0,3.0,3.0,4.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jos� Santiago Hern�ndez,mx MEX,GK,Atlas,23-296,1997,1.0,1.0,90.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antony Silva,py PAR,GK,Puebla,36-360,1984,6.0,6.0,540.0,3.0,0.5,26.0,24.0,92.3,2.0,2.0,2.0,3.0,50.0,2.0,1.0,0.0,1.0
Sebasti�n Sosa,uy URU,GK,Mazatl�n,34-186,1986,4.0,4.0,360.0,7.0,1.75,12.0,8.0,66.7,1.0,1.0,2.0,1.0,25.0,3.0,3.0,0.0,0.0
Alfredo Talavera,mx MEX,GK,UNAM,38-156,1982,20.0,20.0,1751.0,15.0,0.77,79.0,67.0,82.3,8.0,8.0,4.0,7.0,35.0,3.0,1.0,2.0,0.0
