player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Ivo Vázquez,mx MEX,DF,Puebla,20-122,2000,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Diego Abella,mx MEX,"MF,FW",Toluca,22-116,1998,6.0,2.0,166.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.0,1.0,33.3,1.63,0.54,0.0,0.0,0.0,5.0,2.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0
José Abella,mx MEX,DF,Atlas,27-005,1994,14.0,14.0,1173.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,10.0,9.0,1.0,12.0,11.0,17.0,0.0,0.0,0.0
Clifford Aboagye,gh GHA,MF,Puebla,26-004,1995,2.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Clifford Aboagye,gh GHA,MF,Tijuana,26-004,1995,9.0,4.0,374.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,3.0,2.0,66.7,0.72,0.48,0.0,0.0,0.0,9.0,2.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0
Iván Acero,mx MEX,MF,Toluca,20-229,2000,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Acevedo,mx MEX,GK,Santos,24-302,1996,23.0,23.0,2070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Daniel Aceves,mx MEX,DF,Pachuca,19-324,2001,1.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,100.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Alan Acosta,mx MEX,MF,Puebla,24-058,1996,3.0,0.0,111.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0
Luciano Acosta,ar ARG,MF,Atlas,26-260,1994,19.0,14.0,1230.0,2.0,0.0,0.0,0.0,4.0,1.0,0.15,0.0,0.15,0.15,0.15,13.7,24.0,4.0,16.7,1.76,0.29,0.08,0.5,0.0,23.0,26.0,3.0,23.0,9.0,19.0,0.0,0.0,0.0
Sergio Adrián Flores,mx MEX,MF,Guadalajara,26-003,1995,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Daniel Aguilar,mx MEX,MF,Puebla,23-009,1998,11.0,6.0,638.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,7.1,10.0,4.0,40.0,1.41,0.56,0.0,0.0,0.0,12.0,6.0,0.0,6.0,6.0,13.0,0.0,0.0,0.0
Jorge Aguilar,py PAR,DF,Tijuana,28-011,1993,8.0,7.0,612.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,6.8,3.0,2.0,66.7,0.44,0.29,0.0,0.0,1.0,30.0,12.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0
Paul Aguilar,mx MEX,DF,América,34-346,1986,5.0,4.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,3.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,5.0,3.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0
Emanuel Aguilera,ar ARG,DF,América,31-249,1989,15.0,13.0,1088.0,5.0,0.0,3.0,3.0,1.0,0.0,0.41,0.0,0.41,0.17,0.17,12.1,10.0,6.0,60.0,0.83,0.5,0.2,0.33,0.0,22.0,8.0,0.0,0.0,21.0,4.0,0.0,0.0,0.0
Eduardo Aguirre,mx MEX,"FW,MF",Santos,22-196,1998,19.0,9.0,767.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.12,0.23,0.12,0.23,8.5,22.0,5.0,22.7,2.58,0.59,0.05,0.2,0.0,11.0,13.0,1.0,8.0,4.0,5.0,0.0,0.0,0.0
