player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Amir Abedzadeh,ir IRN,GK,Marítimo,27-295,1993,15.0,15.0,1350.0,20.0,1.33,71.0,52.0,71.8,5.0,2.0,8.0,4.0,26.7,1.0,0.0,1.0,0.0
Antonio Adán,es ESP,GK,Sporting CP,33-278,1987,18.0,18.0,1620.0,11.0,0.61,39.0,29.0,71.8,15.0,3.0,0.0,10.0,55.6,1.0,0.0,1.0,0.0
Jordi Almeida,br BRA,GK,Paços,27-165,1993,18.0,18.0,1620.0,14.0,0.78,50.0,40.0,80.0,10.0,5.0,3.0,7.0,38.9,4.0,4.0,0.0,0.0
Brian Araújo,fr FRA,GK,Gil Vicente FC,20-292,2000,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Quentin Beunardeau,fr FRA,GK,Gil Vicente FC,26-354,1994,1.0,1.0,90.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo César Jardim,br BRA,GK,Boavista,25-332,1995,19.0,19.0,1710.0,33.0,1.74,78.0,50.0,62.8,2.0,9.0,8.0,4.0,21.1,7.0,4.0,1.0,2.0
Charles,br BRA,GK,Marítimo,27-011,1994,2.0,2.0,180.0,4.0,2.0,5.0,2.0,40.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Diogo Costa,pt POR,GK,Porto,21-149,1999,1.0,1.0,90.0,3.0,3.0,4.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Defendi,br BRA,GK,SC Farense,37-055,1983,16.0,16.0,1393.0,23.0,1.49,63.0,43.0,68.3,4.0,3.0,9.0,0.0,0.0,3.0,3.0,0.0,0.0
Denis,br BRA,GK,Gil Vicente FC,33-307,1987,17.0,17.0,1530.0,22.0,1.29,64.0,43.0,65.6,4.0,3.0,10.0,4.0,23.5,3.0,0.0,2.0,1.0
Ricardo Abel Barbosa Ferreira,pt POR,GK,Portimonense,31-074,1989,4.0,4.0,297.0,4.0,1.21,10.0,7.0,60.0,1.0,1.0,2.0,1.0,25.0,1.0,0.0,1.0,0.0
Daniel Guimarães,br BRA,GK,Nacional,33-303,1987,14.0,14.0,1260.0,19.0,1.36,57.0,44.0,73.7,3.0,5.0,6.0,4.0,28.6,6.0,4.0,2.0,0.0
Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,20-032,2001,8.0,8.0,720.0,11.0,1.37,36.0,26.0,69.4,0.0,3.0,5.0,2.0,25.0,1.0,0.0,1.0,0.0
Paweł Kieszek,pl POL,GK,Rio Ave,36-305,1984,19.0,19.0,1710.0,22.0,1.16,72.0,51.0,69.4,5.0,7.0,7.0,7.0,36.8,1.0,0.0,1.0,0.0
Stanislav Kritsyuk,ru RUS,GK,Belenenses,30-076,1990,13.0,13.0,1140.0,9.0,0.71,44.0,39.0,88.6,1.0,7.0,5.0,6.0,46.2,5.0,4.0,0.0,1.0
Helton Leite,br BRA,GK,Benfica,30-105,1990,1.0,1.0,90.0,1.0,1.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Agustín Marchesín,ar ARG,GK,Porto,32-336,1988,18.0,18.0,1620.0,18.0,1.0,48.0,32.0,66.7,12.0,5.0,1.0,8.0,44.4,2.0,2.0,0.0,0.0
Hugo Marques,ao ANG,GK,SC Farense,35-031,1986,4.0,2.0,221.0,4.0,1.63,9.0,7.0,77.8,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
Guilherme Mata Oliveira,pt POR,GK,Belenenses,25-309,1995,1.0,0.0,28.0,1.0,3.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matheus,br BRA,GK,Braga,28-211,1992,18.0,18.0,1620.0,19.0,1.06,51.0,36.0,68.6,12.0,1.0,5.0,7.0,38.9,4.0,3.0,1.0,0.0
André Moreira,pt POR,GK,Belenenses,25-075,1995,6.0,6.0,540.0,5.0,0.83,23.0,19.0,82.6,2.0,2.0,2.0,3.0,50.0,1.0,1.0,0.0,0.0
Babacar Niasse,sn SEN,GK,Tondela,24-057,1996,15.0,15.0,1271.0,22.0,1.56,62.0,40.0,64.5,4.0,3.0,8.0,4.0,26.7,1.0,0.0,0.0,1.0
Mateus Pasinato,br BRA,GK,Moreirense,28-232,1992,19.0,19.0,1710.0,23.0,1.21,81.0,60.0,74.1,6.0,7.0,6.0,6.0,31.6,2.0,2.0,0.0,0.0
Marco André Rocha Pereira,pt POR,GK,Santa Clara,34-034,1987,19.0,19.0,1710.0,22.0,1.16,60.0,39.0,66.7,7.0,4.0,8.0,4.0,21.1,2.0,2.0,0.0,0.0
Riccardo Piscitelli,it ITA,GK,Nacional,27-128,1993,5.0,5.0,450.0,5.0,1.0,17.0,13.0,70.6,2.0,1.0,2.0,2.0,40.0,1.0,0.0,1.0,0.0
Samuel Portugal,br BRA,GK,Portimonense,26-323,1994,16.0,15.0,1413.0,20.0,1.27,56.0,41.0,71.4,4.0,3.0,8.0,4.0,26.7,5.0,4.0,1.0,0.0
Tiago Sá,pt POR,GK,Braga,26-035,1995,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Caio Secco,br BRA,GK,Marítimo,30-055,1990,1.0,1.0,90.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Sousa,pt POR,GK,Tondela,20-335,2000,1.0,1.0,90.0,2.0,2.0,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Mile Svilar,be BEL,GK,Benfica,21-172,1999,1.0,1.0,90.0,1.0,1.0,2.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedro Trigueira,pt POR,GK,Tondela,33-042,1988,3.0,2.0,257.0,5.0,1.75,22.0,17.0,77.3,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0
Matouš Trmal,cz CZE,GK,Vitória,22-136,1998,2.0,2.0,180.0,0.0,0.0,10.0,10.0,100.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0
Vaná,br BRA,GK,Famalicão,29-296,1991,6.0,6.0,540.0,9.0,1.5,25.0,17.0,68.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
Bruno Varela,pt POR,GK,Vitória,26-103,1994,16.0,16.0,1440.0,17.0,1.06,68.0,51.0,75.0,8.0,3.0,5.0,7.0,43.8,2.0,0.0,1.0,1.0
Odisseas Vlachodimos,gr GRE,GK,Benfica,26-295,1994,17.0,17.0,1530.0,15.0,0.88,58.0,45.0,75.9,11.0,3.0,3.0,7.0,41.2,2.0,1.0,1.0,0.0
Ivan Zlobin,ru RUS,GK,Famalicão,23-345,1997,5.0,5.0,450.0,12.0,2.4,29.0,17.0,58.6,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
