player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Amir Abedzadeh,ir IRN,GK,Marítimo,27-291,1993,15.0,15.0,1350.0,20.0,1.33,71.0,52.0,71.8,5.0,2.0,8.0,4.0,26.7,1.0,0.0,1.0,0.0
Antonio Adán,es ESP,GK,Sporting CP,33-274,1987,18.0,18.0,1620.0,11.0,0.61,39.0,29.0,71.8,15.0,3.0,0.0,10.0,55.6,1.0,0.0,1.0,0.0
Jordi Almeida,br BRA,GK,Paços,27-161,1993,18.0,18.0,1620.0,14.0,0.78,50.0,40.0,80.0,10.0,5.0,3.0,7.0,38.9,4.0,4.0,0.0,0.0
Brian Araújo,fr FRA,GK,Gil Vicente FC,20-288,2000,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Leonardo César Jardim,br BRA,GK,Boavista,25-328,1995,18.0,18.0,1620.0,31.0,1.72,73.0,46.0,61.6,2.0,8.0,8.0,4.0,22.2,5.0,3.0,1.0,1.0
Charles,br BRA,GK,Marítimo,27-007,1994,2.0,2.0,180.0,4.0,2.0,5.0,2.0,40.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Diogo Costa,pt POR,GK,Porto,21-145,1999,1.0,1.0,90.0,3.0,3.0,4.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Defendi,br BRA,GK,SC Farense,37-051,1983,15.0,15.0,1303.0,21.0,1.45,59.0,41.0,69.5,3.0,3.0,9.0,0.0,0.0,3.0,3.0,0.0,0.0
Denis,br BRA,GK,Gil Vicente FC,33-303,1987,17.0,17.0,1530.0,22.0,1.29,64.0,43.0,65.6,4.0,3.0,10.0,4.0,23.5,3.0,0.0,2.0,1.0
Ricardo Abel Barbosa Ferreira,pt POR,GK,Portimonense,31-070,1989,4.0,4.0,297.0,4.0,1.21,10.0,7.0,60.0,1.0,1.0,2.0,1.0,25.0,1.0,0.0,1.0,0.0
