player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Alaa Abbas,iq IRQ,FW,Gil Vicente FC,23-199,1997,4.0,1.0,112.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.8,0.8,1.2,3.0,1.0,33.3,2.41,0.8,0.33,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Abedzadeh,ir IRN,GK,Marítimo,27-291,1993,15.0,15.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Abner,br BRA,DF,SC Farense,24-257,1996,2.0,2.0,180.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0
Fábio Abreu,ao ANG,FW,Moreirense,28-013,1993,3.0,3.0,269.0,2.0,0.0,1.0,1.0,1.0,0.0,0.67,0.0,0.67,0.33,0.33,3.0,7.0,3.0,42.9,2.34,1.0,0.14,0.33,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Adán,es ESP,GK,Sporting CP,33-274,1987,18.0,18.0,1620.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
João Afonso Crispim,br BRA,"MF,DF",Gil Vicente FC,26-002,1995,15.0,10.0,938.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,11.0,0.0,1.0,17.0,24.0,0.0,0.0,0.0
João Afonso,pt POR,DF,Santa Clara,30-259,1990,16.0,10.0,908.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,4.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,15.0,14.0,0.0,0.0,0.0
Lucas Áfrico,br BRA,DF,Marítimo,26-006,1995,13.0,12.0,1093.0,1.0,0.0,0.0,0.0,1.0,0.0,0.08,0.0,0.08,0.08,0.08,12.1,14.0,5.0,35.7,1.15,0.41,0.07,0.2,0.0,12.0,14.0,0.0,1.0,17.0,10.0,0.0,0.0,0.0
Salvador Agra,pt POR,"MF,FW",Tondela,29-092,1991,17.0,16.0,1350.0,3.0,1.0,0.0,1.0,3.0,1.0,0.2,0.07,0.27,0.2,0.27,15.0,30.0,12.0,40.0,2.0,0.8,0.1,0.25,0.0,26.0,28.0,6.0,82.0,8.0,8.0,0.0,0.0,0.0
Mikel Agu,ng NGA,MF,Vitória,27-260,1993,6.0,6.0,473.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,4.0,1.0,25.0,0.76,0.19,0.0,0.0,0.0,11.0,0.0,0.0,1.0,15.0,7.0,0.0,0.0,0.0
Almoatasembellah Ali,ly LBY,MF,Braga,24-311,1996,15.0,11.0,986.0,1.0,3.0,0.0,0.0,3.0,0.0,0.09,0.27,0.37,0.09,0.37,11.0,4.0,2.0,50.0,0.37,0.18,0.25,0.5,0.0,22.0,5.0,0.0,1.0,23.0,13.0,0.0,0.0,0.0
Ali Alipour,ir IRN,FW,Marítimo,25-092,1995,11.0,1.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,6.0,1.0,16.7,1.82,0.3,0.0,0.0,0.0,4.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0
Allano,br BRA,MF,Santa Clara,25-293,1995,3.0,1.0,86.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,66.7,3.14,2.09,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
André Almeida Pinto,pt POR,DF,SC Farense,31-129,1989,3.0,3.0,237.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0
André Almeida,pt POR,DF,Benfica,30-154,1990,4.0,4.0,283.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.32,0.32,0.0,0.32,3.1,1.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,5.0,1.0,0.0,11.0,9.0,3.0,0.0,0.0,0.0
Domingos André Ribeiro Almeida,pt POR,MF,Vitória,20-257,2000,13.0,10.0,775.0,1.0,0.0,0.0,0.0,2.0,0.0,0.12,0.0,0.12,0.12,0.12,8.6,8.0,3.0,37.5,0.93,0.35,0.13,0.33,0.0,15.0,22.0,1.0,1.0,5.0,10.0,0.0,0.0,0.0
Jordi Almeida,br BRA,GK,Paços,27-161,1993,18.0,18.0,1620.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
Álvarinho,pt POR,FW,SC Farense,30-161,1990,2.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
Ricardo Miguel Martins Alves,pt POR,DF,Tondela,29-278,1991,7.0,5.0,463.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,5.1,4.0,3.0,75.0,0.78,0.58,0.25,0.33,0.0,9.0,4.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0
Pedro Amador,pt POR,DF,Moreirense,22-055,1998,4.0,4.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,6.0,4.0,0.0,17.0,12.0,7.0,0.0,0.0,0.0
João Amaral,pt POR,FW,Paços,29-157,1991,15.0,7.0,611.0,1.0,1.0,0.0,0.0,1.0,0.0,0.15,0.15,0.29,0.15,0.29,6.8,8.0,2.0,25.0,1.18,0.29,0.13,0.5,0.0,7.0,14.0,5.0,45.0,7.0,5.0,0.0,0.0,0.0
Pedro Amaral,pt POR,DF,Rio Ave,23-170,1997,15.0,11.0,1038.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,9.0,3.0,33.3,0.78,0.26,0.0,0.0,0.0,18.0,21.0,1.0,28.0,14.0,11.0,0.0,0.0,0.0
André Amaro,co COL,DF,Vitória,18-164,2002,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anderson,br BRA,FW,Famalicão,23-082,1997,8.0,5.0,455.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,5.1,19.0,6.0,31.6,3.76,1.19,0.05,0.17,0.0,11.0,7.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0
Anderson,br BRA,"FW,MF",Portimonense,22-210,1998,17.0,10.0,998.0,1.0,1.0,0.0,0.0,2.0,0.0,0.09,0.09,0.18,0.09,0.18,11.1,13.0,3.0,23.1,1.17,0.27,0.08,0.33,0.0,16.0,25.0,1.0,14.0,11.0,8.0,0.0,0.0,0.0
Felipe Anderson,br BRA,MF,Porto,27-302,1993,4.0,1.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,1.0,100.0,0.74,0.74,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0
Léo Andrade,br BRA,DF,Marítimo,22-299,1998,9.0,9.0,775.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,2.0,1.0,50.0,0.23,0.12,0.0,0.0,0.0,12.0,3.0,0.0,3.0,24.0,6.0,0.0,0.0,0.0
André André,pt POR,MF,Vitória,31-169,1989,16.0,16.0,1293.0,5.0,2.0,2.0,2.0,5.0,0.0,0.35,0.14,0.49,0.21,0.35,14.4,17.0,6.0,35.3,1.18,0.42,0.18,0.5,0.0,38.0,34.0,3.0,5.0,17.0,11.0,0.0,0.0,0.0
Souleymane Anne,mr MTN,FW,Tondela,23-068,1997,12.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4.0,1.0,25.0,1.67,0.42,0.0,0.0,0.0,3.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Maurício Antônio,br BRA,DF,Portimonense,29-005,1992,17.0,17.0,1496.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,3.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,16.0,10.0,1.0,4.0,43.0,21.0,0.0,0.0,0.0
Vitorino Antunes,pt POR,MF,Sporting CP,33-316,1987,7.0,3.0,264.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.34,0.34,0.0,0.34,2.9,2.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,6.0,7.0,0.0,18.0,6.0,3.0,0.0,0.0,0.0
Koki Anzai,jp JPN,"DF,MF",Portimonense,25-256,1995,16.0,15.0,1345.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,5.0,1.0,20.0,0.33,0.07,0.0,0.0,0.0,24.0,14.0,2.0,51.0,17.0,10.0,0.0,0.0,0.0
Bilel Aouacheria,fr FRA,"MF,FW",SC Farense,26-315,1994,8.0,6.0,481.0,1.0,0.0,0.0,0.0,1.0,0.0,0.19,0.0,0.19,0.19,0.19,5.3,2.0,1.0,50.0,0.37,0.19,0.5,1.0,0.0,14.0,11.0,1.0,8.0,0.0,4.0,0.0,0.0,0.0
Brian Araújo,fr FRA,GK,Gil Vicente FC,20-288,2000,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telmo Arcanjo,pt POR,MF,Tondela,19-235,2001,5.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,50.0,1.94,0.97,0.0,0.0,0.0,2.0,6.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
Roberto Olabe del Arco,es ESP,MF,Tondela,24-282,1996,2.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,2.73,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Gustavo Assuncao,pt POR,MF,Famalicão,20-318,2000,13.0,13.0,1100.0,1.0,0.0,0.0,0.0,7.0,0.0,0.08,0.0,0.08,0.08,0.08,12.2,6.0,3.0,50.0,0.49,0.25,0.17,0.33,0.0,25.0,17.0,0.0,3.0,14.0,14.0,0.0,0.0,0.0
