player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Adrián,es ESP,GK,Liverpool,34-049,1987,2.0,2.0,180.0,9.0,4.5,16.0,7.0,43.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,26-003,1995,1.0,0.0,16.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alisson,br BRA,GK,Liverpool,28-142,1992,21.0,21.0,1890.0,24.0,1.14,65.0,44.0,69.2,10.0,6.0,5.0,5.0,23.8,8.0,4.0,1.0,3.0
Alphonse Areola,fr FRA,GK,Fulham,27-360,1993,24.0,24.0,2160.0,29.0,1.21,107.0,82.0,77.6,4.0,10.0,10.0,7.0,29.2,5.0,5.0,0.0,0.0
Kepa Arrizabalaga,es ESP,GK,Chelsea,26-141,1994,4.0,4.0,360.0,6.0,1.5,18.0,12.0,66.7,2.0,1.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0
David Button,eng ENG,GK,West Brom,31-360,1989,1.0,1.0,90.0,2.0,2.0,7.0,5.0,71.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willy Caballero,ar ARG,GK,Chelsea,39-146,1981,1.0,1.0,90.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiko Casilla,es ESP,GK,Leeds United,34-142,1986,1.0,1.0,90.0,1.0,1.0,2.0,1.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Karl Darlow,eng ENG,GK,Newcastle Utd,30-136,1990,24.0,24.0,2160.0,40.0,1.67,114.0,77.0,66.7,7.0,4.0,13.0,4.0,16.7,3.0,2.0,1.0,0.0
Ederson,br BRA,GK,Manchester City,27-188,1993,23.0,23.0,2070.0,14.0,0.61,45.0,36.0,80.0,16.0,5.0,2.0,14.0,60.9,5.0,5.0,0.0,0.0
Łukasz Fabiański,pl POL,GK,West Ham,35-309,1985,23.0,23.0,2070.0,28.0,1.22,86.0,60.0,69.8,11.0,6.0,6.0,8.0,34.8,5.0,2.0,2.0,1.0
Fraser Forster,eng ENG,GK,Southampton,32-341,1988,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
David de Gea,es ESP,GK,Manchester Utd,30-106,1990,22.0,22.0,1935.0,28.0,1.3,65.0,42.0,63.1,11.0,7.0,4.0,8.0,36.4,4.0,4.0,0.0,0.0
Vicente Guaita,es ESP,GK,Crystal Palace,34-042,1987,24.0,24.0,2160.0,42.0,1.75,113.0,72.0,65.5,8.0,5.0,11.0,4.0,16.7,4.0,3.0,1.0,0.0
Dean Henderson,eng ENG,GK,Manchester Utd,23-346,1997,3.0,2.0,225.0,3.0,1.2,14.0,11.0,78.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Johnstone,eng ENG,GK,West Brom,27-333,1993,24.0,24.0,2160.0,53.0,2.21,144.0,96.0,66.0,1.0,8.0,15.0,3.0,12.5,5.0,4.0,1.0,0.0
Caoimhín Kelleher,ie IRL,GK,Liverpool,22-090,1998,2.0,2.0,180.0,1.0,0.5,7.0,6.0,85.7,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0
Bernd Leno,de GER,GK,Arsenal,28-354,1992,23.0,23.0,2051.0,24.0,1.05,78.0,58.0,70.5,10.0,4.0,9.0,8.0,34.8,2.0,1.0,1.0,0.0
Hugo Lloris,fr FRA,GK,Tottenham,34-057,1986,23.0,23.0,2070.0,25.0,1.09,87.0,70.0,78.2,10.0,6.0,7.0,7.0,30.4,6.0,6.0,0.0,0.0
Emiliano Martínez,ar ARG,GK,Aston Villa,28-172,1992,22.0,22.0,1980.0,24.0,1.09,105.0,81.0,79.0,11.0,3.0,8.0,12.0,54.5,3.0,2.0,1.0,0.0
Alex McCarthy,eng ENG,GK,Southampton,31-080,1989,23.0,23.0,2070.0,40.0,1.74,96.0,61.0,63.5,7.0,6.0,10.0,7.0,30.4,5.0,5.0,0.0,0.0
Edouard Mendy,sn SEN,GK,Chelsea,28-357,1992,20.0,20.0,1800.0,16.0,0.8,47.0,34.0,70.2,10.0,5.0,5.0,10.0,50.0,2.0,2.0,0.0,0.0
Illan Meslier,fr FRA,GK,Leeds United,20-356,2000,23.0,23.0,2070.0,42.0,1.83,121.0,87.0,71.1,10.0,2.0,11.0,7.0,30.4,7.0,7.0,0.0,0.0
Robin Olsen,se SWE,GK,Everton,31-044,1990,5.0,5.0,450.0,8.0,1.6,20.0,12.0,65.0,2.0,1.0,2.0,1.0,20.0,1.0,1.0,0.0,0.0
Rui Patrício,pt POR,GK,Wolves,33-006,1988,25.0,25.0,2250.0,32.0,1.28,82.0,57.0,68.3,9.0,6.0,10.0,7.0,28.0,7.0,6.0,1.0,0.0
Bailey Peacock-Farrell,nir NIR,GK,Burnley,24-115,1996,1.0,1.0,90.0,5.0,5.0,7.0,2.0,28.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Pickford,eng ENG,GK,Everton,26-351,1994,19.0,19.0,1710.0,25.0,1.32,83.0,57.0,71.1,10.0,3.0,6.0,4.0,21.1,2.0,1.0,0.0,1.0
Nick Pope,eng ENG,GK,Burnley,28-308,1992,24.0,24.0,2160.0,25.0,1.04,112.0,90.0,80.4,7.0,7.0,10.0,9.0,37.5,3.0,3.0,0.0,0.0
Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22-283,1998,25.0,25.0,2250.0,41.0,1.64,124.0,84.0,68.5,3.0,2.0,20.0,1.0,4.0,3.0,2.0,0.0,1.0
Darren Randolph,ie IRL,GK,West Ham,33-285,1987,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Marek Rodák,sk SVK,GK,Fulham,24-070,1996,1.0,1.0,90.0,3.0,3.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathew Ryan,au AUS,GK,Arsenal,28-319,1992,1.0,1.0,90.0,1.0,1.0,8.0,7.0,87.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathew Ryan,au AUS,GK,Brighton,28-319,1992,11.0,11.0,990.0,19.0,1.73,30.0,16.0,50.0,2.0,4.0,5.0,2.0,18.2,4.0,4.0,0.0,0.0
Robert Sánchez,es ESP,GK,Brighton,23-095,1997,13.0,13.0,1170.0,11.0,0.85,41.0,33.0,78.0,3.0,7.0,3.0,6.0,46.2,3.0,2.0,0.0,1.0
Kasper Schmeichel,dk DEN,GK,Leicester City,34-108,1986,24.0,24.0,2160.0,26.0,1.08,91.0,64.0,72.5,14.0,4.0,6.0,9.0,37.5,1.0,1.0,0.0,0.0
Zack Steffen,us USA,GK,Manchester City,25-325,1995,1.0,1.0,90.0,1.0,1.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
