player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Patrick van Aanholt,nl NED,DF,Crystal Palace,30-185,1990,15.0,14.0,1234.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.07,0.07,0.0,0.07,13.7,15.0,5.0,33.3,1.09,0.36,0.0,0.0,0.0,10.0,4.0,3.0,28.0,26.0,12.0,0.0,0.0,0.0
Tammy Abraham,eng ENG,FW,Chelsea,23-151,1997,20.0,12.0,1021.0,6.0,1.0,0.0,0.0,0.0,0.0,0.53,0.09,0.62,0.53,0.62,11.3,31.0,13.0,41.9,2.73,1.15,0.19,0.46,0.0,21.0,12.0,5.0,3.0,2.0,3.0,1.0,0.0,0.0
Che Adams,eng ENG,FW,Southampton,24-232,1996,25.0,22.0,1907.0,4.0,4.0,0.0,0.0,1.0,0.0,0.19,0.19,0.38,0.19,0.38,21.2,40.0,18.0,45.0,1.89,0.85,0.1,0.22,0.0,20.0,37.0,14.0,8.0,6.0,13.0,0.0,0.0,0.0
Tosin Adarabioyo,eng ENG,DF,Fulham,23-159,1997,22.0,22.0,1980.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,4.0,23.5,0.77,0.18,0.0,0.0,0.0,11.0,4.0,1.0,2.0,31.0,17.0,0.0,0.0,0.0
Adrián,es ESP,GK,Liverpool,34-058,1987,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Agüero,ar ARG,FW,Manchester City,32-273,1988,6.0,3.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.0,1.0,25.0,1.77,0.44,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Ola Aina,ng NGA,DF,Fulham,24-145,1996,22.0,22.0,1909.0,2.0,1.0,0.0,0.0,2.0,0.0,0.09,0.05,0.14,0.09,0.14,21.2,12.0,3.0,25.0,0.57,0.14,0.17,0.67,0.0,20.0,18.0,1.0,35.0,33.0,18.0,0.0,0.0,0.0
Rayan Aït Nouri,fr FRA,DF,Wolves,19-269,2001,13.0,8.0,702.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13,0.13,0.26,0.13,0.26,7.8,9.0,3.0,33.3,1.15,0.38,0.11,0.33,0.0,8.0,12.0,0.0,13.0,7.0,8.0,0.0,1.0,0.0
Semi Ajayi,ng NGA,DF,West Brom,27-113,1993,24.0,24.0,2099.0,2.0,0.0,0.0,0.0,3.0,1.0,0.09,0.0,0.09,0.09,0.09,23.3,7.0,3.0,42.9,0.3,0.13,0.29,0.67,0.0,22.0,3.0,0.0,5.0,25.0,33.0,0.0,1.0,0.0
Nathan Aké,nl NED,DF,Manchester City,26-012,1995,6.0,5.0,470.0,1.0,0.0,0.0,0.0,3.0,0.0,0.19,0.0,0.19,0.19,0.19,5.2,1.0,1.0,100.0,0.19,0.19,1.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
Marc Albrighton,eng ENG,"FW,DF",Leicester City,31-104,1989,19.0,12.0,1159.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.16,0.16,0.0,0.16,12.9,15.0,6.0,40.0,1.16,0.47,0.0,0.0,0.0,6.0,19.0,4.0,51.0,19.0,23.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Liverpool,29-325,1991,13.0,10.0,982.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,12.0,1.0,8.3,1.1,0.09,0.0,0.0,0.0,30.0,11.0,0.0,3.0,15.0,19.0,0.0,1.0,0.0
Toby Alderweireld,be BEL,DF,Tottenham,32-000,1989,15.0,15.0,1340.0,1.0,0.0,0.0,0.0,2.0,0.0,0.07,0.0,0.07,0.07,0.07,14.9,6.0,2.0,33.3,0.4,0.13,0.17,0.5,0.0,12.0,2.0,0.0,1.0,1.0,12.0,0.0,0.0,1.0
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,26-012,1995,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
