player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Patrick van Aanholt,nl NED,DF,Crystal Palace,30-160,1990,12.0,11.0,1009.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09,0.09,0.0,0.09,0.7,0.7,0.8,0.07,0.07,0.14,0.07,0.14,11.2,13.0,5.0,3.0,38.5,1.16,0.45,0.0,0.0,0.06,-0.7,-0.7,561.0,690.0,81.3,9243.0,4245.0,293.0,329.0,89.1,210.0,250.0,84.0,46.0,88.0,52.3,0.2,11.0,42.0,20.0,4.0,73.0,594.0,96.0,18.0,2.0,54.0,12.0,26.0,2.0,0.0,2.0,0.0,464.0,121.0,105.0,468.0,126.0,13.0,76.0,2.0,7.0,12.0,13.0,16.0,22.0,1.96,19.0,2.0,1.0,0.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,12.0,5.0,1.0,9.0,18.0,50.0,9.0,90.0,33.0,36.7,58.0,22.0,10.0,17.0,2.0,0.0,15.0,21.0,19.0,1.0,799.0,34.0,220.0,398.0,229.0,27.0,701.0,4.0,11.0,36.4,4.0,0.0,469.0,2321.0,1322.0,86.0,24.0,6.0,537.0,498.0,92.7,6.0,7.0,0.0,6.0,4.0,3.0,0.0,0.0,0.0,111.0,8.0,9.0,47.1
Tammy Abraham,eng ENG,FW,Chelsea,23-126,1997,18.0,10.0,957.0,6.0,1.0,0.0,0.0,0.0,0.0,0.56,0.09,0.66,0.56,0.66,5.5,5.5,0.9,0.51,0.08,0.6,0.51,0.6,10.6,30.0,13.0,0.0,43.3,2.82,1.22,0.2,0.46,0.18,0.5,0.5,138.0,201.0,68.7,1925.0,327.0,84.0,108.0,77.8,36.0,58.0,62.1,9.0,15.0,60.0,0.1,8.0,12.0,2.0,0.0,11.0,192.0,9.0,2.0,0.0,69.0,1.0,3.0,0.0,0.0,0.0,0.0,125.0,52.0,24.0,17.0,135.0,16.0,0.0,11.0,0.0,3.0,3.0,12.0,18.0,1.69,11.0,0.0,1.0,3.0,3.0,2.0,0.19,1.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,2.0,3.0,1.0,0.0,4.0,0.0,4.0,139.0,32.0,23.0,11.0,60.0,68.0,9.0,2.0,0.0,7.0,2.0,15.0,0.0,325.0,19.0,37.0,152.0,152.0,59.0,317.0,6.0,18.0,33.3,6.0,2.0,167.0,647.0,241.0,11.0,5.0,3.0,449.0,233.0,51.9,26.0,10.0,0.0,20.0,12.0,4.0,1.0,0.0,0.0,43.0,36.0,25.0,59.0
Che Adams,eng ENG,FW,Southampton,24-207,1996,20.0,19.0,1623.0,4.0,4.0,0.0,0.0,1.0,0.0,0.22,0.22,0.44,0.22,0.44,4.8,4.8,4.0,0.27,0.22,0.49,0.27,0.49,18.0,35.0,17.0,0.0,48.6,1.94,0.94,0.11,0.24,0.14,-0.8,-0.8,272.0,390.0,69.7,4527.0,1055.0,135.0,178.0,75.8,91.0,119.0,76.5,31.0,43.0,72.1,0.0,20.0,19.0,12.0,0.0,38.0,382.0,8.0,1.0,6.0,103.0,8.0,5.0,0.0,0.0,0.0,0.0,240.0,76.0,74.0,26.0,313.0,22.0,0.0,13.0,4.0,8.0,13.0,21.0,35.0,1.94,26.0,0.0,1.0,4.0,4.0,5.0,0.28,5.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,4.0,11.0,7.0,3.0,15.0,20.0,12.0,237.0,80.0,33.8,32.0,83.0,122.0,13.0,2.0,0.0,11.0,5.0,12.0,0.0,596.0,14.0,54.0,269.0,300.0,59.0,589.0,15.0,27.0,55.6,17.0,0.0,372.0,1406.0,601.0,37.0,14.0,3.0,935.0,460.0,49.2,50.0,31.0,0.0,17.0,29.0,13.0,0.0,0.0,0.0,67.0,23.0,88.0,20.7
Tosin Adarabioyo,eng ENG,DF,Fulham,23-134,1997,17.0,17.0,1530.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.04,0.01,0.04,0.04,0.04,17.0,12.0,2.0,0.0,16.7,0.71,0.12,0.0,0.0,0.05,-0.6,-0.6,711.0,831.0,85.6,16868.0,5817.0,134.0,150.0,89.3,397.0,432.0,91.9,174.0,239.0,72.8,-0.1,3.0,37.0,1.0,0.0,31.0,801.0,30.0,26.0,0.0,83.0,20.0,3.0,0.0,0.0,0.0,0.0,624.0,57.0,150.0,124.0,640.0,43.0,4.0,2.0,1.0,18.0,7.0,6.0,9.0,0.53,9.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,19.0,5.0,0.0,11.0,19.0,57.9,8.0,102.0,31.0,30.4,72.0,28.0,2.0,21.0,13.0,0.0,8.0,24.0,123.0,1.0,1033.0,212.0,603.0,430.0,42.0,21.0,1003.0,3.0,3.0,100.0,3.0,0.0,568.0,2366.0,1266.0,22.0,3.0,0.0,662.0,639.0,96.5,1.0,7.0,0.0,9.0,4.0,1.0,0.0,0.0,0.0,165.0,45.0,20.0,69.2
Adrián,es ESP,GK,Liverpool,34-033,1987,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,62.0,69.4,1147.0,723.0,12.0,12.0,100.0,18.0,19.0,94.7,11.0,29.0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,45.0,17.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,26.0,9.0,38.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,64.0,69.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,29.0,110.0,65.0,0.0,0.0,0.0,28.0,27.0,96.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Sergio Agüero,ar ARG,FW,Manchester City,32-248,1988,5.0,2.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.4,0.35,0.76,0.4,0.76,1.6,4.0,1.0,0.0,25.0,2.52,0.63,0.0,0.0,0.16,-0.6,-0.6,33.0,42.0,78.6,386.0,58.0,19.0,23.0,82.6,5.0,6.0,83.3,2.0,2.0,100.0,-0.6,3.0,2.0,1.0,0.0,1.0,39.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,7.0,4.0,5.0,33.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,2.52,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0,4.0,21.1,4.0,3.0,12.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,60.0,0.0,4.0,20.0,37.0,15.0,57.0,0.0,2.0,0.0,1.0,1.0,27.0,133.0,83.0,5.0,1.0,1.0,67.0,47.0,70.1,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,40.0
Ola Aina,ng NGA,DF,Fulham,24-120,1996,18.0,18.0,1594.0,1.0,0.0,0.0,0.0,2.0,0.0,0.06,0.0,0.06,0.06,0.06,0.4,0.4,0.3,0.03,0.02,0.04,0.03,0.04,17.7,8.0,1.0,1.0,12.5,0.45,0.06,0.13,1.0,0.06,0.6,0.6,782.0,1013.0,77.2,15293.0,6122.0,308.0,340.0,90.6,351.0,418.0,84.0,113.0,224.0,50.4,-0.3,8.0,66.0,10.0,6.0,68.0,860.0,153.0,17.0,0.0,74.0,24.0,32.0,0.0,0.0,0.0,0.0,581.0,150.0,282.0,115.0,686.0,64.0,136.0,4.0,0.0,13.0,21.0,25.0,14.0,0.79,13.0,1.0,0.0,0.0,0.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,32.0,15.0,19.0,9.0,4.0,9.0,24.0,37.5,15.0,145.0,35.0,24.1,75.0,55.0,15.0,29.0,5.0,0.0,24.0,27.0,78.0,0.0,1200.0,79.0,453.0,604.0,213.0,6.0,1057.0,6.0,12.0,50.0,7.0,1.0,654.0,3345.0,1854.0,67.0,25.0,2.0,759.0,724.0,95.4,9.0,8.0,0.0,15.0,14.0,1.0,0.0,0.0,0.0,156.0,21.0,25.0,45.7
Rayan Aït Nouri,fr FRA,DF,Wolves,19-244,2001,11.0,8.0,692.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13,0.13,0.26,0.13,0.26,0.3,0.3,0.7,0.04,0.1,0.14,0.04,0.14,7.7,9.0,3.0,0.0,33.3,1.17,0.39,0.11,0.33,0.04,0.7,0.7,299.0,357.0,83.8,4712.0,1364.0,158.0,172.0,91.9,122.0,141.0,86.5,15.0,27.0,55.6,0.3,6.0,13.0,6.0,3.0,18.0,307.0,50.0,1.0,0.0,27.0,4.0,13.0,0.0,0.0,0.0,0.0,244.0,65.0,48.0,263.0,30.0,11.0,49.0,0.0,0.0,1.0,3.0,15.0,12.0,1.56,10.0,0.0,2.0,0.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,6.0,8.0,1.0,8.0,14.0,57.1,6.0,100.0,29.0,29.0,48.0,38.0,14.0,13.0,0.0,0.0,13.0,7.0,18.0,0.0,455.0,22.0,122.0,202.0,151.0,13.0,406.0,15.0,29.0,51.7,15.0,2.0,305.0,1468.0,943.0,50.0,10.0,6.0,308.0,283.0,91.9,9.0,8.0,0.0,8.0,11.0,0.0,0.0,1.0,0.0,63.0,6.0,7.0,46.2
Semi Ajayi,ng NGA,DF,West Brom,27-088,1993,21.0,21.0,1890.0,2.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0,0.1,0.1,0.1,0.5,0.5,0.1,0.02,0.0,0.03,0.02,0.03,21.0,6.0,3.0,0.0,50.0,0.29,0.14,0.33,0.67,0.08,1.5,1.5,536.0,737.0,72.7,11727.0,4978.0,154.0,183.0,84.2,280.0,349.0,80.2,101.0,196.0,51.5,-0.1,2.0,51.0,3.0,0.0,46.0,688.0,49.0,11.0,1.0,91.0,25.0,5.0,0.0,0.0,0.0,0.0,445.0,81.0,211.0,38.0,564.0,56.0,38.0,2.0,3.0,23.0,26.0,11.0,8.0,0.38,6.0,0.0,1.0,1.0,0.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,45.0,30.0,34.0,9.0,2.0,13.0,24.0,54.2,11.0,242.0,93.0,38.4,162.0,68.0,12.0,40.0,23.0,1.0,17.0,21.0,91.0,1.0,944.0,157.0,499.0,432.0,58.0,20.0,896.0,9.0,12.0,75.0,9.0,1.0,464.0,2614.0,1406.0,25.0,8.0,0.0,522.0,480.0,92.0,4.0,8.0,0.0,20.0,3.0,0.0,0.0,1.0,0.0,207.0,57.0,32.0,64.0
Nathan Aké,nl NED,DF,Manchester City,25-353,1995,6.0,5.0,470.0,1.0,0.0,0.0,0.0,3.0,0.0,0.19,0.0,0.19,0.19,0.19,0.1,0.1,0.0,0.01,0.0,0.02,0.01,0.02,5.2,1.0,1.0,0.0,100.0,0.19,0.19,1.0,1.0,0.07,0.9,0.9,429.0,461.0,93.1,7845.0,2158.0,177.0,185.0,95.7,214.0,226.0,94.7,36.0,44.0,81.8,0.0,1.0,36.0,0.0,0.0,23.0,441.0,20.0,10.0,0.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,393.0,25.0,43.0,353.0,61.0,16.0,10.0,2.0,0.0,2.0,4.0,4.0,2.0,0.38,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,100.0,0.0,29.0,11.0,37.9,9.0,14.0,6.0,4.0,1.0,0.0,3.0,3.0,14.0,0.0,492.0,16.0,110.0,362.0,47.0,4.0,472.0,0.0,0.0,0.0,0.0,0.0,361.0,1668.0,936.0,42.0,9.0,0.0,396.0,388.0,98.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,56.0,23.0,9.0,71.9
