player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Eike Bansen,de GER,GK,Zulte Waregem,23-009,1998,6.0,6.0,540.0,14.0,2.33,27.0,14.0,51.9,2.0,0.0,4.0,1.0,16.7,1.0,1.0,0.0,0.0
Alireza Beiranvand,ir IRN,GK,Antwerp,28-162,1992,10.0,10.0,844.0,11.0,1.17,31.0,22.0,71.0,5.0,2.0,3.0,4.0,40.0,3.0,2.0,0.0,1.0
Arnaud Bodart,be BEL,GK,Standard Liège,22-356,1998,28.0,28.0,2520.0,37.0,1.32,103.0,65.0,65.0,10.0,9.0,9.0,7.0,25.0,1.0,1.0,0.0,0.0
Sinan Bolat,tr TUR,GK,Gent,32-180,1988,21.0,21.0,1890.0,24.0,1.14,76.0,54.0,72.4,8.0,7.0,6.0,6.0,28.6,5.0,3.0,2.0,0.0
Louis Bostyn,be BEL,GK,Zulte Waregem,27-149,1993,23.0,23.0,2070.0,36.0,1.57,126.0,94.0,74.6,11.0,4.0,8.0,4.0,17.4,5.0,4.0,1.0,0.0
Jean Butez,fr FRA,GK,Antwerp,25-267,1995,18.0,18.0,1620.0,25.0,1.39,74.0,51.0,68.9,9.0,4.0,5.0,2.0,11.1,2.0,2.0,0.0,0.0
Bram Castro,be BEL,GK,Oostende,38-153,1982,3.0,3.0,270.0,4.0,1.33,10.0,7.0,70.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Gaëtan Coucke,be BEL,GK,Mechelen,22-089,1998,16.0,16.0,1440.0,31.0,1.94,62.0,31.0,50.0,3.0,5.0,8.0,2.0,12.5,0.0,0.0,0.0,0.0
Ortwin De Wolf,be BEL,GK,Antwerp,23-313,1997,2.0,1.0,146.0,2.0,1.23,6.0,4.0,66.7,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
Ortwin De Wolf,be BEL,GK,Eupen,23-313,1997,12.0,12.0,1035.0,18.0,1.57,50.0,34.0,68.0,3.0,6.0,3.0,2.0,16.7,2.0,2.0,0.0,0.0
Théo Defourny,be BEL,GK,Eupen,28-311,1992,17.0,16.0,1485.0,25.0,1.52,68.0,46.0,66.2,5.0,5.0,6.0,3.0,18.8,3.0,2.0,1.0,0.0
Rémy Descamps,fr FRA,GK,Charleroi,24-250,1996,9.0,9.0,810.0,12.0,1.33,36.0,26.0,69.4,3.0,4.0,2.0,1.0,11.1,2.0,1.0,1.0,0.0
Thomas Didillon,fr FRA,GK,Cercle Brugge,25-094,1995,26.0,26.0,2340.0,40.0,1.54,98.0,61.0,62.2,9.0,2.0,15.0,4.0,15.4,4.0,3.0,0.0,1.0
Brent Gabriël,be BEL,GK,Waasland-Bev,22-034,1999,1.0,1.0,90.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Laurent Henkinet,be BEL,GK,Standard Liège,28-169,1992,1.0,1.0,90.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Horvath,us USA,GK,Club Brugge,25-266,1995,1.0,1.0,90.0,2.0,2.0,5.0,4.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Guillaume Hubert,be BEL,GK,Oostende,27-050,1994,26.0,26.0,2340.0,32.0,1.23,92.0,58.0,68.5,11.0,7.0,8.0,6.0,23.1,3.0,3.0,0.0,0.0
Marko Ilić,rs SRB,GK,Kortrijk,23-027,1998,17.0,17.0,1530.0,23.0,1.35,59.0,38.0,64.4,6.0,2.0,9.0,5.0,29.4,2.0,2.0,0.0,0.0
Daniel Iversen,dk DEN,GK,OH Leuven,23-226,1997,5.0,5.0,405.0,6.0,1.33,18.0,9.0,66.7,2.0,1.0,2.0,1.0,20.0,0.0,0.0,0.0,0.0
Nordin Jackers,be BEL,GK,Waasland-Bev,23-178,1997,24.0,24.0,2160.0,47.0,1.96,132.0,90.0,65.9,5.0,7.0,12.0,5.0,20.8,6.0,2.0,3.0,1.0
Adam Jakubech,sk SVK,GK,Kortrijk,24-059,1997,12.0,12.0,1080.0,19.0,1.58,63.0,46.0,73.0,4.0,4.0,4.0,4.0,33.3,2.0,2.0,0.0,0.0
Thomas Kaminski,be BEL,GK,Gent,28-130,1992,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren Keet,za RSA,GK,OH Leuven,31-209,1989,1.0,1.0,90.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hervé Koffi,bf BFA,GK,Excel Mouscron,24-137,1996,29.0,29.0,2610.0,46.0,1.59,138.0,100.0,71.7,6.0,9.0,14.0,4.0,13.8,8.0,7.0,1.0,0.0
Abdul Manaf Nurudeen,gh GHA,GK,Eupen,22-022,1999,1.0,1.0,90.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simon Mignolet,be BEL,GK,Club Brugge,32-361,1988,26.0,26.0,2340.0,16.0,0.62,69.0,56.0,79.7,20.0,3.0,3.0,12.0,46.2,5.0,2.0,2.0,1.0
Nicolas Penneteau,fr FRA,GK,Charleroi,40-002,1981,19.0,19.0,1709.0,26.0,1.37,65.0,42.0,64.6,8.0,2.0,9.0,6.0,31.6,3.0,3.0,0.0,0.0
Lucas Pirard,be BEL,GK,Waasland-Bev,25-357,1995,4.0,4.0,360.0,10.0,2.5,26.0,18.0,69.2,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0
Davy Roef,be BEL,GK,Gent,27-024,1994,6.0,6.0,540.0,8.0,1.33,25.0,16.0,68.0,2.0,0.0,4.0,2.0,33.3,0.0,0.0,0.0,0.0
Rafael Romo,ve VEN,GK,OH Leuven,31-005,1990,24.0,23.0,2115.0,39.0,1.66,153.0,118.0,77.1,10.0,5.0,8.0,4.0,17.4,4.0,4.0,0.0,0.0
Daniel Schmidt,jp JPN,GK,Sint-Truiden,29-027,1992,20.0,20.0,1800.0,26.0,1.3,90.0,68.0,75.6,7.0,4.0,9.0,6.0,30.0,4.0,4.0,0.0,0.0
Kenny Steppe,be BEL,GK,Sint-Truiden,32-108,1988,9.0,9.0,810.0,18.0,2.0,35.0,19.0,54.3,1.0,3.0,5.0,2.0,22.2,3.0,2.0,0.0,1.0
