player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Adriano,br BRA,"MF,DF",Eupen,36-127,1984,21.0,19.0,1582.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.23,0.23,0.0,0.23,17.6,16.0,3.0,18.8,0.91,0.17,0.0,0.0,0.0,23.0,24.0,1.0,50.0,27.0,18.0,0.0,0.0,0.0
Emmanuel Agbadou,ci CIV,"DF,MF",Eupen,23-258,1997,19.0,19.0,1635.0,1.0,0.0,0.0,0.0,2.0,1.0,0.06,0.0,0.06,0.06,0.06,18.2,11.0,2.0,18.2,0.61,0.11,0.09,0.5,0.0,31.0,7.0,1.0,5.0,52.0,19.0,0.0,0.0,0.0
Saad Agouzoul,ma MAR,DF,Excel Mouscron,23-204,1997,28.0,28.0,2520.0,1.0,1.0,0.0,0.0,7.0,0.0,0.04,0.04,0.07,0.04,0.07,28.0,14.0,4.0,28.6,0.5,0.14,0.07,0.25,0.0,25.0,8.0,2.0,3.0,40.0,32.0,0.0,0.0,0.0
Yannick Aguemon,bj BEN,"MF,DF",OH Leuven,29-019,1992,3.0,2.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,3.0,1.0,33.3,1.42,0.47,0.0,0.0,0.0,1.0,3.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0
Alessandro Albanese,be BEL,"MF,FW",Waasland-Bev,21-049,2000,20.0,15.0,1140.0,1.0,5.0,0.0,0.0,5.0,0.0,0.08,0.39,0.47,0.08,0.47,12.7,10.0,4.0,40.0,0.79,0.32,0.1,0.25,0.0,3.0,17.0,3.0,20.0,7.0,7.0,0.0,0.0,0.0
Arthur Allemeersch,be BEL,FW,OH Leuven,19-218,2001,2.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,100.0,1.34,1.34,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Éder Álvarez Balanta,co COL,"MF,DF",Club Brugge,28-002,1993,16.0,7.0,690.0,1.0,0.0,0.0,0.0,4.0,0.0,0.13,0.0,0.13,0.13,0.13,7.7,6.0,2.0,33.3,0.78,0.26,0.17,0.5,0.0,18.0,6.0,1.0,2.0,13.0,14.0,0.0,0.0,0.0
Selim Amallah,ma MAR,"MF,FW",Standard Liège,24-107,1996,20.0,17.0,1510.0,6.0,3.0,1.0,1.0,7.0,1.0,0.36,0.18,0.54,0.3,0.48,16.8,54.0,19.0,35.2,3.22,1.13,0.09,0.26,1.0,40.0,61.0,3.0,18.0,23.0,39.0,0.0,0.0,0.0
Jordi Amat,es ESP,DF,Eupen,28-346,1992,25.0,22.0,2001.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,4.0,1.0,25.0,0.18,0.04,0.0,0.0,0.0,20.0,5.0,0.0,0.0,24.0,18.0,0.0,0.0,0.0
Michael Amir Murillo,pa PAN,DF,Anderlecht,25-019,1996,25.0,22.0,2044.0,2.0,2.0,0.0,0.0,5.0,0.0,0.09,0.09,0.18,0.09,0.18,22.7,13.0,6.0,46.2,0.57,0.26,0.15,0.33,0.0,34.0,29.0,1.0,38.0,35.0,33.0,0.0,0.0,0.0
