player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Igor Akinfeev,ru RUS,GK,CSKA Moscow,34-319,1986,19.0,19.0,1710.0,17.0,0.89,77.0,61.0,77.9,11.0,4.0,4.0,6.0,31.6,1.0,0.0,1.0,0.0
Yegor Baburin,ru RUS,GK,Rostov,27-196,1993,4.0,4.0,360.0,4.0,1.0,13.0,10.0,76.9,3.0,0.0,1.0,1.0,25.0,1.0,1.0,0.0,0.0
Aleksandr Belenov,ru RUS,GK,Ufa,34-161,1986,19.0,19.0,1710.0,31.0,1.63,97.0,71.0,71.1,3.0,4.0,12.0,3.0,15.8,5.0,3.0,2.0,0.0
Nikita Chagrov,ru RUS,GK,Tambov,25-303,1995,1.0,1.0,90.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Josip Condric,hr CRO,GK,Rotor Volgograd,27-178,1993,11.0,11.0,990.0,15.0,1.36,51.0,40.0,78.4,3.0,3.0,5.0,4.0,36.4,5.0,4.0,0.0,1.0
Aleksandr Dovbnya,ru RUS,GK,Rotor Volgograd,33-317,1987,6.0,6.0,540.0,9.0,1.5,33.0,25.0,75.8,0.0,2.0,4.0,1.0,16.7,2.0,1.0,0.0,1.0
Yuri Dyupin,ru RUS,GK,Rubin Kazan,32-341,1988,15.0,15.0,1350.0,20.0,1.33,56.0,39.0,69.6,6.0,4.0,5.0,3.0,20.0,3.0,3.0,0.0,0.0
Soslan Dzhanayev,ru RUS,GK,Sochi,33-345,1987,18.0,18.0,1620.0,20.0,1.11,64.0,47.0,71.9,9.0,6.0,3.0,6.0,33.3,3.0,2.0,1.0,0.0
Yevgeni Gorodov,ru RUS,GK,Krasnodar,35-070,1985,4.0,4.0,360.0,2.0,0.5,10.0,9.0,80.0,3.0,0.0,1.0,3.0,75.0,1.0,0.0,1.0,0.0
Vitali Gudiyev,ru RUS,GK,Akhmat Grozny,25-305,1995,9.0,9.0,810.0,9.0,1.0,39.0,30.0,76.9,2.0,4.0,3.0,4.0,44.4,0.0,0.0,0.0,0.0
Yaroslav Hodzyur,ua UKR,GK,Ural,35-352,1985,2.0,2.0,180.0,3.0,1.5,11.0,9.0,81.8,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Mikhail Kerzhakov,ru RUS,GK,Zenit,34-024,1987,16.0,16.0,1440.0,13.0,0.81,47.0,36.0,76.6,9.0,5.0,2.0,6.0,37.5,2.0,2.0,0.0,0.0
Anton Kochenkov,ru RUS,GK,Loko Moscow,33-325,1987,4.0,3.0,295.0,5.0,1.53,19.0,16.0,84.2,1.0,1.0,1.0,2.0,66.7,2.0,2.0,0.0,0.0
Ilya Lantratov,ru RUS,GK,FC Khimki,25-102,1995,19.0,19.0,1710.0,30.0,1.58,100.0,74.0,73.0,7.0,4.0,8.0,5.0,26.3,5.0,3.0,1.0,1.0
Igor Leshchuk,ru RUS,GK,Dynamo Mosc,25-001,1996,1.0,1.0,90.0,1.0,1.0,7.0,6.0,85.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikhail Levashov,ru RUS,GK,Arsenal Tula,29-140,1991,3.0,3.0,270.0,6.0,2.0,13.0,9.0,69.2,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
Andrey Lunyov,ru RUS,GK,Zenit,29-100,1991,3.0,3.0,270.0,3.0,1.0,11.0,9.0,81.8,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Aleksandr Maksimenko,ru RUS,GK,Spartak Moscow,22-339,1998,19.0,19.0,1710.0,21.0,1.11,96.0,77.0,80.2,10.0,5.0,4.0,5.0,26.3,2.0,2.0,0.0,0.0
Guilherme Marinato,ru RUS,GK,Loko Moscow,35-071,1985,16.0,16.0,1413.0,20.0,1.27,51.0,32.0,60.8,7.0,3.0,6.0,7.0,43.8,1.0,0.0,1.0,0.0
Nikita Medvedev,ru RUS,GK,Rubin Kazan,26-066,1994,4.0,4.0,360.0,5.0,1.25,11.0,7.0,63.6,2.0,0.0,2.0,2.0,50.0,1.0,1.0,0.0,0.0
Artur Nigmatullin,ru RUS,GK,Arsenal Tula,29-280,1991,7.0,7.0,625.0,10.0,1.44,28.0,19.0,67.9,1.0,2.0,4.0,1.0,14.3,1.0,1.0,0.0,0.0
Sergei Pesyakov,ru RUS,GK,Rostov,32-067,1988,14.0,14.0,1260.0,16.0,1.14,60.0,47.0,75.0,6.0,2.0,6.0,7.0,50.0,3.0,1.0,2.0,0.0
Ilya Pomazun,ru RUS,GK,Ural,24-189,1996,17.0,17.0,1530.0,20.0,1.18,67.0,53.0,77.6,4.0,8.0,5.0,5.0,29.4,6.0,5.0,1.0,0.0
