player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Oliver Abildgaard,dk DEN,MF,Rubin Kazan,24-265,1996,19.0,19.0,1690.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.05,0.05,0.0,0.05,18.8,22.0,5.0,22.7,1.17,0.27,0.0,0.0,1.0,36.0,39.0,0.0,9.0,64.0,27.0,0.0,0.0,0.0
Arsen Adamov,ru RUS,DF,Akhmat Grozny,21-133,1999,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Amir Adouyev,ru RUS,MF,Akhmat Grozny,21-295,1999,3.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
Guram Adzhoyev,ru RUS,FW,Arsenal Tula,26-003,1995,4.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gamid Agalarov,ru RUS,FW,Ufa,20-229,2000,5.0,1.0,111.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,1.0,100.0,0.81,0.81,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mikhail Ageev,ru RUS,FW,Loko Moscow,20-314,2000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanislav Agkatsev,ru RUS,GK,Krasnodar,19-052,2002,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ilzat Akhmetov,ru RUS,MF,CSKA Moscow,23-061,1997,5.0,3.0,292.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.31,0.31,0.0,0.31,3.2,3.0,2.0,66.7,0.92,0.62,0.0,0.0,0.0,5.0,2.0,0.0,6.0,9.0,10.0,0.0,0.0,0.0
Igor Akinfeev,ru RUS,GK,CSKA Moscow,34-328,1986,19.0,19.0,1710.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haitam Aleesami,no NOR,DF,Rostov,29-214,1991,6.0,3.0,246.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,12.0,4.0,4.0,0.0,0.0,0.0
Oleg Aleynik,ru RUS,MF,Rotor Volgograd,32-022,1989,16.0,14.0,1243.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,20.0,3.0,15.0,1.45,0.22,0.0,0.0,0.0,27.0,24.0,2.0,15.0,20.0,22.0,0.0,0.0,0.0
Akhmed Alibekov,ua UKR,MF,Ufa,22-277,1998,2.0,2.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Pavel Alikin,ru RUS,DF,Ufa,36-361,1984,7.0,6.0,560.0,1.0,0.0,0.0,0.0,4.0,0.0,0.16,0.0,0.16,0.16,0.16,6.2,2.0,1.0,50.0,0.32,0.16,0.5,1.0,0.0,5.0,4.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0
Azer Aliyev,ru RUS,MF,Tambov,26-294,1994,1.0,0.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.23,1.23,0.0,1.23,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0
Azer Aliyev,ru RUS,"DF,MF",Ufa,26-294,1994,14.0,11.0,1002.0,1.0,0.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09,11.1,9.0,4.0,44.4,0.81,0.36,0.11,0.25,0.0,10.0,7.0,1.0,40.0,9.0,8.0,0.0,0.0,0.0
Kamran Aliyev,ru RUS,FW,FC Khimki,22-138,1998,10.0,4.0,433.0,1.0,0.0,0.0,0.0,1.0,0.0,0.21,0.0,0.21,0.21,0.21,4.8,8.0,2.0,25.0,1.66,0.42,0.13,0.5,0.0,6.0,6.0,1.0,6.0,5.0,2.0,0.0,0.0,0.0
Ladislav Almási,sk SVK,FW,Akhmat Grozny,21-361,1999,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pontus Almqvist,se SWE,FW,Rostov,21-235,1999,9.0,3.0,311.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.29,0.29,0.0,0.29,3.5,5.0,3.0,60.0,1.45,0.87,0.0,0.0,0.0,13.0,5.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0
Islam Alsultanov,ru RUS,FW,Akhmat Grozny,19-196,2001,6.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,1.0,100.0,0.89,0.89,0.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
Aleksei Anatolyevich Kozlov,ru RUS,DF,Rostov,34-067,1986,16.0,13.0,1175.0,1.0,1.0,0.0,0.0,2.0,0.0,0.08,0.08,0.15,0.08,0.15,13.1,6.0,2.0,33.3,0.46,0.15,0.17,0.5,0.0,6.0,12.0,1.0,20.0,19.0,17.0,0.0,0.0,0.0
Komnen Andrić,rs SRB,FW,Ufa,25-244,1995,7.0,7.0,626.0,3.0,0.0,1.0,2.0,1.0,0.0,0.43,0.0,0.43,0.29,0.29,7.0,11.0,7.0,63.6,1.58,1.01,0.18,0.29,0.0,17.0,21.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0
Wilker Ángel,ve VEN,DF,Akhmat Grozny,27-349,1993,10.0,8.0,650.0,1.0,0.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,7.2,3.0,2.0,66.7,0.42,0.28,0.33,0.5,0.0,10.0,9.0,0.0,1.0,13.0,4.0,0.0,0.0,0.0
Nicholas Anwan,ng NGA,MF,Tambov,19-289,2001,2.0,1.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0
Marco Aratore,ch SUI,MF,Ural,29-271,1991,2.0,2.0,146.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,4.0,1.0,25.0,2.47,0.62,0.0,0.0,0.0,3.0,1.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0
Ari,ru RUS,FW,Krasnodar,35-081,1985,4.0,2.0,146.0,2.0,0.0,1.0,1.0,1.0,0.0,1.23,0.0,1.23,0.62,0.62,1.6,6.0,2.0,33.3,3.7,1.23,0.17,0.5,0.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Artyom Arkhipov,ru RUS,FW,Tambov,24-077,1996,1.0,1.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,1.32,1.32,1.32,0.8,3.0,1.0,33.3,3.97,1.32,0.33,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
