player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Alan Aguerre,ar ARG,GK,Newell's OB,28,1990,23.0,23.0,2070.0,25.0,1.09,73.0,51.0,68.5,9.0,8.0,6.0,8.0,34.8,3.0,2.0,1.0,0.0
Esteban Andrada,ar ARG,GK,Boca Juniors,28,1991,20.0,20.0,1800.0,7.0,0.35,66.0,59.0,89.4,12.0,5.0,3.0,14.0,70.0,0.0,0.0,0.0,0.0
Mariano Andújar,ar ARG,GK,Estudiantes,36,1983,23.0,23.0,2070.0,22.0,0.96,70.0,50.0,72.9,8.0,6.0,9.0,9.0,39.1,4.0,3.0,1.0,0.0
Iván Arboleda,co COL,GK,Banfield,23,1996,13.0,13.0,1170.0,14.0,1.08,51.0,39.0,76.5,4.0,6.0,3.0,5.0,38.5,3.0,2.0,0.0,1.0
Gabriel Arias,cl CHI,GK,Racing Club,31,1987,22.0,22.0,1929.0,22.0,1.03,69.0,48.0,69.6,9.0,11.0,2.0,8.0,36.4,1.0,1.0,0.0,0.0
Franco Armani,ar ARG,GK,River Plate,32,1986,21.0,21.0,1890.0,15.0,0.71,64.0,50.0,78.1,13.0,4.0,4.0,8.0,38.1,1.0,1.0,0.0,0.0
Fabián Assmann,ar ARG,GK,Aldosivi,33,1986,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Juan Bolado,ar ARG,GK,Godoy Cruz,22,1997,4.0,4.0,305.0,6.0,1.77,22.0,17.0,77.3,1.0,0.0,3.0,1.0,25.0,1.0,1.0,0.0,0.0
Enrique Bologna,ar ARG,GK,River Plate,37,1982,2.0,2.0,180.0,3.0,1.5,12.0,9.0,75.0,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0
Jorge Broun,ar ARG,GK,Gimnasia ELP,33,1986,7.0,7.0,630.0,4.0,0.57,22.0,18.0,81.8,2.0,3.0,2.0,3.0,42.9,0.0,0.0,0.0,0.0
Leonardo Burián,uy URU,GK,Colón,35,1984,22.0,22.0,1980.0,37.0,1.68,100.0,67.0,67.0,5.0,3.0,14.0,2.0,9.1,4.0,4.0,0.0,0.0
Martín Campaña,uy URU,GK,Independiente,30,1989,23.0,23.0,2070.0,25.0,1.09,75.0,50.0,68.0,8.0,5.0,10.0,7.0,30.4,1.0,1.0,0.0,0.0
Mauricio Caranta,ar ARG,GK,Talleres,41,1978,2.0,2.0,180.0,5.0,2.5,7.0,3.0,42.9,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Maximiliano Cavallotti,ar ARG,GK,CC Córdoba,34,1984,1.0,1.0,90.0,2.0,2.0,9.0,7.0,77.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Chávez,ar ARG,GK,Argentinos Jun,23,1995,23.0,23.0,2070.0,17.0,0.74,74.0,58.0,78.4,10.0,9.0,4.0,10.0,43.5,1.0,1.0,0.0,0.0
Ignacio Chicco,ar ARG,GK,Colón,23,1996,1.0,1.0,90.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Esteban Conde,uy URU,GK,Banfield,36,1983,10.0,10.0,900.0,9.0,0.9,26.0,18.0,69.2,2.0,2.0,6.0,4.0,40.0,1.0,1.0,0.0,0.0
