player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Franco Quinteros,ar ARG,DF,Banfield,20,1998,3.0,2.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,7.0,1.0,0.0,9.0,5.0,2.0,0.0,0.0,0.0
Zaid Romero,ar ARG,MF,Godoy Cruz,19,1999,1.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Luciano Abecasis,ar ARG,DF,Lanús,29,1990,1.0,1.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
Mathías Abero,uy URU,DF,Patronato,29,1990,14.0,14.0,1260.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.21,0.21,0.0,0.21,14.0,13.0,2.0,15.4,0.93,0.14,0.0,0.0,0.0,29.0,16.0,3.0,105.0,31.0,30.0,0.0,0.0,0.0
Ramón Ábila,ar ARG,FW,Boca Juniors,29,1989,12.0,5.0,466.0,5.0,1.0,1.0,1.0,3.0,0.0,0.97,0.19,1.16,0.77,0.97,5.2,12.0,7.0,58.3,2.32,1.35,0.33,0.57,0.0,4.0,2.0,9.0,2.0,2.0,1.0,0.0,0.0,0.0
Luis Abram,pe PER,DF,Vélez Sarsf,23,1996,19.0,19.0,1690.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,18.8,4.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,16.0,13.0,0.0,0.0,24.0,13.0,0.0,0.0,0.0
Lucas Acevedo,ar ARG,DF,Colón,27,1991,6.0,5.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,2.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,9.0,6.0,0.0,1.0,7.0,8.0,0.0,0.0,1.0
Nelson Acevedo,ar ARG,MF,CA Unión,31,1988,15.0,11.0,955.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,4.0,1.0,25.0,0.38,0.09,0.0,0.0,0.0,18.0,20.0,0.0,2.0,17.0,22.0,0.0,0.0,0.0
Nelson Acevedo,ar ARG,MF,Defensa y Just,31,1988,6.0,4.0,302.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,9.0,11.0,0.0,0.0,0.0
Guillermo Acosta,ar ARG,"MF,DF",Tucumán,30,1988,22.0,19.0,1713.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.11,0.11,0.0,0.11,19.0,26.0,2.0,7.7,1.37,0.11,0.0,0.0,0.0,35.0,20.0,0.0,53.0,23.0,8.0,0.0,0.0,1.0
