player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Mohammed Ahmed Alhaeti,sa KSA,GK,Al-Ettifaq,0,0,12.0,12.0,1080.0,22.0,1.83,57.0,38.0,66.7,4.0,1.0,7.0,1.0,8.3,3.0,3.0,0.0,0.0
Giedrius Arlauskis,lt LTU,GK,Al-Shabab,33-091,1987,8.0,8.0,720.0,8.0,1.0,25.0,18.0,76.0,4.0,3.0,1.0,1.0,12.5,2.0,2.0,0.0,0.0
Basil Al Bahrani,sa KSA,GK,Al-Fateh,26-038,1995,1.0,1.0,90.0,2.0,2.0,5.0,3.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zaid Al Bawardi,sa KSA,GK,Al-Shabab,24-035,1997,13.0,13.0,1170.0,15.0,1.15,55.0,41.0,74.5,9.0,2.0,2.0,4.0,30.8,2.0,1.0,1.0,0.0
Ameen Bokhari,sa KSA,GK,Al-Ain,23-304,1997,16.0,16.0,1399.0,33.0,2.12,73.0,46.0,61.6,4.0,3.0,9.0,4.0,25.0,6.0,5.0,1.0,0.0
Martín Campaña,uy URU,GK,Al-Batin,31-277,1989,19.0,19.0,1710.0,29.0,1.53,87.0,64.0,73.6,7.0,6.0,6.0,2.0,10.5,6.0,6.0,0.0,0.0
Cássio,pt POR,GK,Al-Taawoun,40-202,1980,19.0,19.0,1710.0,15.0,0.79,77.0,66.0,85.7,8.0,6.0,5.0,9.0,47.4,6.0,4.0,1.0,1.0
Azzedine Doukha,dz ALG,GK,Al-Raed,34-209,1986,16.0,16.0,1440.0,20.0,1.25,60.0,40.0,68.3,4.0,4.0,8.0,5.0,31.3,1.0,1.0,0.0,0.0
Mazyad Freeh,sa KSA,GK,Al-Batin,31-239,1989,2.0,2.0,180.0,3.0,1.5,9.0,6.0,66.7,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo Grohe,br BRA,GK,Al-Ittihad,34-048,1987,21.0,21.0,1890.0,22.0,1.05,87.0,71.0,80.5,9.0,8.0,4.0,4.0,19.0,6.0,5.0,1.0,0.0
Abdullah Al Jadani,sa KSA,GK,Al-Hilal,29-147,1991,3.0,3.0,270.0,2.0,0.67,8.0,6.0,75.0,2.0,0.0,1.0,2.0,66.7,0.0,0.0,0.0,0.0
Brad Jones,au AUS,GK,Al-Nassr,38-348,1982,21.0,21.0,1890.0,29.0,1.38,67.0,44.0,65.7,8.0,5.0,8.0,5.0,23.8,7.0,6.0,0.0,1.0
Ahmed Al-Kassar,sa KSA,GK,Al-Faisaly,29-298,1991,2.0,2.0,180.0,1.0,0.5,7.0,6.0,85.7,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0
Maksym Koval,ua UKR,GK,Al-Fateh,28-083,1992,20.0,20.0,1800.0,40.0,2.0,97.0,59.0,60.8,6.0,4.0,10.0,2.0,10.0,3.0,2.0,0.0,1.0
Raïs M'Bolhi,dz ALG,GK,Al-Ettifaq,34-311,1986,9.0,9.0,810.0,13.0,1.44,25.0,17.0,68.0,5.0,2.0,2.0,1.0,11.1,6.0,5.0,0.0,1.0
Mustafa Malayekah,sa KSA,GK,Al-Faisaly,34-285,1986,19.0,19.0,1710.0,27.0,1.42,72.0,51.0,66.7,6.0,7.0,6.0,4.0,21.1,6.0,3.0,3.0,0.0
Faisel Masrahi,sa KSA,GK,Al-Qadsiah,28-037,1993,21.0,21.0,1890.0,32.0,1.52,98.0,72.0,71.4,7.0,8.0,6.0,3.0,14.3,7.0,4.0,2.0,1.0
Abdullah Al-Mayouf,sa KSA,GK,Al-Hilal,34-038,1987,10.0,10.0,900.0,8.0,0.8,37.0,34.0,86.5,5.0,3.0,2.0,5.0,50.0,5.0,3.0,2.0,0.0
Abdelali Mhamdi,ma MAR,GK,Abha,29-093,1991,21.0,21.0,1890.0,37.0,1.76,121.0,87.0,71.9,7.0,4.0,10.0,3.0,14.3,4.0,3.0,0.0,1.0
Yasser Al Mosailem,sa KSA,GK,Al-Ahli,37-003,1984,4.0,3.0,287.0,5.0,1.57,16.0,12.0,75.0,2.0,0.0,1.0,2.0,66.7,1.0,1.0,0.0,0.0
Raghid Najjar,sa KSA,GK,Al-Wehda,24-163,1996,3.0,3.0,270.0,5.0,1.67,15.0,11.0,73.3,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Mohammed Al-Owais,sa KSA,GK,Al-Ahli,29-143,1991,15.0,15.0,1350.0,27.0,1.8,71.0,50.0,69.0,6.0,4.0,5.0,1.0,6.7,6.0,5.0,1.0,0.0
Abdullah Al-Owaishir,sa KSA,GK,Al-Wehda,29-293,1991,18.0,18.0,1620.0,32.0,1.78,90.0,62.0,68.9,7.0,3.0,8.0,3.0,16.7,5.0,4.0,0.0,1.0
Ahmed Al-Rehaili,sa KSA,GK,Al-Raed,26-147,1994,5.0,5.0,450.0,10.0,2.0,14.0,9.0,57.1,3.0,0.0,2.0,0.0,0.0,5.0,4.0,1.0,0.0
Hussain Shae'an,sa KSA,GK,Al-Taawoun,31-283,1989,2.0,2.0,180.0,2.0,1.0,8.0,7.0,87.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Mohammed Al Shammari,sa KSA,GK,Al-Ain,29-082,1991,6.0,5.0,491.0,11.0,2.02,36.0,25.0,69.4,0.0,0.0,5.0,1.0,20.0,0.0,0.0,0.0,0.0
Khalid Sharahili,sa KSA,GK,Damac,34-027,1987,8.0,8.0,720.0,13.0,1.62,30.0,18.0,60.0,2.0,2.0,4.0,2.0,25.0,1.0,1.0,0.0,0.0
Habib Al Watyan,sa KSA,GK,Al-Hilal,24-206,1996,8.0,8.0,720.0,7.0,0.87,26.0,20.0,76.9,4.0,3.0,1.0,2.0,25.0,1.0,1.0,0.0,0.0
Mohammed Al Yami,sa KSA,GK,Al-Ahli,23-200,1997,3.0,3.0,253.0,1.0,0.36,18.0,17.0,94.4,2.0,1.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0
Moustapha Zeghba,dz ALG,GK,Damac,30-101,1990,13.0,13.0,1170.0,23.0,1.77,61.0,39.0,65.6,2.0,3.0,8.0,2.0,15.4,2.0,2.0,0.0,0.0
