player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Malek Al Abadalmanam,sa KSA,FW,Al-Taawoun,22-359,1998,7.0,1.0,119.0,1.0,0.0,0.0,0.0,1.0,0.0,0.76,0.0,0.76,0.76,0.76,1.3,3.0,2.0,66.7,2.27,1.51,0.33,0.5,0.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Saleh Al Abbas,sa KSA,"MF,FW",Al-Batin,27-086,1993,9.0,4.0,405.0,3.0,1.0,0.0,0.0,0.0,0.0,0.67,0.22,0.89,0.67,0.89,4.5,10.0,5.0,50.0,2.22,1.11,0.3,0.6,0.0,12.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
Hamad Al Abdan,sa KSA,MF,Al-Hilal,20-280,2000,3.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0
Faris Abdi,sa KSA,DF,Al-Qadsiah,21-297,1999,8.0,2.0,198.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0
Ahmed Abdoh Jaber,sa KSA,FW,Al-Wehda,0,0,18.0,6.0,605.0,3.0,2.0,0.0,0.0,2.0,0.0,0.45,0.3,0.74,0.45,0.74,6.7,14.0,8.0,57.1,2.08,1.19,0.21,0.38,0.0,13.0,14.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0
Saud Abdulhamid,sa KSA,DF,Al-Ittihad,21-227,1999,20.0,20.0,1724.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.21,0.21,0.0,0.21,19.2,8.0,3.0,37.5,0.42,0.16,0.0,0.0,0.0,28.0,37.0,0.0,69.0,23.0,24.0,0.0,0.0,0.0
Jehad Abdullatif,0,DF,Al-Qadsiah,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nawaf Al Abed,sa KSA,MF,Al-Shabab,31-035,1990,16.0,5.0,578.0,2.0,2.0,0.0,0.0,3.0,0.0,0.31,0.31,0.62,0.31,0.62,6.4,15.0,6.0,40.0,2.34,0.93,0.13,0.33,0.0,11.0,9.0,1.0,32.0,3.0,4.0,0.0,0.0,0.0
Hassan Abo Shararah,sa KSA,"MF,FW",Al-Qadsiah,23-303,1997,9.0,5.0,410.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,4.0,1.0,25.0,0.88,0.22,0.0,0.0,0.0,15.0,11.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0
Mazen Abo Shararah,sa KSA,"FW,MF",Damac,30-003,1991,14.0,6.0,625.0,2.0,1.0,0.0,0.0,3.0,0.0,0.29,0.14,0.43,0.29,0.43,6.9,15.0,6.0,40.0,2.16,0.86,0.13,0.33,0.0,13.0,19.0,2.0,31.0,3.0,7.0,0.0,0.0,0.0
Abdulrahman Al-Aboud,sa KSA,MF,Al-Ittihad,25-274,1995,16.0,11.0,939.0,2.0,1.0,0.0,0.0,3.0,0.0,0.19,0.1,0.29,0.19,0.29,10.4,18.0,6.0,33.3,1.73,0.58,0.11,0.33,0.0,16.0,26.0,0.0,33.0,11.0,11.0,0.0,0.0,0.0
Mohammed Abousaban,sa KSA,MF,Al-Taawoun,31-041,1990,16.0,8.0,817.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,5.0,1.0,20.0,0.55,0.11,0.0,0.0,0.0,24.0,6.0,0.0,0.0,15.0,11.0,0.0,0.0,0.0
