player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Nícolas Andrade,br BRA,GK,Udinese,32-309,1988,2.0,2.0,180.0,5.0,2.5,7.0,2.0,28.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Emil Audero,it ITA,GK,Sampdoria,24-028,1997,22.0,22.0,1980.0,33.0,1.5,98.0,71.0,72.4,9.0,3.0,10.0,2.0,9.1,7.0,6.0,1.0,0.0
Gianluigi Buffon,it ITA,GK,Juventus,43-018,1978,4.0,4.0,360.0,2.0,0.5,9.0,8.0,88.9,3.0,1.0,0.0,2.0,50.0,1.0,1.0,0.0,0.0
Andrea Consigli,it ITA,GK,Sassuolo,34-019,1987,21.0,21.0,1890.0,33.0,1.57,98.0,66.0,68.4,9.0,6.0,6.0,4.0,19.0,2.0,2.0,0.0,0.0
Alex Cordaz,it ITA,GK,Crotone,38-045,1983,22.0,22.0,1980.0,52.0,2.36,120.0,71.0,60.0,3.0,3.0,16.0,2.0,9.1,4.0,4.0,0.0,0.0
Angelo da Costa Júnior,br BRA,GK,Bologna,37-095,1983,6.0,6.0,540.0,9.0,1.5,26.0,17.0,69.2,0.0,5.0,1.0,1.0,16.7,1.0,1.0,0.0,0.0
Alessio Cragno,it ITA,GK,Cagliari,26-232,1994,22.0,22.0,1980.0,40.0,1.82,125.0,87.0,71.2,3.0,6.0,13.0,2.0,9.1,4.0,4.0,0.0,0.0
Gianluigi Donnarumma,it ITA,GK,Milan,21-356,1999,21.0,21.0,1890.0,22.0,1.05,76.0,57.0,73.7,15.0,3.0,3.0,8.0,38.1,4.0,2.0,1.0,1.0
Bartłomiej Drągowski,pl POL,GK,Fiorentina,23-180,1997,22.0,22.0,1980.0,35.0,1.59,85.0,55.0,63.5,5.0,7.0,10.0,5.0,22.7,6.0,4.0,2.0,0.0
Pierluigi Gollini,it ITA,GK,Atalanta,25-334,1995,14.0,14.0,1235.0,14.0,1.02,41.0,26.0,68.3,6.0,6.0,2.0,5.0,35.7,3.0,1.0,2.0,0.0
Samir Handanović,si SVN,GK,Inter,36-216,1984,22.0,22.0,1980.0,24.0,1.09,72.0,50.0,70.8,15.0,5.0,2.0,7.0,31.8,4.0,3.0,1.0,0.0
Pau López,es ESP,GK,Roma,26-064,1994,12.0,11.0,1007.0,16.0,1.43,38.0,25.0,60.5,8.0,1.0,2.0,2.0,18.2,1.0,1.0,0.0,0.0
Federico Marchetti,it ITA,GK,Genoa,38-008,1983,2.0,2.0,154.0,6.0,3.51,11.0,5.0,45.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Meret,it ITA,GK,Napoli,23-330,1997,9.0,9.0,810.0,10.0,1.11,38.0,28.0,73.7,6.0,1.0,2.0,3.0,33.3,0.0,0.0,0.0,0.0
Vanja Milinković-Savić,rs SRB,GK,Torino,23-361,1997,2.0,2.0,180.0,4.0,2.0,10.0,7.0,70.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Antonio Mirante,it ITA,GK,Roma,37-222,1983,11.0,11.0,973.0,16.0,1.48,39.0,24.0,64.1,5.0,3.0,3.0,4.0,36.4,3.0,2.0,1.0,0.0
Lorenzo Montipò,it ITA,GK,Benevento,24-361,1996,22.0,22.0,1980.0,42.0,1.91,96.0,59.0,59.4,6.0,6.0,10.0,5.0,22.7,3.0,3.0,0.0,0.0
Juan Musso,ar ARG,GK,Udinese,26-285,1994,20.0,20.0,1800.0,26.0,1.3,73.0,51.0,69.9,5.0,6.0,9.0,6.0,30.0,4.0,4.0,0.0,0.0
David Ospina,co COL,GK,Napoli,32-168,1988,12.0,12.0,1080.0,11.0,0.92,23.0,15.0,65.2,7.0,0.0,5.0,5.0,41.7,3.0,3.0,0.0,0.0
Alberto Paleari,it ITA,GK,Genoa,28-170,1992,2.0,1.0,116.0,3.0,2.33,8.0,4.0,62.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gianluca Pegolo,it ITA,GK,Sassuolo,39-327,1981,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Mattia Perin,it ITA,GK,Genoa,28-097,1992,19.0,19.0,1709.0,22.0,1.16,78.0,58.0,76.9,6.0,6.0,7.0,6.0,31.6,4.0,4.0,0.0,0.0
Ivan Provedel,it ITA,GK,Spezia,26-335,1994,19.0,19.0,1710.0,31.0,1.63,72.0,46.0,63.9,5.0,6.0,8.0,4.0,21.1,6.0,5.0,1.0,0.0
Rafael,br BRA,GK,Spezia,38-349,1982,2.0,1.0,117.0,3.0,2.31,9.0,6.0,66.7,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
Federico Ravaglia,it ITA,GK,Bologna,21-096,1999,1.0,1.0,90.0,5.0,5.0,7.0,3.0,28.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pepe Reina,es ESP,GK,Lazio,38-168,1982,16.0,16.0,1440.0,18.0,1.13,61.0,46.0,75.4,10.0,3.0,3.0,5.0,31.3,3.0,3.0,0.0,0.0
Luigi Sepe,it ITA,GK,Parma,29-283,1991,21.0,21.0,1890.0,41.0,1.95,106.0,66.0,62.3,2.0,7.0,12.0,4.0,19.0,1.0,1.0,0.0,0.0
Marco Silvestri,it ITA,GK,Hellas Verona,29-350,1991,21.0,21.0,1890.0,23.0,1.1,83.0,62.0,74.7,8.0,6.0,7.0,5.0,23.8,3.0,2.0,0.0,1.0
Salvatore Sirigu,it ITA,GK,Torino,34-034,1987,20.0,20.0,1800.0,37.0,1.85,71.0,39.0,53.5,2.0,10.0,8.0,4.0,20.0,4.0,4.0,0.0,0.0
Łukasz Skorupski,pl POL,GK,Bologna,29-286,1991,15.0,15.0,1350.0,22.0,1.47,76.0,57.0,73.7,6.0,1.0,8.0,3.0,20.0,3.0,2.0,1.0,0.0
Marco Sportiello,it ITA,GK,Atalanta,28-281,1992,9.0,8.0,745.0,15.0,1.81,34.0,19.0,55.9,5.0,1.0,2.0,1.0,12.5,1.0,0.0,1.0,0.0
