player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Gennaro Acampora,it ITA,"MF,FW",Spezia,26-329,1994,7.0,2.0,298.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,5.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,5.0,10.0,1.0,7.0,2.0,5.0,0.0,0.0,0.0
Francesco Acerbi,it ITA,DF,Lazio,33-011,1988,20.0,20.0,1737.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05,19.3,4.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,16.0,13.0,2.0,16.0,40.0,29.0,0.0,0.0,0.0
Andrea Adorante,it ITA,FW,Parma,21-016,2000,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,fr FRA,MF,Spezia,19-012,2002,9.0,8.0,699.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,2.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0
Kevin Agudelo,co COL,FW,Spezia,22-099,1998,18.0,10.0,909.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,0.1,0.1,0.1,10.1,15.0,4.0,26.7,1.49,0.4,0.07,0.25,0.0,15.0,21.0,2.0,3.0,4.0,20.0,0.0,0.0,0.0
Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Lazio,28-133,1992,20.0,3.0,698.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.13,0.13,0.0,0.13,7.8,6.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,25.0,7.0,0.0,1.0,13.0,20.0,0.0,0.0,0.0
Luis Alberto,es ESP,MF,Lazio,28-146,1992,20.0,20.0,1542.0,7.0,0.0,0.0,0.0,3.0,0.0,0.41,0.0,0.41,0.41,0.41,17.1,41.0,18.0,43.9,2.39,1.05,0.17,0.39,0.0,12.0,22.0,2.0,21.0,9.0,20.0,0.0,0.0,0.0
Bruno Alves,pt POR,DF,Parma,39-086,1981,15.0,15.0,1350.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,2.0,33.3,0.4,0.13,0.0,0.0,0.0,15.0,7.0,1.0,6.0,12.0,5.0,0.0,0.0,0.0
Sofyan Amrabat,ma MAR,MF,Fiorentina,24-184,1996,21.0,21.0,1820.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,9.0,3.0,33.3,0.45,0.15,0.0,0.0,0.0,45.0,30.0,0.0,5.0,13.0,33.0,0.0,0.0,0.0
Djavan Anderson,nl NED,DF,Lazio,25-306,1995,3.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
