player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Adrián,es ESP,GK,eng Liverpool,34-058,1987,1.0,1.0,90.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Alisson,br BRA,GK,eng Liverpool,28-151,1992,4.0,4.0,360.0,2.0,0.5,13.0,11.0,84.6,3.0,0.0,1.0,3.0,75.0,0.0,0.0,0.0,0.0
Mikkel Andersen,dk DEN,GK,dk Midtjylland,32-075,1988,2.0,2.0,180.0,4.0,2.0,5.0,2.0,40.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Kepa Arrizabalaga,es ESP,GK,eng Chelsea,26-150,1994,1.0,1.0,90.0,1.0,1.0,2.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yassine Bounou,ma MAR,GK,es Sevilla,29-331,1991,4.0,4.0,360.0,4.0,1.0,16.0,13.0,81.3,2.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,0.0
Denys Boyko,ua UKR,GK,ua Dynamo Kyiv,33-032,1988,1.0,1.0,90.0,2.0,2.0,4.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gianluigi Buffon,it ITA,GK,it Juventus,43-033,1978,1.0,1.0,90.0,0.0,0.0,7.0,7.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Roman Bürki,ch SUI,GK,de Dortmund,30-108,1990,4.0,4.0,360.0,1.0,0.25,9.0,9.0,100.0,3.0,1.0,0.0,3.0,75.0,1.0,1.0,0.0,0.0
Heorhiy Bushchan,ua UKR,GK,ua Dynamo Kyiv,26-275,1994,4.0,4.0,360.0,9.0,2.25,21.0,13.0,61.9,1.0,0.0,3.0,1.0,25.0,1.0,1.0,0.0,0.0
Diogo Costa,pt POR,GK,pt Porto,21-164,1999,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Thibaut Courtois,be BEL,GK,es Real Madrid,28-295,1992,7.0,7.0,630.0,9.0,1.29,19.0,11.0,52.6,4.0,1.0,2.0,3.0,42.9,0.0,0.0,0.0,0.0
Dénes Dibusz,hu HUN,GK,hu Ferencváros,30-106,1990,6.0,6.0,540.0,17.0,2.83,33.0,20.0,57.6,0.0,1.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0
Ederson,br BRA,GK,eng Manchester City,27-197,1993,6.0,6.0,540.0,1.0,0.17,7.0,5.0,85.7,5.0,1.0,0.0,5.0,83.3,0.0,0.0,0.0,0.0
David de Gea,es ESP,GK,eng Manchester Utd,30-115,1990,5.0,5.0,450.0,8.0,1.6,20.0,13.0,60.0,3.0,0.0,2.0,1.0,20.0,0.0,0.0,0.0,0.0
Pierluigi Gollini,it ITA,GK,it Atalanta,25-349,1995,3.0,3.0,270.0,1.0,0.33,6.0,5.0,83.3,2.0,0.0,1.0,2.0,66.7,0.0,0.0,0.0,0.0
Alfred Gomis,sn SEN,GK,fr Rennes,27-178,1993,4.0,4.0,360.0,7.0,1.75,17.0,12.0,70.6,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0
Yevgeni Gorodov,ru RUS,GK,ru Krasnodar,35-079,1985,2.0,2.0,180.0,3.0,1.5,12.0,10.0,83.3,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Péter Gulácsi,hu HUN,GK,de RB Leipzig,30-300,1990,7.0,7.0,630.0,14.0,2.0,26.0,16.0,57.7,4.0,0.0,3.0,1.0,14.3,4.0,3.0,1.0,0.0
Mert Günok,tr TUR,GK,tr Başakşehir,32-001,1989,6.0,6.0,540.0,18.0,3.0,35.0,19.0,54.3,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0
Samir Handanović,si SVN,GK,it Inter,36-231,1984,6.0,6.0,540.0,9.0,1.5,21.0,15.0,66.7,1.0,3.0,2.0,2.0,33.3,2.0,2.0,0.0,0.0
Jesper Hansen,dk DEN,GK,dk Midtjylland,35-336,1985,4.0,4.0,360.0,9.0,2.25,30.0,20.0,70.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean Henderson,eng ENG,GK,eng Manchester Utd,23-355,1997,1.0,1.0,90.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Marwin Hitz,ch SUI,GK,de Dortmund,33-165,1987,3.0,3.0,270.0,6.0,2.0,13.0,8.0,53.8,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Horvath,us USA,GK,be Club Brugge,25-266,1995,1.0,1.0,90.0,1.0,1.0,3.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caoimhín Kelleher,ie IRL,GK,eng Liverpool,22-099,1998,2.0,2.0,180.0,1.0,0.5,9.0,9.0,100.0,1.0,1.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0
Mikhail Kerzhakov,ru RUS,GK,ru Zenit,34-033,1987,6.0,6.0,540.0,13.0,2.17,26.0,16.0,61.5,0.0,1.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0
Steve Mandanda,fr FRA,GK,fr Marseille,35-339,1985,6.0,6.0,540.0,13.0,2.17,26.0,16.0,57.7,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0
Agustín Marchesín,ar ARG,GK,pt Porto,32-351,1988,6.0,6.0,540.0,5.0,0.83,20.0,16.0,80.0,4.0,1.0,1.0,4.0,66.7,2.0,1.0,0.0,1.0
Guilherme Marinato,ru RUS,GK,ru Loko Moscow,35-080,1985,6.0,6.0,540.0,11.0,1.83,33.0,23.0,66.7,0.0,3.0,3.0,1.0,16.7,0.0,0.0,0.0,0.0
Edouard Mendy,sn SEN,GK,eng Chelsea,29-001,1992,6.0,6.0,540.0,1.0,0.17,15.0,14.0,93.3,5.0,1.0,0.0,5.0,83.3,0.0,0.0,0.0,0.0
Simon Mignolet,be BEL,GK,be Club Brugge,32-361,1988,5.0,5.0,450.0,9.0,1.8,24.0,16.0,66.7,1.0,2.0,2.0,1.0,20.0,1.0,1.0,0.0,0.0
Keylor Navas,cr CRC,GK,fr Paris S-G,34-077,1986,7.0,7.0,630.0,7.0,1.0,28.0,24.0,85.7,5.0,0.0,2.0,2.0,28.6,3.0,3.0,0.0,0.0
Ruslan Neshcheret,ua UKR,GK,ua Dynamo Kyiv,19-039,2002,1.0,1.0,90.0,2.0,2.0,13.0,12.0,92.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Neto,br BRA,GK,es Barcelona,31-226,1989,3.0,3.0,270.0,2.0,0.67,3.0,3.0,66.7,3.0,0.0,0.0,2.0,66.7,1.0,1.0,0.0,0.0
Manuel Neuer,de GER,GK,de Bayern Munich,34-340,1986,6.0,6.0,540.0,5.0,0.83,36.0,31.0,86.1,6.0,0.0,0.0,2.0,33.3,0.0,0.0,0.0,0.0
Alexander Nübel,de GER,GK,de Bayern Munich,24-153,1996,1.0,1.0,90.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Oblak,si SVN,GK,es Atlético Madrid,28-054,1993,7.0,7.0,630.0,9.0,1.29,18.0,11.0,61.1,2.0,3.0,2.0,2.0,28.6,2.0,2.0,0.0,0.0
André Onana,cm CMR,GK,nl Ajax,24-334,1996,6.0,6.0,540.0,7.0,1.17,27.0,22.0,77.8,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
Alfonso Pastor,es ESP,GK,es Sevilla,20-149,2000,1.0,1.0,90.0,4.0,4.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Andriy Pyatov,ua UKR,GK,ua Shakhtar,36-247,1984,1.0,1.0,90.0,4.0,4.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Pepe Reina,es ESP,GK,it Lazio,38-183,1982,6.0,6.0,540.0,10.0,1.67,23.0,15.0,60.9,1.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
José Sá,pt POR,GK,gr Olympiacos,28-044,1993,6.0,6.0,540.0,10.0,1.67,31.0,24.0,77.4,1.0,0.0,5.0,1.0,16.7,3.0,3.0,0.0,0.0
Matvei Safonov,ru RUS,GK,ru Krasnodar,22-005,1999,4.0,4.0,360.0,8.0,2.0,28.0,21.0,78.6,1.0,1.0,2.0,1.0,25.0,3.0,2.0,0.0,1.0
Romain Salin,fr FRA,GK,fr Rennes,36-216,1984,2.0,2.0,180.0,4.0,2.0,8.0,4.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Yann Sommer,ch SUI,GK,de M'Gladbach,32-075,1988,7.0,7.0,630.0,11.0,1.57,29.0,17.0,62.1,2.0,2.0,3.0,2.0,28.6,0.0,0.0,0.0,0.0
Marco Sportiello,it ITA,GK,it Atalanta,28-296,1992,4.0,4.0,360.0,8.0,2.0,24.0,17.0,70.8,1.0,2.0,1.0,1.0,25.0,1.0,1.0,0.0,0.0
Cican Stankovic,at AUT,GK,at RB Salzburg,28-118,1992,6.0,6.0,540.0,17.0,2.83,30.0,16.0,50.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0
Zack Steffen,us USA,GK,eng Manchester City,25-334,1995,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Thomas Strakosha,al ALB,GK,it Lazio,25-348,1995,1.0,1.0,90.0,1.0,1.0,7.0,6.0,85.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wojciech Szczęsny,pl POL,GK,it Juventus,30-318,1990,6.0,6.0,540.0,6.0,1.0,20.0,15.0,75.0,4.0,0.0,2.0,2.0,33.3,1.0,1.0,0.0,0.0
Marc-André ter Stegen,de GER,GK,es Barcelona,28-306,1992,4.0,4.0,360.0,8.0,2.0,20.0,14.0,70.0,2.0,0.0,2.0,1.0,25.0,2.0,2.0,0.0,0.0
Anatolii Trubin,ua UKR,GK,ua Shakhtar,19-213,2001,5.0,5.0,450.0,8.0,1.6,31.0,23.0,74.2,2.0,2.0,1.0,3.0,60.0,0.0,0.0,0.0,0.0
Tomáš Vaclík,cz CZE,GK,es Sevilla,31-338,1989,2.0,2.0,180.0,3.0,1.5,5.0,3.0,60.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
