player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Pape Abou Cisse,sn SEN,DF,gr Olympiacos,25-160,1995,6.0,5.0,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0
Tammy Abraham,eng ENG,FW,eng Chelsea,23-142,1997,5.0,3.0,230.0,1.0,1.0,0.0,0.0,0.0,0.0,0.39,0.39,0.78,0.39,0.78,2.6,6.0,2.0,33.3,2.35,0.78,0.17,0.5,0.0,4.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
Francesco Acerbi,it ITA,DF,it Lazio,33-011,1988,6.0,6.0,540.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17,6.0,3.0,1.0,33.3,0.5,0.17,0.0,0.0,0.0,5.0,5.0,1.0,14.0,9.0,6.0,0.0,0.0,0.0
Marcos Acuña,ar ARG,DF,es Sevilla,29-116,1991,3.0,2.0,237.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.38,0.38,0.0,0.38,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,15.0,2.0,6.0,0.0,0.0,0.0
Tyler Adams,us USA,"MF,DF",de RB Leipzig,22-007,1999,5.0,1.0,199.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0
Karim Adeyemi,de GER,FW,at RB Salzburg,19-034,2002,3.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,1.73,1.73,1.73,0.6,2.0,1.0,50.0,3.46,1.73,0.5,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Adrián,es ESP,GK,eng Liverpool,34-049,1987,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nayef Aguerd,ma MAR,DF,fr Rennes,24-328,1996,4.0,2.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Sergio Agüero,ar ARG,FW,eng Manchester City,32-264,1988,3.0,1.0,105.0,2.0,0.0,1.0,1.0,0.0,0.0,1.71,0.0,1.71,0.86,0.86,1.2,1.0,1.0,100.0,0.86,0.86,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manuel Akanji,ch SUI,DF,de Dortmund,25-217,1995,5.0,5.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,50.0,0.4,0.2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0
Marley Aké,fr FRA,"FW,MF",fr Marseille,20-047,2001,4.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,2.31,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Aké,nl NED,DF,eng Manchester City,26-003,1995,2.0,2.0,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,100.0,0.5,0.5,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0
Jean-Daniel Akpa-Akpro,ci CIV,MF,it Lazio,28-133,1992,6.0,2.0,272.0,1.0,0.0,0.0,0.0,2.0,0.0,0.33,0.0,0.33,0.33,0.33,3.0,3.0,1.0,33.3,0.99,0.33,0.33,1.0,0.0,5.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
David Alaba,at AUT,DF,de Bayern Munich,28-242,1992,5.0,5.0,450.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
Jordi Alba,es ESP,DF,es Barcelona,31-337,1989,6.0,5.0,395.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.46,0.46,0.0,0.46,4.4,1.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,6.0,4.0,4.0,15.0,3.0,3.0,0.0,0.0,0.0
Luis Alberto,es ESP,MF,it Lazio,28-146,1992,4.0,4.0,321.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.28,0.28,0.0,0.28,3.6,5.0,3.0,60.0,1.4,0.84,0.0,0.0,0.0,0.0,3.0,0.0,4.0,5.0,7.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,eng Liverpool,29-316,1991,1.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Danijel Aleksić,rs SRB,MF,tr Başakşehir,29-297,1991,3.0,1.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,4.0,2.0,50.0,3.33,1.67,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Carles Aleñá,es ESP,MF,es Barcelona,23-047,1998,3.0,1.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,22-137,1998,5.0,5.0,441.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.41,0.41,0.0,0.41,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,13.0,4.0,2.0,0.0,0.0,0.0
Hasan Ali Kaldırım,tr TUR,DF,tr Başakşehir,31-074,1989,3.0,1.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Alisson,br BRA,GK,eng Liverpool,28-142,1992,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Éder Álvarez Balanta,co COL,MF,be Club Brugge,27-359,1993,4.0,3.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0
Edson Álvarez,mx MEX,"MF,DF",nl Ajax,23-120,1997,4.0,1.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
Jordan Amavi,fr FRA,DF,fr Marseille,26-349,1994,5.0,5.0,450.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,9.0,5.0,0.0,10.0,6.0,6.0,0.0,1.0,0.0
Mikkel Andersen,dk DEN,GK,dk Midtjylland,32-066,1988,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Anderson,br BRA,FW,pt Porto,27-312,1993,1.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
Mikael Anderson,is ISL,"MF,FW",dk Midtjylland,22-235,1998,5.0,1.0,169.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,4.0,1.0,25.0,2.13,0.53,0.0,0.0,0.0,7.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
Joel Andersson,se SWE,DF,dk Midtjylland,24-102,1996,5.0,4.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0
Oleksandr Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,26-241,1994,3.0,1.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0
Angeliño,es ESP,DF,de RB Leipzig,24-048,1997,7.0,7.0,626.0,3.0,3.0,0.0,0.0,1.0,0.0,0.43,0.43,0.86,0.43,0.86,7.0,12.0,5.0,41.7,1.73,0.72,0.25,0.6,0.0,6.0,3.0,1.0,24.0,2.0,8.0,0.0,0.0,0.0
Faustino Anjorin,eng ENG,FW,eng Chelsea,19-090,2001,1.0,1.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.0,0.0,0.0,2.28,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
