player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,34-319,1986,6.0,6.0,540.0,8.0,1.33,23.0,16.0,69.6,0.0,3.0,3.0,2.0,33.3,1.0,1.0,0.0,0.0
Rúnar Alex Rúnarsson,is ISL,GK,eng Arsenal,26-003,1995,4.0,4.0,360.0,3.0,0.75,7.0,4.0,57.1,4.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
Miguel Ángel Moyá,es ESP,GK,es Real Sociedad,36-325,1984,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Giorgos Athanasiadis,gr GRE,GK,gr AEK Athens,27-320,1993,1.0,1.0,90.0,3.0,3.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Scott Bain,sco SCO,GK,sco Celtic,29-091,1991,3.0,3.0,270.0,10.0,3.33,19.0,9.0,47.4,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
Cristian Bălgrădean,ro ROU,GK,ro CFR Cluj,32-337,1988,6.0,6.0,539.0,8.0,1.34,23.0,17.0,69.6,1.0,2.0,3.0,2.0,33.3,1.0,1.0,0.0,0.0
David von Ballmoos,ch SUI,GK,ch Young Boys,26-053,1994,7.0,7.0,630.0,10.0,1.43,33.0,23.0,69.7,4.0,1.0,2.0,2.0,28.6,0.0,0.0,0.0,0.0
Vasilios Barkas,gr GRE,GK,sco Celtic,26-267,1994,2.0,2.0,180.0,7.0,3.5,9.0,2.0,22.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver Baumann,de GER,GK,de Hoffenheim,30-264,1990,6.0,6.0,540.0,4.0,0.67,11.0,7.0,63.6,4.0,2.0,0.0,4.0,66.7,1.0,0.0,1.0,0.0
Filip Bednarek,pl POL,GK,pl Lech Poznań,28-148,1992,6.0,6.0,540.0,14.0,2.33,30.0,17.0,56.7,1.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
Alireza Beiranvand,ir IRN,GK,be Antwerp,28-153,1992,2.0,2.0,166.0,4.0,2.17,11.0,7.0,72.7,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Walter Benítez,ar ARG,GK,fr Nice,27-339,1993,5.0,5.0,450.0,15.0,3.0,30.0,15.0,50.0,1.0,0.0,4.0,1.0,20.0,0.0,0.0,0.0,0.0
Justin Bijlow,nl NED,GK,nl Feyenoord,23-030,1998,3.0,3.0,270.0,5.0,1.67,9.0,8.0,77.8,1.0,1.0,1.0,1.0,33.3,3.0,3.0,0.0,0.0
Marco Bizot,nl NED,GK,nl AZ Alkmaar,29-348,1991,6.0,6.0,540.0,5.0,0.83,23.0,18.0,78.3,2.0,2.0,2.0,2.0,33.3,0.0,0.0,0.0,0.0
Arnaud Bodart,be BEL,GK,be Standard Liège,22-347,1998,6.0,6.0,540.0,14.0,2.33,27.0,17.0,66.7,1.0,1.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0
Pietro Boer,it ITA,GK,it Roma,18-285,2002,1.0,1.0,90.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sinan Bolat,tr TUR,GK,be Gent,32-171,1988,2.0,2.0,180.0,4.0,2.0,9.0,5.0,55.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Milan Borjan,ca CAN,GK,rs Red Star,33-121,1987,7.0,7.0,630.0,6.0,0.86,32.0,28.0,84.4,3.0,3.0,1.0,3.0,42.9,1.0,1.0,0.0,0.0
Gustavo Busatto,br BRA,GK,bg CSKA Sofia,30-121,1990,6.0,6.0,540.0,7.0,1.17,26.0,20.0,76.9,1.0,2.0,3.0,2.0,33.3,1.0,1.0,0.0,0.0
Heorhiy Bushchan,ua UKR,GK,ua Dynamo Kyiv,26-266,1994,1.0,1.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean Butez,fr FRA,GK,be Antwerp,25-258,1995,5.0,5.0,450.0,3.0,0.6,13.0,10.0,76.9,4.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0
Yoan Cardinale,fr FRA,GK,fr Nice,26-331,1994,1.0,1.0,90.0,1.0,1.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Colin Coosemans,be BEL,GK,be Gent,28-202,1992,1.0,1.0,90.0,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel,br BRA,GK,il Maccabi Tel Aviv,25-308,1995,7.0,7.0,630.0,9.0,1.29,23.0,14.0,60.9,3.0,2.0,2.0,2.0,28.6,0.0,0.0,0.0,0.0
Ortwin De Wolf,be BEL,GK,be Antwerp,23-304,1997,1.0,0.0,14.0,2.0,12.86,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Gianluigi Donnarumma,it ITA,GK,it Milan,21-362,1999,5.0,5.0,450.0,9.0,1.8,22.0,15.0,68.2,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
Aarón Escandell,es ESP,GK,es Granada,25-147,1995,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Fabiano,br BRA,GK,cy AC Omonia,32-358,1988,6.0,6.0,540.0,12.0,2.0,33.0,22.0,66.7,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
Paul Gartler,at AUT,GK,at Rapid Wien,23-348,1997,4.0,4.0,360.0,7.0,1.75,13.0,9.0,69.2,2.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0
Yevgeni Gorodov,ru RUS,GK,ru Krasnodar,35-070,1985,1.0,1.0,90.0,3.0,3.0,9.0,6.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Hart,eng ENG,GK,eng Tottenham,33-308,1987,5.0,5.0,441.0,4.0,0.82,13.0,9.0,69.2,4.0,1.0,0.0,3.0,60.0,0.0,0.0,0.0,0.0
Lukáš Hasalík,cz CZE,GK,cz Slovan Liberec,19-246,2001,1.0,1.0,90.0,5.0,5.0,11.0,6.0,54.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Conor Hazard,nir NIR,GK,sco Celtic,22-353,1998,1.0,1.0,90.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milan Heča,cz CZE,GK,cz Sparta Prague,29-337,1991,3.0,3.0,270.0,8.0,2.67,17.0,9.0,52.9,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
Dean Henderson,eng ENG,GK,eng Manchester Utd,23-346,1997,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Lukáš Hrádecký,fi FIN,GK,de Leverkusen,31-089,1989,5.0,5.0,450.0,8.0,1.6,17.0,9.0,52.9,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Plamen Iliev,bg BUL,GK,bg Ludogorets,29-083,1991,5.0,5.0,450.0,16.0,3.2,35.0,20.0,57.1,0.0,0.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0
Milan Knobloch,cz CZE,GK,cz Slovan Liberec,28-182,1992,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Alexander Kofler,at AUT,GK,at Wolfsberger AC,34-107,1986,6.0,6.0,540.0,7.0,1.17,24.0,17.0,70.8,3.0,1.0,2.0,2.0,33.3,0.0,0.0,0.0,0.0
Ondřej Kolář,cz CZE,GK,cz Slavia Prague,26-127,1994,7.0,7.0,630.0,10.0,1.43,19.0,7.0,47.4,4.0,1.0,2.0,3.0,42.9,0.0,0.0,0.0,0.0
Manuel Kuttin,at AUT,GK,at Wolfsberger AC,27-066,1993,1.0,1.0,90.0,3.0,3.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Helton Leite,br BRA,GK,pt Benfica,30-111,1990,3.0,3.0,270.0,5.0,1.67,11.0,5.0,54.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernd Leno,de GER,GK,eng Arsenal,28-354,1992,3.0,3.0,270.0,3.0,1.0,11.0,9.0,81.8,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Ohad Levita,il ISR,GK,il Be'er Sheva,35-004,1986,5.0,5.0,450.0,13.0,2.6,34.0,23.0,61.8,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Linde,se SWE,GK,no Molde,27-212,1993,7.0,7.0,630.0,14.0,2.0,37.0,24.0,62.2,3.0,2.0,2.0,1.0,14.3,1.0,0.0,1.0,0.0
Dominik Livaković,hr CRO,GK,hr Dinamo Zagreb,26-043,1995,6.0,6.0,540.0,3.0,0.5,23.0,20.0,87.0,4.0,2.0,0.0,4.0,66.7,1.0,0.0,1.0,0.0
Hugo Lloris,fr FRA,GK,eng Tottenham,34-057,1986,2.0,2.0,180.0,2.0,1.0,6.0,4.0,83.3,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Niklas Lomb,de GER,GK,de Leverkusen,27-208,1993,2.0,2.0,180.0,4.0,2.0,11.0,6.0,63.6,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0
Pau López,es ESP,GK,it Roma,26-070,1994,6.0,6.0,540.0,2.0,0.33,16.0,15.0,93.8,5.0,1.0,0.0,4.0,66.7,1.0,1.0,0.0,0.0
Mike Maignan,fr FRA,GK,fr Lille,25-085,1995,7.0,7.0,630.0,10.0,1.43,19.0,11.0,57.9,3.0,2.0,2.0,1.0,14.3,2.0,2.0,0.0,0.0
Nick Marsman,nl NED,GK,nl Feyenoord,30-143,1990,3.0,3.0,270.0,3.0,1.0,10.0,8.0,80.0,0.0,1.0,2.0,1.0,33.3,1.0,1.0,0.0,0.0
Matheus,br BRA,GK,pt Braga,28-217,1992,6.0,6.0,540.0,12.0,2.0,27.0,15.0,55.6,3.0,1.0,2.0,1.0,16.7,0.0,0.0,0.0,0.0
Aaron McCarey,ie IRL,GK,ie Dundalk,29-038,1992,1.0,1.0,90.0,4.0,4.0,11.0,7.0,63.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan McGregor,sco SCO,GK,sco Rangers,39-021,1982,6.0,6.0,540.0,10.0,1.67,11.0,4.0,18.2,4.0,2.0,0.0,2.0,33.3,1.0,1.0,0.0,0.0
Jon McLaughlin,sco SCO,GK,sco Rangers,33-165,1987,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Alex Meret,it ITA,GK,it Napoli,23-336,1997,4.0,4.0,360.0,4.0,1.0,12.0,8.0,66.7,2.0,0.0,2.0,1.0,25.0,0.0,0.0,0.0,0.0
Simon Mignolet,be BEL,GK,be Club Brugge,32-352,1988,1.0,1.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yvon Mvogo,ch SUI,GK,nl PSV Eindhoven,26-260,1994,7.0,7.0,630.0,13.0,1.86,24.0,11.0,45.8,4.0,0.0,3.0,2.0,28.6,1.0,0.0,0.0,1.0
Ivan Nevistić,hr CRO,GK,hr Rijeka,22-205,1998,6.0,6.0,540.0,12.0,2.0,37.0,27.0,70.3,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
Filip Nguyen,cz CZE,GK,cz Slovan Liberec,28-160,1992,4.0,4.0,360.0,8.0,2.0,21.0,14.0,66.7,2.0,0.0,2.0,1.0,25.0,1.0,1.0,0.0,0.0
Florin Niță,ro ROU,GK,cz Sparta Prague,33-233,1987,3.0,3.0,270.0,4.0,1.33,17.0,13.0,76.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
David Ospina,co COL,GK,it Napoli,32-174,1988,3.0,3.0,270.0,2.0,0.67,12.0,10.0,83.3,1.0,2.0,0.0,1.0,33.3,1.0,0.0,1.0,0.0
Alexandros Paschalakis,gr GRE,GK,gr PAOK,31-208,1989,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
