player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Brenden Aaronson,us USA,MF,at RB Salzburg,20-131,2000,2.0,2.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Hatem Abd Elhamed,il ISR,DF,sco Celtic,29-349,1991,3.0,2.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,1.0,5.0,0.0,0.0,0.0
Shehu Abdullahi,ng NGA,"MF,DF",cy AC Omonia,27-355,1993,4.0,2.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,4.0,7.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0
Anicet Abel,mg MAD,MF,bg Ludogorets,30-354,1990,6.0,4.0,327.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0
Zakaria Aboukhlal,ma MAR,"MF,FW",nl AZ Alkmaar,21-012,2000,5.0,1.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,6.0,2.0,33.3,3.09,1.03,0.0,0.0,0.0,8.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0
Joel Abu Hanna,il ISR,DF,ua Zorya Luhansk,23-039,1998,5.0,4.0,364.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,4.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0
Elton Acolatse,nl NED,"FW,MF",il Be'er Sheva,25-220,1995,3.0,3.0,263.0,4.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,1.37,1.37,1.37,2.9,7.0,4.0,57.1,2.4,1.37,0.57,1.0,0.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
Sargis Adamyan,am ARM,"FW,MF",de Hoffenheim,27-283,1993,4.0,0.0,103.0,2.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.75,1.75,1.75,1.1,4.0,2.0,50.0,3.5,1.75,0.5,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0
Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,29-277,1991,8.0,8.0,663.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.41,7.4,13.0,5.0,38.5,1.76,0.68,0.0,0.0,0.0,5.0,13.0,1.0,2.0,5.0,10.0,0.0,0.0,0.0
Karim Adeyemi,de GER,"MF,FW",at RB Salzburg,19-043,2002,2.0,0.0,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
